site_id,site_name,country,tradition,lat,lon,hydraulic_feature_type,hydraulic_description,hydraulic_anomaly,seasonal_hydraulic_peak,festival_timing,festival_name,cardiac_anatomy_parallel,body_region_correspondence,graha_correspondence,element_correspondence,modern_hydrological_significance,attestation,source
hydro_01,Triveni Sangam Prayagraj,India,Hindu-Vedic,25.4358,81.8463,triple_confluence,Confluence of Ganga (west-east) and Yamuna (south-north) with invisible underground Sarasvati; three rivers of three distinct colors and temperatures meeting,The Sarasvati is hydrologically real as a paleo-river dried c.4000 BCE; ground-penetrating radar has detected the ancient channel meeting the other two,January-February (Magh Mela) and every 12 years (Kumbh Mela),January-February Magh; every 12 years Kumbh Mela Prayag,Kumbh Mela / Magh Mela,Heart with three ventricular inputs — the meeting of arterial oxygenated (Ganga) and venous returning (Yamuna) blood with the invisible lymphatic (Sarasvati),Solar plexus and heart junction; the meeting of three systems in the chest,Jupiter-Moon,Water (triple-water),Largest peaceful human gathering on Earth (Kumbh); Ganga river health is a national water security issue,OBSERVED:TRADITIONAL,Vedic texts; Mahabharata; modern GPR surveys of Sarasvati paleo-channel
hydro_02,Varanasi Northward Bend,India,Hindu-Vedic,25.3176,83.0130,anomalous_river_bend,The Ganges makes an unusual northward U-bend at Varanasi — a river flowing toward the north (uttara) which is the direction of liberation (Mukti) in Vedic cosmology,The Vindhyan quartzite basement ridge forces the river to bend dramatically northward before resuming eastward course; this geological accident created the sacred geography,Year-round (Ganga Aarti daily); Kartik Purnima peak,Daily Ganga Aarti at sunrise and sunset; Kartik Purnima (October-November),Ganga Aarti / Dev Deepawali,Aortic arch — the great bend where blood reverses direction before descending; river flowing north = blood flow briefly ascending against gravity,Throat and neck; the bend between ascent and descent,Saturn-Moon,Water-Fire (Agni on Ganga),Varanasi is monitored as a critical Ganga water quality node; the bend slows sediment creating the high western bank; 3000 years of continuous urban settlement,OBSERVED:TRADITIONAL,Geological Survey of India; Vedic geography texts; Bharadvaja Samhita
hydro_03,Kailash Manasarovar,Tibet China,Hindu-Buddhist-Jain,30.7700,81.3119,four_river_source,"Mount Kailash is the source of four great rivers flowing in four cardinal directions: Indus (north),  Brahmaputra/Yarlung (east),  Karnali/Ghaghara (south-Ganges tributary),  Sutlej (west)",A single mountain generating four rivers flowing to four oceans — statistically extraordinary watershed divide; no other mountain has this four-directional river system,Summer melt (June-August); lake freezes November-March,Shravana month full moon (July-August); circumbulation (kora) season,Kora of Mount Kailash,The heart as the four-chambered pump sending blood in four directions — Kailash as the great four-chambered heart,Crown of the body; Sahasrara chakra; top of the spinal mountain,Saturn-Moon-Jupiter,Water-Earth-Ether,Most important headwater complex in Asia; water security for 1 billion people dependent on these four rivers,OBSERVED:TRADITIONAL,Vedic Puranas (Padma Purana; Skanda Purana); Buddhist Kailash texts; hydrological surveys
hydro_04,Haridwar Mountain to Plain,India,Hindu-Vedic,29.9457,78.1642,mountain_plain_transition,The Ganges descends from Shivalik foothills onto the Indo-Gangetic Plain at Haridwar — the point of maximum velocity change where mountain torrent becomes plains river,The river velocity drops by ~80% over a few kilometers; heavy sedimentation begins; velocity-drop visible as rapids become calm; this creates Haridwar's riverside steps,Year-round; Kumbh every 12 years; Magh Mela annually,Kumbh Mela Haridwar every 12 years (next 2028); daily Ganga Aarti,Kumbh Mela / Ganga Aarti,The pulmonary valve — where pressurized blood from the ventricle transitions into lower-pressure arterial flow; the point of pressure release,Diaphragm and lower chest; transition between upper and lower body,Saturn-Jupiter,Water (transitioning from mountain fire to plain water),First major population center on Ganges; critical intake point for Ganga canal irrigation system; Bhimgoda dam,OBSERVED:TRADITIONAL,Geological Survey of India; Vedic geography; Kumbh Mela Commission reports
hydro_05,Rameshwaram Land Between Two Seas,India,Hindu-Vedic,9.2885,79.3129,land_bridge_two_seas,Rameshwaram island is a narrow land bridge connecting mainland India to Sri Lanka; surrounded by Bay of Bengal (east) and Palk Strait/Gulf of Mannar (west) with distinct water bodies on each side,The two seas have measurably different temperature salinity and wave patterns; the land bridge is precisely the level of the sea — Ram's Bridge (Adam's Bridge) is a chain of shoals visible by satellite,Amavasya (new moon) and Purnima (full moon) for ritual bathing in both seas on same day,Maha Shivaratri; Amavasya bathing in both seas,Maha Shivaratri / Amavasya Snana,The septum between left and right heart chambers — the wall between oxygenated and deoxygenated blood just as two seas are separated by the land bridge,Solar plexus and heart septum; the dividing wall,Sun-Ketu,Water-Fire (both sea and desert heat),Adam's Bridge formation studied as evidence of tectonic change; sea-level rise submerged the causeway ~7000 BCE; Palk Strait navigation hazard,OBSERVED:TRADITIONAL,Ramayana (Valmiki); Marine Archaeology of India; satellite imagery studies
hydro_06,Tonle Sap Angkor Cambodia,Cambodia,Khmer-Buddhist-Animist,13.4125,103.8670,reversing_river_lake,The Tonle Sap River reverses its flow direction seasonally — from June to October when Mekong is flooded the Tonle Sap River flows backwards (south to north) from the Mekong into the lake; the lake expands from ~2500 to ~16000 sq km (5x expansion),Only major river in Southeast Asia that flows backwards seasonally; the Mekong flood stage creates sufficient backpressure to reverse 120km of river flow; Angkor's entire civilization was built on managing this reversal via the baray reservoir system,October-November (reversal back to normal southward flow),October-November (Bon Om Touk — Water Festival celebrating the reversal),Bon Om Touk (Water Festival),The cardiac cycle itself — the heart's filling (diastole) and emptying (systole); the reversal of flow as fundamental as the heartbeat; the entire system is built around the reversal,Heart (entire cardiac cycle); the filling and emptying,Moon-Jupiter,Water,Tonle Sap is Southeast Asia's largest freshwater lake; provides 75% of Cambodia's freshwater fish protein; Angkor's hydraulic system is the largest pre-industrial water management system ever built; UNESCO studied,OBSERVED:TRADITIONAL,Hydrology studies (Evans et al.); Angkor water management literature; UNESCO reports; Khmer chronicle tradition
hydro_07,Brahmaputra Great Bend,Tibet India,Hindu-Buddhist,29.6273,95.0328,extreme_river_bend,The Yarlung Tsangpo (Brahmaputra) makes a 180-degree U-bend — one of the world's most dramatic river reversals — around Namche Barwa peak (7782m) before descending as the world's deepest canyon into Arunachal Pradesh,The river descends approximately 2500m in ~200km — one of the steepest river gradients on Earth; creates the Yarlung Tsangpo Grand Canyon (deeper than Grand Canyon); the geological cause is the Indian plate collision with Eurasian plate forcing the river to circumnavigate the uplifting Namche Barwa massif,June-September (monsoon flood peak),Losar (Tibetan New Year); various local festivals,Losar / local festivals,The aortic arch — the great reversal where blood flows up then bends 180 degrees to descend; the most dramatic directional change in the entire circulatory system,Skull and upper neck; the Brahmaputra = spinal fluid reversing at the base of skull,Rahu-Saturn,Water-Air,World's deepest gorge; major hydroelectric potential being developed by China (potentially largest dam ever); downstream Bangladesh entirely dependent on flow; geopolitical flashpoint,OBSERVED:TRADITIONAL,Geological Survey of India; NASA river studies; Tibetan geographical tradition; Potala texts
hydro_08,Manaus Meeting of Waters,Brazil,Amazonian-syncretic,--3.1190,--60.0217,immiscible_confluence,The Rio Negro (black-water) meets the Amazon/Solimões (white-water) at Manaus and the two rivers flow side by side for approximately 6km without mixing,The two rivers have different temperature (Negro ~28°C / Solimões ~22°C) different density (Negro lower) different pH (Negro acidic pH 3.5-4.5 / Solimões neutral pH 6.5-7) different sediment load (Negro dark clear tannin-stained / Solimões turbid clay-laden) and different flow velocity — five separate physical parameters prevent mixing; visible from satellite,Year-round phenomenon; most dramatic at high-water (May-July),No single festival; local riverine ceremonies,Encontro das Aguas (Meeting of Waters) — tourist and local ceremony,The atrioventricular junction — where oxygenated pulmonary return (light colored blood) meets systemic venous return (dark blood) in the right atrium before full mixing; two bloods briefly side-by-side,Heart's right atrium; the junction before mixing,Rahu-Moon,Water (dual-water),Meeting of Waters is one of the world's most studied hydrological phenomena; demonstrates how physical chemistry can maintain distinct water masses; implications for freshwater ecology and climate modeling,OBSERVED:TRADITIONAL,Brazilian hydrological surveys; Amazon Research Institute (INPA) studies; scientific literature on Encontro das Aguas
hydro_09,Nile Northward Flow,Egypt,Egyptian-Islamic,25.6872,32.6396,anomalous_northward_flow,The Nile flows from south to north — opposite to most African rivers — from Lake Victoria (equatorial) through Sudan and Egypt to Mediterranean; this makes it flow against the general continental tilt,Most large rivers follow continental drainage into the South Atlantic; the Nile's northward flow is caused by the East African Rift system creating the highlands that collect equatorial rain; the resulting northward-flowing corridor enabled one of the world's great civilizations,June-September (annual flood before Aswan Dam),Ancient Wepet Renpet (New Year) timed to Nile flood; modern Coptic calendar preserves this,Wepet Renpet / Coptic New Year,The venous return from the lower body — dark blood flowing upward against gravity back to the heart; the Nile = inferior vena cava bringing southern blood northward,Lower body and root chakra; the ascending venous flow,Saturn-Sun,Water-Earth,Aswan High Dam (1971) ended natural flood cycle; Nile Delta is now starved of sediment; sea-level rise threatens coastal agriculture; Ethiopia's Grand Renaissance Dam creates geopolitical crisis with Egypt,OBSERVED:TRADITIONAL,Egyptian historical texts; Herodotus; modern Nile Basin hydrology; geological rift valley studies
hydro_10,Sundarbans Ganges Delta,India Bangladesh,Hindu-Islamic-forest tradition,21.9497,89.1833,tidal_delta_forest,The Ganges-Brahmaputra delta forms the world's largest mangrove forest (~10000 sq km); it is actively subsiding (sinking) while sea level rises; the forest is maintained by daily tidal salinity cycling,The forest exists in a zone of maximal uncertainty between river and sea; tidal amplitude is 4-6m; the entire ecosystem depends on the twice-daily salinity reversal; the rivers actively create new land while the sea erodes it — constant creation-destruction,October-November (post-monsoon)  and February-March,Bono Bibi (forest goddess festival); regional festivals,Bono Bibi Puja / Manasa Puja,The venous plexus — the complex fan-shaped network of small vessels returning blood from extremities; the Sundarbans delta as the terminal venous plexus of the Indian subcontinent,The extremities and terminal capillary beds; the boundary between inside and outside,Saturn-Moon,Water-Earth,UNESCO World Heritage Site; home of Royal Bengal Tiger; ~10 million people in delta at existential risk from climate change and sea-level rise; world's most vulnerable delta,OBSERVED:TRADITIONAL,UNESCO reports; Mangrove ecology literature; Sundarbans conservation science; Bono Bibi tradition
