hexagram_id,raga_id,resonance_reason,time_of_day_match,rasa_match,element_match,notes,attestation_status
hexagram_01,raga_yaman,shared element ether + time-season alignment evening/late_autumn,evening,,ether,the creative expressed through yaman,inferred_coherent
hexagram_01,raga_puriya,shared element ether + time-season alignment evening/late_autumn,evening,,ether,the creative expressed through puriya,inferred_coherent
hexagram_01,raga_lalit,shared element ether,,,ether,the creative expressed through lalit,inferred_coherent
hexagram_01,raga_hindol,shared element ether,,,ether,the creative expressed through hindol,inferred_coherent
hexagram_01,raga_purvi,shared element ether + time-season alignment evening/late_autumn,evening,,ether,the creative expressed through purvi,inferred_coherent
hexagram_01,raga_bairagi,shared element ether,,,ether,the creative expressed through bairagi,inferred_coherent
hexagram_01,raga_hansadhwani,shared rasa adbhuta + shared element ether + time-season alignment evening/late_autumn,evening,adbhuta,ether,the creative expressed through hansadhwani,inferred_coherent
hexagram_01,raga_shankara,shared rasa adbhuta + shared element ether + time-season alignment night/late_autumn,night,adbhuta,ether,the creative expressed through shankara,inferred_coherent
hexagram_02,raga_darbari,shared element earth,,,earth,the receptive expressed through darbari,inferred_coherent
hexagram_02,raga_malkauns,shared rasa shanta + shared element earth,,shanta,earth,the receptive expressed through malkauns,inferred_coherent
hexagram_02,raga_kedar,shared element earth,,,earth,the receptive expressed through kedar,inferred_coherent
hexagram_02,raga_purvi,shared rasa shanta,,shanta,,the receptive expressed through purvi,inferred_coherent
hexagram_02,raga_chandrakauns,shared rasa shanta,,shanta,,the receptive expressed through chandrakauns,inferred_coherent
hexagram_03,raga_bhairava,shared element fire + time-season alignment morning/spring + direct season match spring,morning,,fire,difficulty at the beginning expressed through bhairava,inferred_coherent
hexagram_03,raga_bhairavi,shared rasa karuna + shared element water + time-season alignment morning/spring,morning,karuna,water,difficulty at the beginning expressed through bhairavi,inferred_coherent
hexagram_03,raga_todi,shared rasa karuna + shared element water + time-season alignment morning/spring,morning,karuna,water,difficulty at the beginning expressed through todi,inferred_coherent
hexagram_03,raga_marwa,shared element fire,,,fire,difficulty at the beginning expressed through marwa,inferred_coherent
hexagram_03,raga_darbari,shared rasa karuna,,karuna,,difficulty at the beginning expressed through darbari,inferred_coherent
hexagram_03,raga_bageshri,shared element water,,,water,difficulty at the beginning expressed through bageshri,inferred_coherent
hexagram_03,raga_puriya,shared rasa karuna,,karuna,,difficulty at the beginning expressed through puriya,inferred_coherent
hexagram_03,raga_lalit,time-season alignment dawn/spring + direct season match spring,dawn,,,difficulty at the beginning expressed through lalit,inferred_coherent
hexagram_03,raga_miyan_ki_malhar,shared element water,,,water,difficulty at the beginning expressed through miyan_ki_malhar,inferred_coherent
hexagram_03,raga_des,shared element water,,,water,difficulty at the beginning expressed through des,inferred_coherent
hexagram_03,raga_khamaj,shared element water,,,water,difficulty at the beginning expressed through khamaj,inferred_coherent
hexagram_03,raga_jaunpuri,shared rasa karuna + shared element water + time-season alignment morning/spring,morning,karuna,water,difficulty at the beginning expressed through jaunpuri,inferred_coherent
hexagram_03,raga_durga,shared element fire,,,fire,difficulty at the beginning expressed through durga,inferred_coherent
hexagram_03,raga_hindol,time-season alignment morning/spring + direct season match spring,morning,,,difficulty at the beginning expressed through hindol,inferred_coherent
hexagram_03,raga_shree,shared element fire,,,fire,difficulty at the beginning expressed through shree,inferred_coherent
hexagram_03,raga_multani,shared rasa karuna,,karuna,,difficulty at the beginning expressed through multani,inferred_coherent
hexagram_03,raga_bairagi,shared rasa karuna + time-season alignment morning/spring + direct season match spring,morning,karuna,,difficulty at the beginning expressed through bairagi,inferred_coherent
hexagram_03,raga_ahir_bhairav,shared element water + time-season alignment morning/spring + direct season match spring,morning,,water,difficulty at the beginning expressed through ahir_bhairav,inferred_coherent
hexagram_03,raga_charukeshi,shared rasa karuna + shared element water,,karuna,water,difficulty at the beginning expressed through charukeshi,inferred_coherent
hexagram_03,raga_kirwani,shared rasa karuna + shared element water,,karuna,water,difficulty at the beginning expressed through kirwani,inferred_coherent
hexagram_03,raga_chandrakauns,shared element water,,,water,difficulty at the beginning expressed through chandrakauns,inferred_coherent
hexagram_03,raga_sarang,shared element fire,,,fire,difficulty at the beginning expressed through sarang,inferred_coherent
hexagram_04,raga_bhairavi,shared element water + direct season match winter,,,water,youthful folly expressed through bhairavi,inferred_coherent
hexagram_04,raga_todi,shared element water,,,water,youthful folly expressed through todi,inferred_coherent
hexagram_04,raga_darbari,shared element earth + time-season alignment night/winter + direct season match winter,night,,earth,youthful folly expressed through darbari,inferred_coherent
hexagram_04,raga_malkauns,shared element earth + time-season alignment night/winter + direct season match winter,night,,earth,youthful folly expressed through malkauns,inferred_coherent
hexagram_04,raga_bageshri,shared element water + time-season alignment night/winter,night,,water,youthful folly expressed through bageshri,inferred_coherent
hexagram_04,raga_miyan_ki_malhar,shared element water,,,water,youthful folly expressed through miyan_ki_malhar,inferred_coherent
hexagram_04,raga_kedar,shared element earth + time-season alignment night/winter,night,,earth,youthful folly expressed through kedar,inferred_coherent
hexagram_04,raga_des,shared element water + time-season alignment night/winter,night,,water,youthful folly expressed through des,inferred_coherent
hexagram_04,raga_khamaj,shared element water + time-season alignment night/winter,night,,water,youthful folly expressed through khamaj,inferred_coherent
hexagram_04,raga_jaunpuri,shared element water + direct season match winter,,,water,youthful folly expressed through jaunpuri,inferred_coherent
hexagram_04,raga_ahir_bhairav,shared element water,,,water,youthful folly expressed through ahir_bhairav,inferred_coherent
hexagram_04,raga_charukeshi,shared element water + time-season alignment night/winter + direct season match winter,night,,water,youthful folly expressed through charukeshi,inferred_coherent
hexagram_04,raga_kirwani,shared element water + time-season alignment night/winter + direct season match winter,night,,water,youthful folly expressed through kirwani,inferred_coherent
hexagram_04,raga_chandrakauns,shared element water + time-season alignment night/winter + direct season match winter,night,,water,youthful folly expressed through chandrakauns,inferred_coherent
hexagram_04,raga_shankara,time-season alignment night/winter + direct season match winter,night,,,youthful folly expressed through shankara,inferred_coherent
hexagram_05,raga_bhairavi,shared element water,,,water,waiting expressed through bhairavi,inferred_coherent
hexagram_05,raga_todi,shared element water,,,water,waiting expressed through todi,inferred_coherent
hexagram_05,raga_yaman,shared element ether + time-season alignment evening/late_autumn,evening,,ether,waiting expressed through yaman,inferred_coherent
hexagram_05,raga_malkauns,shared rasa shanta + time-season alignment night/late_autumn,night,shanta,,waiting expressed through malkauns,inferred_coherent
hexagram_05,raga_bageshri,shared element water + time-season alignment night/late_autumn,night,,water,waiting expressed through bageshri,inferred_coherent
hexagram_05,raga_puriya,shared element ether + time-season alignment evening/late_autumn,evening,,ether,waiting expressed through puriya,inferred_coherent
hexagram_05,raga_lalit,shared element ether,,,ether,waiting expressed through lalit,inferred_coherent
hexagram_05,raga_miyan_ki_malhar,shared element water,,,water,waiting expressed through miyan_ki_malhar,inferred_coherent
