plant_id,latin_name,common_name,family,layer,guild_function_primary,nitrogen_fixer,succession_role,water_relationship,root_architecture,allelopathic,allelopathic_target,good_companions,conflict_plants,fodder_cattle,fodder_sheep,fodder_goat,fodder_pig,fodder_chicken,fodder_duck,ecoregion,hardiness_zone_min,hardiness_zone_max,edibility_rating,medicinal_rating,other_uses_rating,mature_height_m,soil,shade,moisture,attestation,source,attestation_status
GM001,Acacia angustissima,Prairie acacia. Timbre. Fernleaf Acacia,Fabaceae,understory,nitrogen_fixer,yes,pioneer,drought_tolerant,deep_taproot,no,,,,no,no,no,no,no,no,desert_sw,7,10,2,3,4,5.0,LMH,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM002,Adenanthera pavonina,"Red Sandalwood, Coral Tree",Fabaceae,canopy,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,10,12,3,2,4,18.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM003,Aesculus spp,Horse chestnut,Sapindaceae,canopy,canopy,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,4,9,4,4,4,30.0,LMH,SN,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM004,Agastache foeniculum,"Anise Hyssop, Blue giant hyssop",Lamiaceae or Labiatae,groundcover,pollinator_attractor,no,pioneer,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,pacific_nw,4,9,5,1,3,0.9,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM005,Akebia quinata,"Akebia, Chocolate vine, Fiveleaf Akebia, Chocolate Vine",Lardizabalaceae,vine,groundcover,no,early_successional,moisture_loving,fibrous_shallow,no,,,,no,no,no,no,no,no,eastern_woodlands,4,8,4,2,3,12.0,LMH,FSN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM006,Allium canadense,"Canadian Garlic, Meadow garlic, Fraser meadow garlic,  Hyacinth meadow garlic",Alliaceae,root,pest_confuser,no,mid_successional,mesic,bulb,no,,,,no,no,no,no,no,no,gulf_coast,4,8,4,2,2,0.5,LM,SN,MWe,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM007,Allium canadense mobilense,Canadian Garlic,Alliaceae,root,pest_confuser,no,mid_successional,mesic,bulb,no,,,,no,no,no,no,no,no,desert_sw,4,8,5,2,0,0.5,LM,SN,MWe,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM008,Allium cernuum,"Nodding Onion, New Mexican nodding onion",Alliaceae,root,pest_confuser,no,mid_successional,drought_tolerant,bulb,no,,,,no,no,no,no,no,no,desert_sw,5,9,5,2,2,0.5,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM009,Allium schoenoprasum sibiricum,Giant Chives,Alliaceae,root,pest_confuser,no,mid_successional,mesic,bulb,no,,,,no,no,no,no,no,no,eastern_woodlands,4,8,5,2,2,0.3,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM010,Allium textile,Textile Onion,Alliaceae,root,pest_confuser,no,mid_successional,drought_tolerant,bulb,no,,,,no,no,no,no,no,no,desert_sw,5,9,3,2,2,0.2,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM011,Allium tricoccum,"Wood Leek,  Ramp",Alliaceae,root,pest_confuser,no,mid_successional,mesic,bulb,no,,,,no,no,no,no,no,no,appalachian,5,9,4,2,3,0.3,LM,S,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM012,Amaranthus hypochondriacus,"Prince's Feather, Prince-of-wales feather",Amaranthaceae,groundcover,nitrogen_fixer,yes,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,yes,no,no,eastern_woodlands,3,10,4,3,2,1.2,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM013,Amelanchier alnifolia,"Saskatoon, Saskatoon serviceberry, Serviceberry",Rosaceae,shrub,windbreak,no,early_successional,drought_tolerant,fibrous_shallow,no,,Corylus americana;Ribes rubrum;Fragaria virginiana,,no,no,no,no,no,no,great_plains,4,6,5,2,3,4.0,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM014,Amphicarpaea bracteata,"Hog Peanut, American hogpeanut",Fabaceae or Leguminosae,vine,nitrogen_fixer,yes,mid_successional,mesic,fibrous_shallow,no,,,,no,no,no,no,no,no,gulf_coast,4,9,5,1,3,1.5,LMH,FS,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM015,Anacardium occidentale,"Cashew, Caju",Anacardiaceae,canopy,pest_confuser,no,mid_successional,wetland,deep_taproot,no,,,,no,no,no,no,no,no,great_plains,9,12,5,3,3,12.0,LMH,N,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM016,Ananas comosus,Pineapple,Bromeliaceae,groundcover,groundcover,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,9,11,5,2,4,1.0,LMH,SN,M,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
GM017,Annona squamosa,"Sugar Apple, Sweetsop, Custard Apple",Annonaceae,understory,pest_confuser,no,mid_successional,drought_tolerant,fibrous_shallow,no,,,,no,no,no,no,no,no,great_plains,10,12,5,2,2,6.0,LM,N,DM,OBSERVED:PFAF,pfaf.org database; guild relationships from permaculture literature,attested_secondary
