deity,x,y,domain,source_text,attestation_status
Apa,8,8,waters and circulation,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Savitra,8,2,solar generative impulse,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Java,2,2,speed and kinetic force,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Rudra,2,8,fierce transformation,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Aryaman,7,5,social order and nobility,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Savita,7,3,solar impulsion,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Vivasvan,5,3,radiant sun,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Indra,3,3,sovereignty and charge,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Mitra,3,5,covenant and alliance,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Rajayakshma,3,7,royal wasting / depletion warning,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Prithvidhara,5,7,earth support,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Apavatsa,7,7,subtle water support,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
Brahma,4-6,4-6,central generative field / Brahma-sthana,Brihat Samhita inner-deity placements for the 81-pada mandala; Brahma occupies the central 3x3.,OBSERVED
