nakshatra,plant,common_name,sanskrit_name,deity,element,dosha,use,mantra,body_part,metal,season,growing_notes,ritual_use,ayurvedic_use,sacred_tree,tree_latin,tree_source,sacred_tree_astrobotany,herb_astrobotany,astrobotany_uses,attestation_status
Ashwini,Ashwagandha,Winter cherry,Ashvagandha,Ashvini Kumaras,Fire,Vata,healing,ॐ अश्विनीकुमाराभ्यां नमः,head,iron,spring,well-drained soil · morning sun · do not overwater,offer at healing altar · invoke quick recovery,warming rasayana · grounding for vata,Kuchila,Strychnos nux-vomica,Brihat Samhita,,,,attested_secondary
Bharani,Amla,Indian gooseberry,Amalaki,Yama,Earth,Pitta,purification,ॐ यमाय नमः,reproductive,copper,spring,heat-tolerant tree · mulch roots · water deeply,fruit offering for restraint and purification,cooling rejuvenative · supports pitta balance,Amla,Phyllanthus emblica,Brihat Samhita,,,,attested_secondary
Krittika,Fig,Cluster fig,Udumbara,Agni,Fire,Pitta,ritual,ॐ अग्नये नमः,eyes,gold,spring,prune with care · thrives in sun · rich soil,wood and leaves for fire rites,latex and bark used traditionally for tissue repair,Udumbara,Ficus racemosa,Brihat Samhita,,,,attested_secondary
Rohini,Jasmine,Jasmine,Mallika,Brahma,Earth,Kapha,beauty,ॐ ब्रह्मणे नमः,face,silver,spring,fertile soil · evening fragrance · steady moisture,garland for household shrine and beauty rites,aromatic calming flower · softens heat and stress,Jamun,Syzygium cumini,Brihat Samhita,,,,attested_secondary
Mrigashira,Khadira,Cutch tree,Khadira,Soma,Earth,Vata,medicinal,ॐ सोमाय नमः,throat,copper,spring,light pruning · prefers dry intervals · hardy roots,use twigs in cleansing observances,astringent bark for skin and oral care,Khadira,Acacia catechu,Brihat Samhita,,,,attested_secondary
Ardra,Agarwood,Agarwood,Agaru,Rudra,Water,Vata,clearing,ॐ रुद्राय नमः,sinuses,lead,monsoon,humidity-loving tree · shelter from harsh wind,burn sparingly for storm-clearing and grief rites,fragrant resin used for mind-settling fumigation,Shisham,Dalbergia sissoo,Brihat Samhita,,,,attested_secondary
Punarvasu,Bamboo,Bamboo,Vamsha,Aditi,Air,Vata,renewal,ॐ अदितये नमः,arms,silver,summer,rapid grower · water consistently · contain spread,plant near boundary for renewal and shelter,young shoots are nourishing and light,Bamboo,Bambusa arundinacea,Brihat Samhita,,,,attested_secondary
Pushya,Peepal,Sacred fig,Ashvattha,Brihaspati,Water,Kapha,nourishment,ॐ बृहस्पतये नमः,chest,gold,summer,deep roots · sacred space only · full sun,circumambulate on Thursdays · water at dawn,leaf and bark traditions support respiration,Peepal,Ficus religiosa,Brihat Samhita,,,,attested_secondary
Ashlesha,Nagakesara,Ceylon ironwood,Nagakesara,Nagas,Water,Pitta,protection,ॐ नागदेवताभ्यो नमः,nerves,bronze,monsoon,warm humid climate · patient growth,flowers for serpent appeasement and protective rites,flower used in classical formulas for bleeding and heat,Nagkesara,Mesua ferrea,Brihat Samhita,,,,attested_secondary
Magha,Banyan,Banyan,Vata,Pitrs,Fire,Vata,ancestral,ॐ पितृभ्यो नमः,spine,iron,summer,large sacred tree · leave space for aerial roots,ancestor tarpana beneath the tree,aerial root and bark traditions support stability,Banyan,Ficus benghalensis,Brihat Samhita,,,,attested_secondary
Purva Phalguni,Palasha,Flame of the forest,Palasha,Bhaga,Earth,Pitta,creativity,ॐ भगाय नमः,heart,copper,spring,dry-season flowering tree · strong sun,flowers for festive and fertility rites,seeds and bark used in cleansing protocols,Palash,Butea monosperma,Brihat Samhita,,,,attested_secondary
