emoji,unicode_name,varna,graha,element,layer,nakshatra,vastu_zone,rasa,dosha,notes,attestation
👨‍⚕️,man health worker,brahmana,chandra,water,S6,,northwest,karuna,kapha,doctor/healer – brahmanas provide education and medical carehttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,TRADITIONAL
👩‍⚕️,woman health worker,brahmana,chandra,water,S6,,northwest,karuna,kapha,doctor/healer – brahmanas provide education and medical carehttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,TRADITIONAL
👨‍🏫,man teacher,brahmana,guru,ether,S6,,northeast,shanta,vata,teacher – teaching and ritual duties of brahmanashttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,TRADITIONAL
👩‍🏫,woman teacher,brahmana,guru,ether,S6,,northeast,shanta,vata,teacher – teaching and ritual duties of brahmanashttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Intellectuals,TRADITIONAL
👨‍🔬,man scientist,brahmana,budha,air,S6,,north,adbhuta,vata,scientist/researcher – knowledge and analysis (mercury governs IT & sciencehttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management),SYNTHESIS
👩‍🔬,woman scientist,brahmana,budha,air,S6,,north,adbhuta,vata,scientist/researcher – knowledge and analysis (mercury governs IT & sciencehttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management),SYNTHESIS
👨‍💻,man technologist,vaishya,budha,air,S6,,north,adbhuta,vata,programmer/coder – technology & digital professions ruled by Rahu/Mercuryhttps://amesadass.com/rahu-related-profession/#:~:text=Top%20Rahu,SYNTHESIS
👩‍💻,woman technologist,vaishya,budha,air,S6,,north,adbhuta,vata,programmer/coder – technology & digital professions ruled by Rahu/Mercuryhttps://amesadass.com/rahu-related-profession/#:~:text=Top%20Rahu,SYNTHESIS
👨‍🎨,man artist,vaishya,shukra,water,S6,,southeast,shringara,kapha,artist/painter – Venus governs arts and mediahttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
👩‍🎨,woman artist,vaishya,shukra,water,S6,,southeast,shringara,kapha,artist/painter – Venus governs arts and mediahttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
👨‍🍳,man cook,vaishya,chandra,water,S6,,northwest,madhura,kapha,chef/cook – Moon rules food and nourishmenthttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,SYNTHESIS
👩‍🍳,woman cook,vaishya,chandra,water,S6,,northwest,madhura,kapha,chef/cook – Moon rules food and nourishmenthttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,SYNTHESIS
👨‍🌾,man farmer,vaishya,chandra,earth,S5,,north,madhura,kapha,farmer/gardener – vaishyas protect animals and landhttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Business%20People,TRADITIONAL
👩‍🌾,woman farmer,vaishya,chandra,earth,S5,,north,madhura,kapha,farmer/gardener – vaishyas protect animals and landhttps://iskconeducationalservices.org/HoH/practice/dharma/the-four-varnas/#:~:text=,Business%20People,TRADITIONAL
👨‍🔧,man mechanic,vaishya,mangala,fire,S6,,south,vira,pitta,mechanic/technician – Mars rules engineering and technical fieldshttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
👩‍🔧,woman mechanic,vaishya,mangala,fire,S6,,south,vira,pitta,mechanic/technician – Mars rules engineering and technical fieldshttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
👨‍🏭,man factory worker,shudra,shani,earth,S6,,west,vira,pitta,factory worker – Saturn governs manufacturing and labor managementhttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
👩‍🏭,woman factory worker,shudra,shani,earth,S6,,west,vira,pitta,factory worker – Saturn governs manufacturing and labor managementhttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,OBSERVED
👨‍💼,man office worker,vaishya,budha,air,S6,,north,,vata,office/executive – Mercury rules business and communicationhttps://astroananta.com/job-vs-business-career-astrology-prediction#:~:text=,Oil%20%26%20Gas%2C%20Labor%20management,SYNTHESIS
