entity_id,file_path,status,what_it_does,inputs,outputs,imports_from,imported_by,surprising_findings,recommendation,attestation_status
npu_build_field_state,npu_engine/build_field_state.py,working,Orchestrates FieldState construction from 10 engine modules,panchanga dict + graph + torus coords,FieldState object,field_state;coherence_engine_v2;modulation_engine;vastu_engine;lifecycle_engine;ui_vastu_engine;toroidal_field;temple_geometry;graph_engine;vector_store,kernel.py;npu_engine/__init__.py,,,inferred_coherent
npu_coherence_engine_v2,npu_engine/coherence_engine_v2.py,working,Entity reranking by graph coherence,entity list + graph,reranked entities + active relations,graph_engine,build_field_state;kernel.py,Dead code: duplicate _CAT_W dict defined lines 26-40 shadowed by later definition,Remove duplicate _CAT_W block,inferred_coherent
npu_datasets,npu_engine/datasets.py,working,Loads 136 CSVs into entity graph,csv;json;pathlib;yaml(optional),load_all_entities();load_entity_metadata();load_relations();DATASETS_ROOT,,graph_engine;card_engine;layer_engine;kernel.py,Hub module - 4 importers depend on it,,inferred_coherent
npu_field_state,npu_engine/field_state.py,working,FieldState dataclass definition,,FieldState dataclass,,build_field_state;__init__.py,,,inferred_coherent
npu_graph_engine,npu_engine/graph_engine.py,working,Canonical relation graph - query/expand/score,datasets,GraphEngine;query();expand();score(),datasets,build_field_state;card_engine;coherence_engine_v2;codex_interaction;generator;query_engine;mandala_schema;kernel.py,Hub module - 7075 nodes / 8466 edges / 6+ importers,,inferred_coherent
npu_igpu,npu_engine/igpu.py,working,64-node spatial layout for SVG cosmos,field state,RenderState;render_field_state();render_state_to_dict(),,kernel.py(/render),SVG cosmos rendering - 64 iGPU nodes,,inferred_coherent
npu_toroidal_field,npu_engine/toroidal_field.py,working,Torus coordinate system for all entities,datasets;numpy;openvino(optional),ToroidalField;moment_to_coords();field_query(),datasets,build_field_state;kernel.py,NPU-accelerated via OpenVINO when available,,inferred_coherent
npu_field_to_sound,npu_engine/field_to_sound.py,working,Nakshatra->graha->raga descent chain,,DEVI_TABLE;element_to_sa();field_to_sound(),,kernel.py;bija_synth;torus_queries,The descent chain: eternal->material,,inferred_coherent
npu_mandala_schema,npu_engine/mandala_schema.py,working,Vastu mandala zone resolver - drives shell.html,graph_engine;yantra_generator;torus_queries;passage_resolver,CONTENT_TYPES;NAVIGATION;resolve_zone(),graph_engine;yantra_generator;torus_queries;passage_resolver,kernel.py(/shell/state),3-level nesting drives the entire UI,,inferred_coherent
npu_field_layers,npu_engine/field_layers.py,working,S0-S6 layer mapping,,generate_layer_mapping(),,kernel.py(/spine),,,inferred_coherent
npu_vastu_engine,npu_engine/vastu_engine.py,working,Vastu zone activation from field,,ZONE_ELEMENT;ZONE_DEITY;derive_vastu_state(),,build_field_state,,,inferred_coherent
npu_ui_vastu_engine,npu_engine/ui_vastu_engine.py,working,UI layout derived from field + vastu,,derive_ui_layout(),,build_field_state;kernel.py,,,inferred_coherent
npu_modulation_engine,npu_engine/modulation_engine.py,working,Semantic modulation + psi computation,,semantic_modulation();derive_psi(),,build_field_state,,,inferred_coherent
npu_lifecycle_engine,npu_engine/lifecycle_engine.py,working,Birth/growth/peak/decay lifecycle curves,,compute_lifecycle(),,build_field_state,Used by build_field_state not kernel directly,,inferred_coherent
npu_orientation,npu_engine/orientation.py,working,Field orientation computation,,compute_orientation();compute_entity_signal(),,kernel.py,,,inferred_coherent
npu_composition_db,npu_engine/composition_db.py,working,Playlist + mantra scheduling,,get_playlist();get_mantra_for_now(),,kernel.py,,,inferred_coherent
npu_card_engine,npu_engine/card_engine.py,working,Devi tarot card engine,graph_engine;datasets,Card;CardEngine,graph_engine;datasets,kernel.py,,,inferred_coherent
npu_codex_engine,npu_engine/codex_engine.py,working,Codex text retrieval + generation,codex_modes;path_engine,select_entities();select_relations();generate(),codex_modes;path_engine,codex_interaction,Used via codex_interaction not kernel directly,,inferred_coherent
npu_codex_interaction,npu_engine/codex_interaction.py,working,Entity -> codex passages bridge,codex_engine;path_engine;graph_engine,codex_from_entity();codex_from_cluster(),codex_engine;path_engine;graph_engine,kernel.py,,,inferred_coherent
npu_codex_modes,npu_engine/codex_modes.py,working,Codex mode definitions,,MODES;MODE_DESCRIPTIONS,,codex_engine,,,inferred_coherent
npu_path_engine,npu_engine/path_engine.py,working,Graph path computation,,find_paths();rank_paths();detect_flows(),,codex_engine;codex_interaction;generator;igpu,,,inferred_coherent
npu_query_engine,npu_engine/query_engine.py,working,Graph query interface,graph_engine,query(),graph_engine,kernel.py,,,inferred_coherent
npu_generator,npu_engine/generator.py,working,Entity generation from field,graph_engine;path_engine;layer_engine,FieldGenerator;get_generator(),graph_engine;path_engine;layer_engine,kernel.py,,,inferred_coherent
npu_layer_engine,npu_engine/layer_engine.py,working,Layer entity summaries,datasets,entity_layer();all_layer_summaries(),datasets,generator;kernel.py,,,inferred_coherent
npu_temple_geometry,npu_engine/temple_geometry.py,working,Sacred geometry projections,,TempleGeometry,,build_field_state;kernel.py,,,inferred_coherent
npu_vector_store,npu_engine/vector_store.py,working,Embedding store,,get_vector_store(),,build_field_state;kernel.py,,,inferred_coherent
npu_torus_queries,npu_engine/torus_queries.py,working,108-pada torus knot distance queries,field_to_sound,torus_context_for_entity();find_pada_for_nakshatra(),field_to_sound,kernel.py;mandala_schema,,,inferred_coherent
npu_passage_resolver,npu_engine/passage_resolver.py,working,Text passage finder,,find_passages(),,kernel.py;mandala_schema,,,inferred_coherent
npu_s5_kernel,npu_engine/s5_kernel.py,working,Plant wheel - 3 rings (shastra/sadhu/guru) - 81 plants,,write_s5_state();derive_s5_state(),,kernel.py(/s5),,,inferred_coherent
npu_natal_musician,npu_engine/natal_musician.py,working,Natal chart -> musician reading,,derive_musician_reading();select_bhajan_form(),,kernel.py;phrase_engine,,,inferred_coherent
npu_yantra_engine,npu_engine/yantra_engine.py,working,Yantra generation,,generate_yantra(),,kernel.py,,,inferred_coherent
npu_yantra_generator,npu_engine/yantra_generator.py,working,Yantra data for field,,yantra_data_for_field(),,kernel.py;mandala_schema,,,inferred_coherent
npu_bija_synth,npu_engine/bija_synth.py,working,Pure formant bija mantra synthesis,field_to_sound,synthesize_bija(),field_to_sound,kernel.py,,,inferred_coherent
npu_library_kernel,npu_engine/library_kernel.py,working,Library state builder,,build_library_state(),,kernel.py,,,inferred_coherent
npu_treasury,npu_engine/treasury.py,working,Treasury resolution,,resolve_treasury(),,kernel.py,,,inferred_coherent
npu_relational_engine,npu_engine/relational_engine.py,working,Relational graph operations,,RelationalEngine,,kernel.py,,,inferred_coherent
npu_raga_graph,npu_engine/raga_graph.py,working,Raga graph structures - JI ratios,,JI_RATIOS;RAGA_GRAPHS;get_raga_graph(),,phrase_engine;relational_synth,,,inferred_coherent
npu_swara_engine,npu_engine/swara_engine.py,working,Swara selection from aspect tables,aspect_repair,SwaraEngine;NODE_TO_SWARA,aspect_repair,phrase_engine;kernel.py,,,inferred_coherent
npu_aspect_repair,npu_engine/aspect_repair.py,working,Aspect tables for swara engine,,SWARA_ENTITIES;ASPECT_RULES;add_aspect_edges(),,swara_engine,Used by swara_engine not kernel directly,,inferred_coherent
npu_phrase_engine,npu_engine/phrase_engine.py,working,Live raga graph traversal -> note events,raga_graph;swara_engine,PhraseEngine;next_note(),raga_graph;swara_engine,om.py(disabled),Disabled in om.py - SC-dependent,Wire when SC audio path resolves,inferred_coherent
npu_tanpura_engine,npu_engine/tanpura_engine.py,partial,Four tanpura strings - audio subsystem,relational_params;om.tanpura_string(injected),TanpuraEngine;TanpuraString,relational_params,om.py,Was broken by circular import deadlock - fixed via render_fn injection,,inferred_coherent
npu_tanpura_field,npu_engine/tanpura_field.py,partial,Field -> tanpura tuning (22-shruti),,derive_tanpura_params(),,om.py,Param overlap with relational_synth and relational_params,Clarify single source of truth for tanpura params,inferred_coherent
npu_relational_params,npu_engine/relational_params.py,partial,Field -> instrument physics (NamedTuples),,TanpuraPhysics;SympatheticPhysics;derive_tanpura_physics(),,tanpura_engine,Physics-level params - overlaps with tanpura_field,Clarify single source of truth for tanpura params,inferred_coherent
npu_relational_synth,npu_engine/relational_synth.py,partial,Compute synth params from relations,raga_graph;mudra_graph,compute_synth_params(),raga_graph;mudra_graph,om.py,Broader param scope - overlaps with tanpura_field,Clarify single source of truth for tanpura params,inferred_coherent
