zodiac_sign,biodynamic_day_type,element,plant_focus,nakshatra_equivalents_sidereal_major,dosha_heuristic,best_activities_biodynamic,notes,evidence_label,attestation_status
Aries,Fruit/Seed,Fire/Warmth,Fruit/Seed,Ashwini; Bharani; Krittika (cusp),Kapha↓ Pitta↑ (potential),Seed sowing; fruit crop work; harvest fruits/seeds,Krittika spans Aries→Taurus; treat as cusp.,TRADITIONAL,TRADITIONAL
Taurus,Root,Earth/Cool,Root,Krittika (major); Rohini; Mrigashirsha (half/cusp),Vata↓ Kapha↑ (stabilizing),Root planting; soil work; composting; root harvest,Mrigashirsha spans Taurus→Gemini (half).,TRADITIONAL,TRADITIONAL
Gemini,Flower,Air/Light,Flower,Mrigashirsha (half/cusp); Ardra; Punarvasu (major),Kapha↓ Vata↑ (potential),Flower/aroma harvest; pollinator work; light pruning,Punarvasu spans Gemini→Cancer (major in Gemini).,TRADITIONAL,TRADITIONAL
Cancer,Leaf,Water/Watery,Leaf,Punarvasu (cusp); Pushya; Ashlesha,Vata↓ Pitta↓ Kapha↑ (potential),Leaf planting; irrigation; water‑system work,Pushya is widely treated as auspicious in muhurta traditions.,TRADITIONAL,TRADITIONAL
Leo,Fruit/Seed,Fire/Warmth,Fruit/Seed,Magha; Purva Phalguni; Uttara Phalguni (cusp),Kapha↓ Pitta↑ (potential),Fruit tree work; seed saving; fruit harvest,Uttara Phalguni spans Leo→Virgo.,TRADITIONAL,TRADITIONAL
Virgo,Root,Earth/Cool,Root,Uttara Phalguni (major); Hasta; Chitra (half/cusp),Vata↓ Kapha↑ (stabilizing),Root harvest; transplanting; soil amendments,Chitra spans Virgo→Libra (half).,TRADITIONAL,TRADITIONAL
Libra,Flower,Air/Light,Flower,Chitra (half/cusp); Swati; Vishakha (major),Kapha↓ Vata↑ (potential),Flower harvest; aromatic distillation; beneficial insect work,Vishakha spans Libra→Scorpio (major in Libra).,TRADITIONAL,TRADITIONAL
Scorpio,Leaf,Water/Watery,Leaf,Vishakha (cusp); Anuradha; Jyeshtha,Vata↓ Pitta↓ Kapha↑ (potential),Leafy greens; moisture regulation; irrigation repairs,-,TRADITIONAL,TRADITIONAL
Sagittarius,Fruit/Seed,Fire/Warmth,Fruit/Seed,Mula; Purva Ashadha; Uttara Ashadha (cusp),Kapha↓ Pitta↑ (potential),Seed crops; fruit harvest; drying seeds/grains,Uttara Ashadha spans Sagittarius→Capricorn.,TRADITIONAL,TRADITIONAL
Capricorn,Root,Earth/Cool,Root,Uttara Ashadha (major); Shravana; Dhanishta (half/cusp),Vata↓ Kapha↑ (stabilizing),Root crops; pruning; compost application,Dhanishta spans Capricorn→Aquarius (half).,TRADITIONAL,TRADITIONAL
Aquarius,Flower,Air/Light,Flower,Dhanishta (half/cusp); Shatabhisha; Purva Bhadrapada (major),Kapha↓ Vata↑ (potential),Flower crops; aromatic harvest; airflow management,Purva Bhadrapada spans Aquarius→Pisces (major in Aquarius).,TRADITIONAL,TRADITIONAL
Pisces,Leaf,Water/Watery,Leaf,Purva Bhadrapada (cusp); Uttara Bhadrapada; Revati,Vata↓ Pitta↓ Kapha↑ (potential),Leaf planting; watering; harvesting leafy medicinals,-,TRADITIONAL,TRADITIONAL
