
plant_id,common_name,latin_name,ecoregion,layer,succession_role,mature_height_m,canopy_spread_m,root_architecture,water_relationship,nitrogen_fixer,nitrogen_rate,guild_function_primary,guild_function_secondary,good_companions,conflict_plants,allelopathic_target,allelopathy_radius_m,fodder_cattle,fodder_sheep,fodder_goat,fodder_pig,fodder_chicken,fodder_duck,pollinator_type,pollinator_season,soil_ph_min,soil_ph_max,hardiness_zone_min,hardiness_zone_max,notes,attestation,source
shellbark_hickory,Shellbark Hickory,Carya laciniosa,Eastern Woodlands,canopy,mid,30,20,deep taproot with lateral roots,mesic on moist bottomlands,no,,nut producer,wildlife food,partridge pea; comfrey; wild ginger,black walnut,,0,low,low,low,medium,low,low,wind,spring,5.5,7.5,5,8,Large hickory with sweet nuts and deep root system,SYNTHESIS,https://plants.usda.gov/
american_chestnut,American Chestnut (hybrid),Castanea dentata hybrid,Eastern Woodlands,canopy,mid,25,18,deep taproot with lateral roots,mesic on well drained acidic soils,no,,nut and timber tree,wildlife food,red clover; comfrey; hazelnut,black walnut,,0,low,low,low,medium,low,low,wind and insects,early summer,4.5,6.5,5,8,Blight resistant hybrid chestnut producing edible nuts,SYNTHESIS,https://plants.usda.gov/
honey_locust,Honey Locust,Gleditsia triacanthos,Eastern Woodlands & Great Plains,canopy,mid,20,12,deep taproot with spreading roots,adaptable and drought tolerant,yes,low,nitrogen fixer and shade tree,pod fodder,apple; mulberry; comfrey,none,,0,medium,low,medium,high,low,low,bees,late spring,6.0,8.0,4,9,Thorny tree with sweet pods useful for fodder and soil improvement,SYNTHESIS,https://plants.usda.gov/
osage_orange,Osage Orange,Maclura pomifera,Great Plains & Eastern Woodlands,canopy,early,12,12,deep taproot,drought tolerant on uplands,no,,windbreak and hedge,wildlife cover,black locust; wild grape; goldenrod,none,,0,low,low,low,low,low,low,wind,spring,6.0,7.5,4,9,Thorny hedge tree with rot resistant wood and large inedible fruits,SYNTHESIS,https://plants.usda.gov/
red_mulberry,Red Mulberry,Morus rubra,Eastern Woodlands,canopy,mid,15,15,deep root system,mesic and floodplain tolerant,no,,fruit tree and fodder,pollinator support,black locust; comfrey; clover,black walnut,,0,high,medium,high,medium,medium,medium,wind and insects,spring,5.5,7.5,4,9,Native mulberry with sweet berries and nutritious leaves for livestock,SYNTHESIS,https://plants.usda.gov/
white_mulberry,White Mulberry,Morus alba,Eastern Woodlands,canopy,mid,12,12,deep root system,adaptable and drought tolerant,no,,fruit and fodder tree,pollinator support,comfrey; clover; honey locust,black walnut,,0,medium,medium,high,medium,medium,medium,wind and insects,spring,5.5,7.5,4,9,Fast growing naturalized mulberry used for silkworms and animal feed,SYNTHESIS,https://plants.usda.gov/
pecan,Pecan,Carya illinoinensis,Southeastern & Midwestern,canopy,mid,30,20,deep taproot with wide lateral roots,mesic on rich bottomlands,no,,nut producer and timber,wildlife food,clover; black locust; comfrey,black walnut,,0,medium,low,medium,high,low,low,wind,spring,5.5,7.0,5,9,Large nut tree producing valued pecans and needing cross pollination,SYNTHESIS,https://plants.usda.gov/
butternut,Butternut,Juglans cinerea,Eastern Woodlands,canopy,mid,20,18,deep taproot with spreading roots,moist well drained soils,no,,nut producer,soil stabiliser,serviceberry; pawpaw; hazelnut,none,,0,low,low,low,medium,low,low,wind,spring,6.0,7.5,3,7,Nut tree threatened by butternut canker producing sweet nuts,SYNTHESIS,https://plants.usda.gov/
bur_oak,Bur Oak,Quercus macrocarpa,Midwest & Great Plains,canopy,mid,27,20,deep taproot with lateral roots,drought tolerant prairie oak,no,,habitat and mast tree,soil stabiliser,partridge pea; wild strawberry; hazelnut,none,,0,low,low,low,medium,low,low,wind,spring,6.0,7.5,3,8,Large prairie oak with thick bark and large acorns,SYNTHESIS,https://plants.usda.gov/
swamp_white_oak,Swamp White Oak,Quercus bicolor,Eastern & Midwestern,canopy,mid,20,18,deep root system,moist to wet bottomlands,no,,habitat tree and mast,soil stabiliser,buttonbush; red maple; wild rice,dry site intolerance,,0,low,low,low,medium,low,low,wind,spring,4.5,7.5,3,8,Oak adapted to wet sites with shaggy bark and acorns for wildlife,SYNTHESIS,https://plants.usda.gov/
douglas_fir,Douglas Fir,Pseudotsuga menziesii,Pacific Northwest,canopy,climax,60,15,deep taproot with extensive lateral roots,mesic mountain forests,no,,timber tree,habitat tree,red alder; salal; huckleberry,none,,0,low,low,low,low,low,low,wind and insects,spring,5.0,7.5,4,8,Important timber conifer forming tall stands in moist coniferous forests,SYNTHESIS,https://plants.usda.gov/
