entity_id,name_sanskrit,name_iast,name_english,species_latin,element_primary,element_secondary,guna,dosha_primary,dosha_secondary,graha_primary,graha_secondary,nakshatra_primary,rasa_primary,rasa_secondary,lifecycle_phase,vastu_position,sound_freq_hz_low,sound_freq_hz_high,movement_quality,social_structure,ayurvedic_quality,symbolic_quality,tradition_notes,source_primary,source_secondary,confidence,attestation_status
species_ashva,अश्व,Aśva,Horse,Equus caballus,fire,air,rajas,vata,pitta,ketu,sun,ashwini,vira,adbhuta,adult,E,85,520,swift_diagonal,herd,warm_dry,nobility and healing speed,Yoni animal of Ashwini (M) and Shatabhisha (F),BPHS,Charaka Samhita,0.95,attested_secondary
species_gaja,गज,Gaja,Elephant,Elephas maximus,earth,water,tamas,kapha,,jupiter,moon,bharani,shanta,adbhuta,adult,SW,15,470,slow_steady,herd,cool_moist,patience and auspicious power,Yoni animal of Bharani (M) and Revati (F),BPHS,Arthashastra,0.95,attested_secondary
species_mesha,मेष,Meṣa,Sheep,Ovis aries,fire,earth,rajas,pitta,kapha,sun,mars,krittika,shanta,karuna,adult,SE,100,750,bounding,herd,warm_moist,sacrificial offering and nurture,Yoni animal of Krittika (M) and Pushya (F),BPHS,Yajurveda,0.95,attested_secondary
species_sarpa,सर्प,Sarpa,Serpent,Naja naja,water,fire,tamas,kapha,pitta,rahu,moon,rohini,adbhuta,shringara,adult,N,80,600,lateral_wave,solitary,cool_moist,kundalini shakti and creative force,Yoni animal of Rohini (M) and Mrigashira (F),BPHS,Tantraraja,0.95,attested_secondary
species_shvan,श्वन्,Śvan,Dog,Canis lupus familiaris,air,fire,rajas,vata,pitta,ketu,mars,mula,vira,raudra,adult,NW,85,1100,bounding,pack,warm_dry,loyalty and fierce transformation,Yoni animal of Mula (M) and Ardra (F),BPHS,Mahabharata,0.95,attested_secondary
species_marjara,मार्जार,Mārjāra,Cat,Felis catus,water,air,sattva,kapha,vata,venus,moon,punarvasu,shringara,shanta,adult,W,45,1520,swift_diagonal,solitary,cool_moist,independence and intuition,Yoni animal of Punarvasu (M) and Ashlesha (F),BPHS,Brihat Samhita,0.95,attested_secondary
species_mushaka,मूषक,Mūṣaka,Mouse,Mus musculus,earth,fire,tamas,pitta,vata,mercury,ketu,magha,hasya,adbhuta,adult,N,1000,5000,swift_diagonal,colony,warm_dry,resourcefulness and ancestral memory,Yoni animal of Magha (M) and Purva Phalguni (F); also vahana of Ganesha,BPHS,Puranas,0.95,attested_secondary
species_go,गो,Go,Cow,Bos taurus,earth,water,sattva,kapha,,jupiter,venus,uttara_phalguni,shanta,shringara,adult,NE,65,520,slow_steady,herd,cool_moist,dharma and cosmic sustenance,Yoni animal of Uttara Phalguni (M) and Uttara Bhadrapada (F),BPHS,Bhagavata Purana,0.95,attested_secondary
species_mahisha,महिष,Mahiṣa,Buffalo,Bubalus bubalis,water,earth,tamas,kapha,,saturn,mars,hasta,vira,raudra,adult,W,40,400,slow_steady,herd,cool_moist,endurance and raw power,Yoni animal of Hasta (M) and Swati (F),BPHS,Devi Mahatmya,0.95,attested_secondary
species_vyaghra,व्याघ्र,Vyāghra,Tiger,Panthera tigris,fire,water,rajas,pitta,,mars,sun,chitra,vira,raudra,adult,S,30,500,swift_diagonal,solitary,hot_sharp,sovereignty and fierce protection,Yoni animal of Chitra (M) and Vishakha (F),BPHS,Arthashastra,0.95,attested_secondary
