activity,nadi,element,recommendation,knowledge_status,source_text,attestation_status
meditation,ida,earth,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
meditation,ida,water,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
meditation,ida,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
meditation,ida,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
meditation,ida,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
meditation,pingala,earth,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
meditation,pingala,water,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
meditation,pingala,fire,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
meditation,pingala,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
meditation,pingala,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
meditation,sushumna,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
meditation,sushumna,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
meditation,sushumna,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
meditation,sushumna,air,strongly_favored,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
meditation,sushumna,ether,strongly_favored,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
yoga_sadhana,ida,earth,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,ida,water,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,ida,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,ida,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,pingala,earth,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
yoga_sadhana,pingala,water,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
yoga_sadhana,pingala,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,pingala,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,pingala,ether,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,sushumna,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,sushumna,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
yoga_sadhana,sushumna,fire,strongly_favored,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
yoga_sadhana,sushumna,air,strongly_favored,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
yoga_sadhana,sushumna,ether,strongly_favored,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
eating,ida,earth,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
eating,ida,water,acceptable,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
eating,ida,fire,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
eating,ida,air,avoid,SPECULATIVE,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,SPECULATIVE
eating,ida,ether,avoid,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
eating,pingala,earth,strongly_favored,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
eating,pingala,water,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
eating,pingala,fire,strongly_favored,OBSERVED,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,OBSERVED
eating,pingala,air,conditionally_favored,INTERPRETATION,Matrix synthesized from Shiva Svarodaya nadi activity classes and element auspiciousness rules.,INTERPRETATION
