nakshatra,quality,activity,avoid,crops,element,guna,notes,attestation_status
Ashwini,fire/dry,harvesting seeds,planting,grains,fire,rajas,swift energy · Ashwini Kumaras · quick results,attested_secondary
Bharani,earth/heavy,root crops,transplanting,yams/tubers,earth,rajas,Yama rules · containment · heavy soil work,attested_secondary
Krittika,fire/sharp,pruning/cutting,planting,—,fire,rajas,Agni cuts · clearing · controlled burns,attested_secondary
Rohini,earth/fertile,planting ALL,—,everything,earth,rajas,most fertile nakshatra · Brahma/Prajapati · abundance,attested_secondary
Mrigashira,earth/tender,flowers/herbs,heavy work,aromatics/herbs,earth,sattva,gentle · Soma · medicinal herbs · fragrant,attested_secondary
Ardra,water/storm,rest/observe,all field work,—,water,tamas,Rudra storms · do not plant · observe weather,attested_secondary
Punarvasu,air/renewal,transplanting,—,fruit trees,air,sattva,return of light · Aditi · second planting · renewal,attested_secondary
Pushya,water/nourish,planting,—,all food crops,water,sattva,most auspicious for planting · Brihaspati · nourishment,attested_secondary
Ashlesha,water/sharp,pest control,planting,—,water,sattva,serpent energy · Nagas · tend to pests · protective herbs,attested_secondary
Magha,fire/royal,harvest ceremony,planting,—,fire,tamas,Pitrs · ancestral · harvest rituals · gratitude,attested_secondary
Purva Phalguni,earth/rest,rest,field work,flowers,earth,rajas,Bhaga · creative rest · plan · beauty,attested_secondary
Uttara Phalguni,earth/stable,planting perennials,—,trees/long-cycle crops,earth,rajas,Aryaman · stable · permanent plantings,attested_secondary
Hasta,air/skilled,all crafts + planting,—,vegetables/herbs,air,rajas,Savitar · skilled hands · detailed garden work,attested_secondary
Chitra,fire/bright,flowers/beauty,—,ornamentals/flowers,fire,tamas,Vishvakarma · beauty · garden design · aesthetics,attested_secondary
Swati,air/independent,composting,planting,—,air,tamas,Vayu · wind disperses seeds · aerate soil · compost,attested_secondary
Vishakha,fire/goal,harvest,—,legumes/beans,fire,sattva,Indra-Agni · goal-oriented · harvest what is ready,attested_secondary
Anuradha,water/devotion,flowers/sacred plants,—,sacred plants/tulsi,water,sattva,Mitra · devotion · temple gardens · sacred groves,attested_secondary
Jyeshtha,fire/elder,pest control,planting,—,fire,sattva,Indra · protective · elder wisdom · guard the garden,attested_secondary
Mula,fire/root,root harvest,planting,root vegetables,fire,tamas,Nirriti · dissolving · uproot · harvest roots,attested_secondary
Purva Ashadha,water/purify,irrigation,—,water plants/rice,water,rajas,Apas · purifying water · irrigation · water gardens,attested_secondary
Uttara Ashadha,earth/victory,planting staples,—,grains/staples,earth,rajas,Vishvadevas · permanent · staple crops · victory,attested_secondary
Shravana,water/learning,irrigation/transplant,—,leafy greens,water,rajas,Vishnu · learning · transplanting · leafy crops,attested_secondary
Dhanishta,air/wealth,all crops,—,all,air,tamas,Vasu · abundant · wealth · any planting favorable,attested_secondary
Shatabhisha,air/healing,medicinal herbs,—,herbs/medicine,air,tamas,Varuna · 100 healers · medicinal garden · herbs,attested_secondary
Purva Bhadrapada,fire/sacrifice,—,planting,—,air,sattva,Aja Ekapada · intense energy · rest from planting,attested_secondary
Uttara Bhadrapada,water/depth,planting deep roots,—,deep root crops,water,tamas,Ahir Budhnya · serpent depth · deep roots · tubers,attested_secondary
Revati,water/completion,harvest/completion,—,—,water,sattva,Pushan · journey end · final harvest · give thanks,attested_secondary
