signature_id,plant_id,plant_common,plant_part,body_target,body_system,form_correspondence,chemistry_correspondence,traditional_use_confirms,dhatu_correspondence,graha_correspondence,nakshatra_source,archetype_shared,tradition_sources,confidence,attestation,notes,attestation_status
SIG001,plant_fig,Fig,fruit_exterior,skull_vault,skeletal,dome shape + base opening = foramen magnum,fig latex = CSF (white protective flowing),yes,D005;D006,mangala;surya,Krittika,circular;parabolic,Ayurveda;doctrine_of_signatures,0.78,SYNTHESIS,natal: Krittika=Agni=Fig; skull dome mirrors fig dome,inferred_coherent
SIG002,plant_fig,Fig,interior_folding,skull_vault,nervous,inverted inflorescence folds = cortical convolutions,folic acid in fig = neural tube development,partial,D006,budha,Krittika,branching;folded,Ayurveda;European_herbalism,0.72,SYNTHESIS,syconium interior mimics sulci and gyri,inferred_coherent
SIG003,plant_fig,Fig,latex,skull_vault,nervous,white milky fluid in channels = CSF in ventricles,both protective both flow in contained channels,partial,D006;D001,chandra;budha,Krittika,tidal,Ayurveda,0.65,INTERPRETATION,fig latex and CSF share protective flow function,inferred_coherent
SIG004,plant_bamboo,Bamboo,stalk,cervical_spine;thoracic_spine;lumbar_spine,skeletal,segmented hollow vertical cylinder = vertebral column,silica content = bone mineral matrix component,yes,D005,shani,Punarvasu,tensegrity;vertical,Chinese_medicine;Ayurveda,0.82,SYNTHESIS,natal: Punarvasu=Moon=Bamboo; segmented nodes = intervertebral spacing,inferred_coherent
SIG005,plant_bamboo,Bamboo,node,cervical_spine;thoracic_spine;lumbar_spine,skeletal,junction/pause between segments = intervertebral disc,hydrated node matrix ~ disc nucleus pulposus,partial,D005;D006,shani;budha,Punarvasu,tensegrity,Ayurveda;Chinese_medicine,0.75,SYNTHESIS,bamboo node = structural pause between compression units,inferred_coherent
SIG006,plant_bamboo,Bamboo,hollow_interior,cervical_spine;thoracic_spine;lumbar_spine,nervous,hollow interior of culm = bone marrow canal,bamboo shoots contain marrow-building minerals,partial,D006,budha,Punarvasu,tensegrity,Ayurveda;Chinese_medicine,0.70,SYNTHESIS,hollow bamboo = medullary canal of long bones,inferred_coherent
SIG007,plant_banana,Banana,leaf,lung_bronchial,respiratory,single broad leaf midrib=bronchus veins=bronchioles,banana contains surfactant-like compounds,partial,D001,budha;chandra,none,branching,Ayurveda,0.73,SYNTHESIS,banana leaf venation = bronchial tree branching pattern,inferred_coherent
SIG008,plant_lotus,Lotus,seed_pod,heart_muscle,circulatory,chambered pod holes=valve openings,lotus alkaloids specifically cardiac-active,yes,D002,surya,Purva_Ashadha,radial;circular,Ayurveda;Chinese_medicine,0.85,OBSERVED:TRADITIONAL,natal: Purva_Ashadha=Mercury=Lotus; seed pod = four-chamber heart,inferred_coherent
SIG009,plant_lotus,Lotus,rhizome,ribs,digestive,horizontal segmented hollow tube = intestinal tract,lotus root starch = intestinal food,yes,D001;D003,guru;chandra,Purva_Ashadha,sinusoidal,Ayurveda;Chinese_medicine,0.80,OBSERVED:TRADITIONAL,lotus rhizome cross-section shows hollow channels like intestinal lumen,inferred_coherent
SIG010,plant_lotus,Lotus,leaf,ribs,respiratory,broad circular cupped membrane on water surface,water-air interface = respiratory membrane,partial,D001,chandra,Purva_Ashadha,circular;tidal,Ayurveda,0.68,INTERPRETATION,lotus leaf floating on water = diaphragm at breath-plasma interface,inferred_coherent
