from_id,relation,to_id,source_title,source_locator,excerpt,tradition,confidence,notes
devi:bhagamalini,devi_wields_weapon,,markandeya_purana_en,,"select Sore TATA AT Bega av 
TET: UAATATATT Ta ATATRT: | 

‘The prominent Sakti of Devi Tripurasundari is known as Bhagamalini. 
The king was always engrossed in Her worship. The pure-minded 
Lopamudr",,0.70,TODO: fill weapon + evidence
devi:bherunda,devi_wields_weapon,,markandeya_purana_en,,"issiles furiously followed to fight with the Devi. 9, 10 


Favs: HIHGUST HPUsszistaHa:| aTsfseat saa: Sr: Hele: Il 
waa abarreret Ug chet warag: | Saha: aalfedenta: wetaafriga: 11 22 
The nine minist",,0.70,TODO: fill weapon + evidence
devi:chitra,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:jvalamalini,devi_wields_weapon,,markandeya_purana_en,,"s Balahaka and 
others; Amrtesi revives the dead Saktis. 


War during night; Jvalamukhi dispels darkness; 
Balambikaé renders unconscious the thirty sons of 
Bhandasura; Ulaika and others killed by A",,0.70,TODO: fill weapon + evidence
devi:kameshvari,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:kulasundari,devi_wields_weapon,,markandeya_purana_en,,"i, (Mahavajresvari according to Lalitopakhyana), Sivadatl, 
Tvarita, Kulasundari, Nitya, Nilapataka, Vijaya, Sarvamangala, Jvalamala 
and Citra. They are located on the left, right and back sides of t",,0.70,TODO: fill weapon + evidence
devi:mahavajreshvari,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:nilapataka,devi_wields_weapon,,markandeya_purana_en,,"i, (Mahavajresvari according to Lalitopakhyana), Sivadatl, 
Tvarita, Kulasundari, Nitya, Nilapataka, Vijaya, Sarvamangala, Jvalamala 
and Citra. They are located on the left, right and back sides of t",,0.70,TODO: fill weapon + evidence
devi:nitya,devi_wields_weapon,,charaka_samhita,,"Car_1,26.30 
deśakālavayomānapākavīryarasādiṣu / 
parāparatve yuktiśca yojanā yā tu yujyate // Car_1,26.31 
saṃkhyā syādgaṇitaṃ yogaḥ saha saṃyoga ucyate / 
dravyāṇāṃ dvaṃdvasarvaikakarmajo 'nitya eva",,0.70,TODO: fill weapon + evidence
devi:nityaklinna,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:sarvamangala,devi_wields_weapon,,markandeya_purana_en,,"i, (Mahavajresvari according to Lalitopakhyana), Sivadatl, 
Tvarita, Kulasundari, Nitya, Nilapataka, Vijaya, Sarvamangala, Jvalamala 
and Citra. They are located on the left, right and back sides of t",,0.70,TODO: fill weapon + evidence
devi:shivaduti,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:tvarita,devi_wields_weapon,,markandeya_purana_en,,"i, (Mahavajresvari according to Lalitopakhyana), Sivadatl, 
Tvarita, Kulasundari, Nitya, Nilapataka, Vijaya, Sarvamangala, Jvalamala 
and Citra. They are located on the left, right and back sides of t",,0.70,TODO: fill weapon + evidence
devi:vahnivasini,devi_wields_weapon,,,,,,seed_unverified,TODO: fill weapon + evidence
devi:vijaya,devi_wields_weapon,,bhagavata_purana_05,,"vataḥ param iti bhagavatoparate khalu sva-pitari 
BhP_05.24.026/1 tasya mahānubhāvasyānupatham amṛjita-kaṣāyaḥ ko vāsmad-vidhaḥ parihīṇa-bhagavad-anugraha upajigamiṣatīti 
BhP_05.24.027/1 tasyānucarit",,0.70,TODO: fill weapon + evidence
nakshatra:ashwini,nakshatra_sacred_plant,,devi_bhagavata_en,,"the Universal Form consists 


15 


Parama Karuna Devi 


of the luminaries, the neck is the Mahar planets, the mouth is the Janas 
planets, the forehead the Tapas planets. The highest planetary syst",,0.70,TODO: fill plant + evidence
nakshatra:bharani,nakshatra_sacred_plant,,sushruta_samhita_en,,"whole viscera 
of the heart, the seat of cognition*. i8. 

Fatal bites : — A man bitten by a snake in any 
of the vulnerable parts of the body, or near (the root of) 
an As'vatthva tree, or a temple, ",,0.70,TODO: fill plant + evidence
