herb_name,class_id,class_name,notes,attestation_status
ginger,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
turmeric,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
black pepper,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
long pepper,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
cayenne,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
cinnamon,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
garlic,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
rosemary,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
thyme,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
oregano,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
eucalyptus,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
neem,C1,SOLAR-FIRE (Agni),leaf but strongly heat-clearing antimicrobial in many systems; flag as mixed,TRADITIONAL/INTERPRETIVE
goldenseal,C1,SOLAR-FIRE (Agni),berberine-rich; non-Florida,TRADITIONAL/INTERPRETIVE
andrographis,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
mustard seed,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
cumin seed,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
fennel seed,C1,SOLAR-FIRE (Agni),mixed,TRADITIONAL/INTERPRETIVE
clove,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
galangal,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
asafoetida,C1,SOLAR-FIRE (Agni),from report example list,TRADITIONAL/INTERPRETIVE
licorice,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
marshmallow,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
plantain leaf,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
aloe,C2,LUNAR-WATER (Soma),Florida-possible but not in UF table; verify,TRADITIONAL/INTERPRETIVE
shatavari,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
amalaki,C2,LUNAR-WATER (Soma),cooling rasayana profile in Ayurveda; validate in chosen materia medica source,TRADITIONAL/INTERPRETIVE
goji fruit,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
longan fruit,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
rehmannia,C2,LUNAR-WATER (Soma),Shu Di; if included later,TRADITIONAL/INTERPRETIVE
oats (milky),C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
slippery elm,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
mullein leaf,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
violet,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
chrysanthemum,C2,LUNAR-WATER (Soma),cooling,TRADITIONAL/INTERPRETIVE
bai shao,C2,LUNAR-WATER (Soma),white peony,TRADITIONAL/INTERPRETIVE
dong quai,C2,LUNAR-WATER (Soma),blood-nourishing but warm; flag as mixed,TRADITIONAL/INTERPRETIVE
pearl powder,C2,LUNAR-WATER (Soma),from report example list,TRADITIONAL/INTERPRETIVE
rose,C2,LUNAR-WATER (Soma),cooling heart,TRADITIONAL/INTERPRETIVE
