species_id,deity_id,deity_tradition,vahana_quality,what_species_expresses,what_deity_expresses,why_this_pairing,source,confidence
species_nandi,deity_shiva,shaiva,dharmic_stillness,unwavering patience and devotion,cosmic dissolution and renewal,Stillness bears the cosmic dance; Nandi faces Shiva in eternal meditation,Shiva Purana,0.95
species_garuda,deity_vishnu,vaishnava,transcendent_speed,conquering serpent of ignorance,preservation and all-pervading presence,Speed conquers serpent of maya; wings carry supreme preserver across creation,Garuda Purana,0.95
species_hamsa,deity_brahma,vedic,discrimination,separating milk from water (nira-kshira viveka),creative intelligence and cosmic order,Swan discerns essence from appearance; Brahma creates through discernment,Upanishads,0.92
species_hamsa,deity_saraswati,vedic,purity_of_knowledge,grace upon the waters of consciousness,wisdom and artistic mastery,Swan glides on waters of learning; Saraswati flows as knowledge itself,Upanishads,0.92
species_mushaka,deity_ganesha,ganapatya,obstacle_penetration,finding passage through smallest opening,removal of obstacles and new beginnings,Mouse penetrates where elephant cannot; together they open every path,Ganapati Upanishad,0.92
species_mayura,deity_kartikeya,shaiva,beauty_conquering_ego,consuming the serpent of ego and pride,youthful warrior energy and divine command,Peacock devours serpent; Kartikeya destroys demon of ego with beauty and valor,Skanda Purana,0.92
species_airavata,deity_indra,vedic,cosmic_sovereignty,drawing waters that become monsoon rain,sovereignty over atmospheric realm,White elephant churns clouds; Indra rules the sky-realm and sends rain,Bhagavata Purana,0.90
species_uluka,deity_lakshmi,vaishnava,seeing_in_darkness,perceiving wealth where others see nothing,abundance and gracious bestowal,Owl sees in darkness as Lakshmi reveals hidden prosperity to the devoted,Lakshmi Tantra,0.88
species_shuka,deity_kamadeva,vaishnava,repeating_love,echoing the mantras of desire and beauty,desire as creative cosmic force,Parrot repeats love-words; Kama shoots arrows of attraction that echo endlessly,Kama Sutra,0.88
species_makara,deity_varuna,vedic,oceanic_depth,guarding the threshold between worlds,cosmic law (rita) and oceanic authority,Makara guards oceanic gateway; Varuna upholds cosmic order from the deep,Matsya Purana,0.90
species_simha,deity_durga,shakta,fierce_maternal_protection,fearless sovereignty and roaring power,fierce compassion destroying evil,Lion roars away fear; Durga rides lion to protect creation from demons,Devi Mahatmya,0.95
species_vyaghra,deity_parvati,shakta,wild_shakti,untamed power of the forest,primal feminine energy of the mountain,Tiger carries wild shakti; Parvati in fierce form rides raw natural power,Markandeya Purana,0.85
species_go,deity_yama,vedic,dharmic_judgment,patient bearing of karmic weight,lord of death and dharmic law,Bull carries the weight of dharma; Yama judges by dharmic law with patient measure,Garuda Purana,0.88
