nakshatra,graha,deity,symbol,shakti,guna,element,themes,attestation_status
Ashwini,Ketu,Ashwini Kumaras,Horse Head,Healing,Sattva,Fire,quick action healing beginnings,attested_classical
Bharani,Venus,Yama,Womb,Transformation,Rajas,Earth,birth death rebirth endurance,attested_classical
Krittika,Sun,Agni,Blade,Purification,Sattva,Fire,cutting illusion purification intensity,attested_classical
Rohini,Moon,Brahma,Chariot,Growth,Rajas,Earth,fertility beauty nourishment creation,attested_classical
Mrigashira,Mars,Soma,Deer Head,Searching,Tamas,Air,curiosity wandering seeking knowledge,attested_classical
Ardra,Rahu,Rudra,Teardrop,Renewal,Tamas,Water,storm destruction renewal emotional intensity,attested_classical
Punarvasu,Jupiter,Aditi,Bow,Restoration,Sattva,Air,return renewal protection nurturing,attested_classical
Pushya,Saturn,Brihaspati,Cow Udder,Nourishment,Sattva,Water,support nourishment teaching devotion,attested_classical
Ashlesha,Mercury,Nagas,Serpent,Entwining,Tamas,Water,coiling secrecy hypnotic intelligence,attested_classical
Magha,Ketu,Pitris,Throne,Authority,Tamas,Fire,ancestors heritage power leadership,attested_classical
Purva Phalguni,Venus,Bhaga,Hammock,Enjoyment,Rajas,Fire,pleasure love creativity relaxation,attested_classical
Uttara Phalguni,Sun,Aryaman,Bed,Patronage,Rajas,Earth,contracts friendship alliances stability,attested_classical
Hasta,Moon,Savitar,Hand,Manifestation,Sattva,Earth,skill craft dexterity manifestation,attested_classical
Chitra,Mars,Tvashtar,Jewel,Creation,Tamas,Fire,beauty architecture design brilliance,attested_classical
Swati,Rahu,Vayu,Coral,Independence,Tamas,Air,freedom wandering scattering exploration,attested_classical
Vishakha,Jupiter,Indra-Agni,Triumphal Arch,Achievement,Rajas,Fire,determination goals ambition,attested_classical
Anuradha,Saturn,Mitra,Lotus,Devotion,Sattva,Water,friendship loyalty devotion cooperation,attested_classical
Jyeshtha,Mercury,Indra,Earring,Leadership,Tamas,Water,authority responsibility protection,attested_classical
Mula,Ketu,Nirriti,Roots,Destruction,Tamas,Earth,roots destruction transformation investigation,attested_classical
Purva Ashadha,Venus,Apas,Elephant Tusk,Invigoration,Rajas,Water,enthusiasm declaration courage,attested_classical
Uttara Ashadha,Sun,Vishvadevas,Plank,Victory,Sattva,Earth,enduring success leadership ethics,attested_classical
Shravana,Moon,Vishnu,Ear,Listening,Sattva,Air,learning listening sacred knowledge,attested_classical
Dhanishta,Mars,Vasus,Drum,Fame,Tamas,Air,rhythm music prosperity community,attested_classical
Shatabhisha,Rahu,Varuna,Empty Circle,Healing,Tamas,Air,mystery healing secrecy research,attested_classical
Purva Bhadrapada,Jupiter,Aja Ekapada,Funeral Cot,Spiritual Fire,Rajas,Fire,intensity transformation asceticism,attested_classical
Uttara Bhadrapada,Saturn,Ahirbudhnya,Twin Serpents,Stability,Sattva,Water,depth patience wisdom endurance,attested_classical
Revati,Mercury,Pushan,Fish,Prosperity,Sattva,Water,protection guidance nourishment travel,attested_classical
