name_iast,body_region,count,size_angula,category,element,dosha,chakra_nearest,nadi,raga_therapeutic,herb_primary,herb_secondary,treatment_approach,path,source_text,attestation_status
Kṣipra,hand+foot,4,0.5,kālāntara-prāṇahara,air,Vāta,Anāhata,Hastijihvā,Bhairavī,Tulāsī,Aśvagandhā,prāṇa restoration,dakṣiṇa/vāma,Suśruta SS.6,attested_secondary
Tālāhṛdaya,palm+sole,4,0.5,kālāntara-prāṇahara,earth,Kapha,Mūlādhāra,Alambuṣā,Mārvā,Balā,Śatāvarī,grounding,dakṣiṇa,Suśruta SS.6,attested_secondary
Kūrcca,wrist+ankle,4,4,vaikalyakara,earth,Vāta+Kapha,Svādhiṣṭhāna,Kuhū,Kāfī,Guggulu,Eraṇḍa,joint stabilization,dakṣiṇa,Suśruta SS.6,attested_secondary
Kūrcca-śirah,wrist+ankle head,4,1,rujākara,air,Vāta,Anāhata,Hastijihvā,Yaman,Vacā,Śuṇṭhī,nerve calming,dakṣiṇa,Suśruta SS.6,attested_secondary
Māṇibandha,wrist,2,2,rujākara,air,Vāta,Viśuddha,Viśvodarā,Darbārī,Brahmi,Jyotiṣmatī,mental clarity,dakṣiṇa,Suśruta SS.6,attested_secondary
Gulpha,ankle,2,2,rujākara,earth,Vāta+Kapha,Mūlādhāra,Yaśasvinī,Bhimpalāsī,Punarnavā,Śatāvarī,ground+move,dakṣiṇa,Suśruta SS.6,attested_secondary
Indrāvasti,mid-forearm+calf,4,0.5,kālāntara-prāṇahara,fire,Pitta,Maṇipūra,Pūṣā,Mārvā,Kuṭaja,Nīm,digestive fire,dakṣiṇa,Suśruta SS.6,attested_secondary
Kūrpara,elbow,2,3,vaikalyakara,fire,Pitta,Maṇipūra,Pūṣā,Khamāj,Śāla,Devadāru,heat regulation,dakṣiṇa,Suśruta SS.6,attested_secondary
Jānu,knee,2,3,vaikalyakara,earth,Kapha+Vāta,Svādhiṣṭhāna,Gāndhārī,Bhairavī,Eraṇḍa,Balā,mobility,dakṣiṇa,Suśruta SS.6,attested_secondary
Āṇi,mid-upper arm+thigh,4,0.5,vaikalyakara,fire,Pitta,Maṇipūra,Alambuṣā,Tōḍī,Mañjiṣṭhā,Rakta candana,blood cooling,dakṣiṇa,Suśruta SS.6,attested_secondary
Ūrvi,upper arm+thigh,2,1,vaikalyakara,air,Vāta,Anāhata,Hastijihvā,Bāgeshṛī,Aśvagandhā,Vidarīkanda,strength,dakṣiṇa,Suśruta SS.6,attested_secondary
Kakṣadhara,axilla,2,0.5,vaikalyakara,air,Vāta+Pitta,Anāhata,Viśvodarā,Yaman,Harītakī,Pippalī,lymph flow,dakṣiṇa,Suśruta SS.6,attested_secondary
Vitapa,groin,2,1,vaikalyakara,water,Kapha,Svādhiṣṭhāna,Kuhū,Khamāj,Aśvagandhā,Kapikacchū,reproductive,dakṣiṇa,Suśruta SS.6,attested_secondary
Gūḍa,anus,1,4,sadyaḥ-prāṇahara,earth,Apāna Vāta,Mūlādhāra,Alambuṣā,,,Triphalā,evacuation,dakṣiṇa,Suśruta SS.6,attested_secondary
Vāstī,bladder,1,4,sadyaḥ-prāṇahara,water,Apāna Vāta,Svādhiṣṭhāna,Kuhū,,,Punarnavā,water regulation,dakṣiṇa,Suśruta SS.6,attested_secondary
Nābhi,navel,1,4,sadyaḥ-prāṇahara,fire,Samāna Vāta,Maṇipūra,Nābhi-nāḍī,Bhimpalāsī,Pippalī,Chitraka,agni center,dakṣiṇa,Suśruta SS.6,attested_secondary
