tithi_num,id,name_iast,name_devanagari,bija,mantra_short,element,guna,rasa,color_hex,graha,shakti,weapon,description,weapons_full,mudras,hue,garments,ornaments,capability_signature,weapons_attestation,attestation_status
1,devi_kamesvari,Kāmeśvarī,कामेश्वरी,Aim,Om Aim Hrīm Śrīm,fire,rajas,shringara,#ff6b35,Shukra,desire fulfillment,sugarcane bow,She who fulfills all desires — the creative impulse at the origin of manifestation,"sugarcane bow (ikṣu-danda), flowery arrows (pañca-bāṇa), aṅkuśa (goad), pāśa (noose)",varada mudrā (boon‐granting),lustrous red (complexion),red,"crown of rubies, throat ornament, necklaces, waist‐chain, gemmed rings on feet and hands, crescent moon on head","CUT, BIND, BURN/PURIFY, DEFEND",OBSERVED:PRIMARY,attested_classical
2,devi_bhagamalini,Bhagamālinī,भगमालिनी,Hrīm,Om Hrīm Bhagamālinyai,water,sattva,shanta,#4878c8,Chandra,auspiciousness,noose+goad,Garlanded with auspiciousness — she who bestows the six blessings of the Bhaga,"aṅkuśa, pāśa, sugarcane bow; 5 flowery arrows",,beautiful and red,green,,"BIND, STABILIZE",OBSERVED:PRIMARY,attested_classical
3,devi_nityaklinna,Nityaklinnā,नित्यक्लिन्ना,Klīm,Om Klīm Nityaklinne,water,tamas,karuna,#2050a0,Mangala,perpetual moisture,vessel of nectar,Ever-moist with compassion — she dissolves the dryness of separation,"aṅkuśa (goad), pāśa (noose)",abhaya mudrā,red,red,smeared with red sandalwood paste and beads of sweat on forehead,"STABILIZE, DEFEND",OBSERVED:PRIMARY,attested_classical
4,devi_bherunda,Bheruṇḍā,भेरुण्डा,Hrūm,Om Hrūm Bheruṇḍāyai,fire,tamas,raudra,#8b0000,Rahu,fierce protection,skull+trident,The fierce one — she who destroys obstacles through her terrifying form,"aṅkuśa, śūla (spear), vajra (thunderbolt), sword; pāśa, bow, gāda (mace), shield",,molten gold,/color: not specified,,"CUT, DEFEND, BIND, REVEAL",OBSERVED:PRIMARY,attested_classical
5,devi_vahnivasini,Vahnivāsinī,वह्निवासिनी,Raim,Om Raim Vahnivāsinyai,fire,rajas,vira,#ff4500,Surya,fire dwelling,fire+lotus,She who dwells in fire — transforming the gross into the subtle through sacred flame,"sugarcane bow, flowery arrows",,burning gold,yellow silk,"rubies, diadem with rubies, anklets, gem waist-chain, pearls","BURN/PURIFY, DEFEND",OBSERVED:PRIMARY,attested_classical
6,devi_mahavajresvari,Mahāvajreśvarī,महावाज्रेश्वरी,Aim Hrīm,Om Aim Hrīm Mahāvajreśvaryai,air,rajas,adbhuta,#7b68ee,Shani,thunderbolt power,vajra+bell,Mistress of the great thunderbolt — her power cuts through delusion instantly,"aṅkuśa, sugarcane bow, pāśa",,red,red,garland of red flowers,"CUT, BIND, DEFEND",OBSERVED:PRIMARY,attested_classical
7,devi_shivaduti,Śivadūtī,शिवदूती,Hūm,Om Hūm Śivadūtyai,ether,tamas,bhayanaka,#4b0082,Budha,Shiva's messenger,sword+shield,Shiva's emissary — she carries messages between the absolute and the manifest,"aṅkuśa, sword, axe, pāśa, shield, gada",,bright like midday sun,red,Navaratna crown and other ornaments,"CUT, DEFEND",OBSERVED:PRIMARY,attested_classical
8,devi_tvarita,Tvaritā,त्वरिता,Trim,Om Trim Tvaritāyai,fire,rajas,vira,#dc143c,Ketu,swift action,trident+drum,The swift one — she acts before thought can obstruct — pure spontaneous grace,"aṅkuśa, pāśa",abhaya and varada mudrās,dark blue,green,fresh leaves (no metals),"DEFEND, BURN/PURIFY, GRANT/PROMOTE",OBSERVED:PRIMARY,attested_classical
9,devi_kulasundari,Kulasundarī,कुलसुन्दरी,Aim Klīm,Om Aim Klīm Kulasundaryai,ether,sattva,shringara,#9370db,Guru,beauty of the lineage,noose+goad+lotus,Beautiful within the sacred lineage — she reveals the aesthetic dimension of liberation,MISSING DATA (none listed explicitly),vyākhyāna and varada mudrās,red,red,"crown with gems and rubies, necklaces, earrings, armlets (navaratna)","REVEAL/ILLUMINATE, STABILIZE, GRANT/PROMOTE",OBSERVED:PRIMARY,attested_classical
10,devi_nitya,Nityā,नित्या,Aim Hrīm Śrīm,Om Aim Hrīm Śrīm Nityāyai,water,sattva,shanta,#20b2aa,Shukra,eternal being,conch+lotus,The eternal one — she who IS beyond time while dwelling within it completely,"aṅkuśa (goad), pāśa (noose)",abhaya mudrā,red,red,smeared with red sandalwood paste and beads of sweat on forehead,"STABILIZE, DEFEND",OBSERVED:PRIMARY,attested_classical
