"deck_id","nakshatra_number","nakshatra_name","zodiac_span","padas","rashi_overlap","deity","planetary_lord","sacred_symbol","shakti_statement","yoni_animal","species_correspondence","primary_plant","secondary_plants","biodynamic_category","astrobotanical_timing","gana","varna","nadi","dosha_profile","body_region","gift_expression","shadow_expression","gandanta_flag","gandanta_polarity","tithi_group_preference","boundary_harmonic_mode","nodal_interior_pattern","prime_signature","morphology_correlates","svara_link","raga_link","visual_palette_logic","panel_layout","motto","attestation_level","source_file","citation_status","operational_status","core_completeness_score","conflict_flag"
"nak_01","1","Ashwini","00d00m Mesha - 13d20m Mesha","4","Mesha","Ashwini Kumaras","Ketu","horse_head","Healing","horse (male)","Horse (yoni_male)","Ashwagandha","Kuchila (Strychnos nux-vomica); Arka","Fruit/Seed","fire/dry; do: harvesting seeds; avoid: planting; crops: grains","deva","Kshatriya","Madhya","Vata/Pitta: vata↑ fast movement; watch dryness","shanks","swift healing; initiating action","impatience; restlessness","yes","fire-entering","Nanda (fire-starting gandanta prefers Nanda tithis)","elevated tithi-group differentiation (1.6x, p<0.0001)","","","","","Bilawal","#8d784f; fire-toned","warm bg; twin horse heads flanking; swift diagonal lines","The healers arrive before the wound is named.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","ready","100","no"
"nak_02","2","Bharani","13d20m Mesha - 26d40m Mesha","4","Mesha","Yama","Venus","yoni","Transformation","elephant (female)","Elephant (yoni_male)","Amla","Aloe Vera","Fruit/Seed","earth/heavy; do: root crops; avoid: transplanting; crops: yams/tubers","manushya","Brahmana","Antya","Pitta/Vata: pitta↑ intensity; watch heat","head","endurance through transformation","excess; possessiveness","no","","","","","","","","Kalyani","#ffa9dc; earth-toned","earth tones; yoni triangle center; heavy border","What is born must also die; what dies is reborn.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_03","3","Krittika","26d40m Mesha - 10d00m Vrishabha","4","Mesha/Vrishabha","Agni","Sun","razor","Purification","sheep (female)","Sheep (yoni_male)","Fig","Udumbara (Ficus racemosa); Ginger","Fruit/Seed/Root (cusp)","fire/sharp; do: pruning/cutting; avoid: planting","rakshasa","Brahmana","Madhya","Kapha/Pitta: kapha↑ heaviness; watch congestion","mouth","clarity through purification","harshness; destructive criticism","no","","","","","","","","Todi","#ffb300; fire-toned","flame gradient; razor motif top; sharp horizontal divide","The blade that purifies does not apologize.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_04","4","Rohini","10d00m Vrishabha - 23d20m Vrishabha","4","Vrishabha","Brahma","Moon","chariot","Growth","serpent (female)","Serpent (yoni_male)","Jasmine","Jamun (Syzygium cumini); Lotus","Root","earth/fertile; do: planting ALL; crops: everything","manushya","Vaishya","Adi","Kapha/Pitta: kapha↑ sweetness; watch attachment","shanks","fertility; creative abundance","attachment; material fixation","no","","","","","","","","Bhairavi","#e7e7ff; earth-toned","cream/green; chariot center; lush organic border","All things grow toward what nourishes them.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_05","5","Mrigashira","23d20m Vrishabha - 06d40m Mithuna","4","Vrishabha/Mithuna","Soma","Mars","deer_head","Searching","serpent (male)","Serpent (yoni_female)","Khadira","Jasmine","Root/Flower (cusp)","earth/tender; do: flowers/herbs; avoid: heavy work; crops: aromatics/herbs","deva","Vaishya","Madhya","Pitta/Vata: pitta→ restless seeking","eyes","curiosity; tireless seeking","indecisiveness; scattered pursuit","no","","","","","","","","Hindol","#922610; earth-toned","bisected card (earth/air); deer silhouette; wandering path","The deer never stops searching.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_06","6","Ardra","06d40m Mithuna - 20d00m Mithuna","4","Mithuna","Rudra","Rahu","teardrop","Renewal","dog (male)","Dog (yoni_female)","Agarwood","Shisham (Dalbergia sissoo); Mint","Flower","water/storm; do: rest/observe; avoid: all field work","manushya","Kshatriya","Antya","Vata/Pitta: vata↑ stormy; watch anxiety","hair","emotional renewal after storm","anxiety; destructive intensity","no","","","","","","","","Darbari","#4e0d7a; water-toned","dark storm wash; single teardrop focal; jagged edges","After the storm, the air is new.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_07","7","Punarvasu","20d00m Mithuna - 03d20m Karka","4","Mithuna/Karka","Aditi","Jupiter","quiver","Restoration","cat (female)","Cat (yoni_male)","Bamboo","Tulsi","Flower/Leaf (cusp)","air/renewal; do: transplanting; crops: fruit trees","deva","Brahmana","Adi","Vata/Kapha: vata↑ then restore","fingers","restoration; nurturing return","instability; over-optimism","no","","","","","","","","Yaman","#ffe574; air-toned","golden air; quiver motif; return-arrow arc","What was lost returns, changed.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_08","8","Pushya","03d20m Karka - 16d40m Karka","4","Karka","Brihaspati","Saturn","lotus","Nourishment","sheep (male)","Sheep (yoni_female)","Peepal","Basil","Leaf","water/nourish; do: planting; crops: all food crops","deva","Brahmana","Madhya","Pitta/Kapha: pitta stable; digestion focus","face","nourishing devotion; teaching","rigidity; smothering care","no","","","","","","","","Kafi","#4e6175; water-toned","deep blue-green; lotus center; concentric nourishing rings","Feed first; teach after.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_09","9","Ashlesha","16d40m Karka - 00d00m Simha","4","Karka","Nagas","Mercury","coiled_serpent","Entwining","cat (male)","Cat (yoni_female)","Nagakesara","Nagkesara (Mesua ferrea); Snake Root","Leaf","water/sharp; do: pest control; avoid: planting","rakshasa","Brahmana","Antya","Kapha/Vata: kapha+vata: sticky + nervous","fingernails","coiling intelligence; strategic depth","manipulation; secrecy","yes","water-leaving","Purna (water-ending gandanta prefers Purna tithis)","elevated tithi-group differentiation (1.6x, p<0.0001)","","","","","Bhairav","#0d7a39; water-toned","dark green; coiled serpent spiral; tight border","The serpent knows by coiling, not by asking.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","partial","100","yes"
"nak_10","10","Magha","00d00m Simha - 13d20m Simha","4","Simha","Pitris","Ketu","throne","Authority","rat (male)","Mouse (yoni_male)","Banyan","Bilva","Fruit/Seed","fire/royal; do: harvest ceremony; avoid: planting","rakshasa","Kshatriya","Madhya","Kapha/Pitta: kapha↑ pride/rigidity","nose","ancestral authority; leadership","pride; attachment to status","yes","fire-entering","Nanda (fire-starting gandanta prefers Nanda tithis)","elevated tithi-group differentiation (1.6x, p<0.0001)","","","","","Marwa","#685d48; fire-toned","dark fire tones; throne silhouette; ancestral column","The throne remembers who sat before.","canon","datasets/astro/nakshatra_canonical.csv; datasets/plants/nakshatra_plants.csv; datasets/ayurveda/dosha_nakshatra_matrix.csv; datasets/yoga/nakshatra_body_map.csv; datasets/plants/nakshatra_agriculture.csv; datasets/species/nakshatra_species.csv; npu_engine/sound/sound_engine.py","extracted","ready","100","no"
