amidha_id,name,link,preview,pacify,aggravate,tridosha,rasa,guna,virya,vipaka,prabhav,attestation_status
A0001,Tulsi,https://www.amidhaayurveda.com/p/tulsi.html,"Tulsi (Ocimum sanctum) is known as the 'Queen of Herbs' in Ayurveda. It boosts immunity, combats respiratory disorders, and has adaptogenic properties.",Kapha|Vata,Pitta,False,Katu|Tikta,Laghu|Ruksha,Ushna,Katu,rasayan|Krimighna|Kasahara|Shoolaghna,OBSERVED:AMIDHA_CC_BY_4_0
A0002,Amla,https://www.amidhaayurveda.com/p/amla.html,"Amla (Emblica officinalis) is a potent source of Vitamin C. It rejuvenates tissues, improves digestion, eyesight, and balances all three doshas.",tridosha,,True,Amla,Laghu|Snigdha,Sheeta,Madhura,rasayan|Chakshushya|Hridaya|Deepana,OBSERVED:AMIDHA_CC_BY_4_0
A0003,Ashwagandha,https://www.amidhaayurveda.com/p/ashwagandha.html,"Ashwagandha (Withania somnifera) is a powerful adaptogen. It reduces stress, increases strength, and supports reproductive and nervous systems.",Vata|Kapha,Pitta,False,Tikta|Kashaya,Guru|Snigdha,Ushna,Madhura,Balya|Medhya|Vrishya|rasayan,OBSERVED:AMIDHA_CC_BY_4_0
A0004,Giloy,https://www.amidhaayurveda.com/p/giloy.html,"Giloy (Tinospora cordifolia) is a powerful immunity booster. It acts as an antipyretic, detoxifier, and rejuvenator with anti-inflammatory effects.",tridosha,,True,Tikta,Laghu|Sara,Ushna,Madhura,Jwaraghna|Raktashodhak|Shothahara|rasayan,OBSERVED:AMIDHA_CC_BY_4_0
A0005,Shatavari,https://www.amidhaayurveda.com/p/shatavari.html,"Shatavari (Asparagus racemosus) supports female reproductive health, boosts vitality, and is a top Ayurvedic rejuvenator for Pitta and Vata.",Vata|Pitta,Kapha,False,Madhura,Guru|Snigdha,Sheeta,Madhura,Stanyashodhana|Shukrala|rasayan|Varnya,OBSERVED:AMIDHA_CC_BY_4_0
A0006,Nagarmotha,https://www.amidhaayurveda.com/p/nagarmotha.html,"Used to treat indigestion, fever, and obesity through its deepana and pachana actions.",Kapha|Pitta,Vata,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Deepana|Pachana|Grahi,OBSERVED:AMIDHA_CC_BY_4_0
A0007,Agnimantha,https://www.amidhaayurveda.com/p/agnimantha.html,"Part of Dashamoola, used in vata disorders and for promoting digestion.",Vata,Pitta,False,Tikta,Laghu,Ushna,Katu,Shoolaghna|Virechana,OBSERVED:AMIDHA_CC_BY_4_0
A0008,Rohitaka,https://www.amidhaayurveda.com/p/rohitaka.html,"Used for treating liver disorders, ascites, and splenomegaly.",Pitta|Kapha,Vata,False,Tikta|Kashaya,Laghu|Ruksha,Sheeta,Katu,Raktashodhak|Deepana|Pachana,OBSERVED:AMIDHA_CC_BY_4_0
A0009,Chopchini,https://www.amidhaayurveda.com/2025/10/chopchini-ayurvedic-uses-benefits.html,"Used in treating joint disorders and skin diseases, known for its anti-inflammatory action.",Vata|Kapha,Pitta,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,Shothahara|Shoolaghna|Vrishya,OBSERVED:AMIDHA_CC_BY_4_0
A0010,Bhringraj,https://www.amidhaayurveda.com/2025/10/bhringraj-ayurvedic-uses-benefits.html,"Promotes hair growth, supports liver function, and has rejuvenating qualities.",Vata|Pitta,Kapha,False,Tikta|Katu,Laghu|Ruksha,Ushna,Katu,rasayan|Chakshushya|Vrishya,OBSERVED:AMIDHA_CC_BY_4_0
A0011,Jatamansi,https://www.amidhaayurveda.com/2025/10/jatamansi-ayurvedic-uses-benefits.html,"Calms the mind, supports mental clarity, and acts as a nervine tonic.",Vata|Pitta,Kapha,False,Tikta,Laghu|Snigdha,Sheeta,Madhura,Medhya|rasayan|Shoolaghna,OBSERVED:AMIDHA_CC_BY_4_0
A0012,Chandana,https://www.amidhaayurveda.com/2025/10/chandana-sandalwood-ayurvedic-uses.html,"Cooling herb used in Pitta disorders, urinary tract infections, and skin diseases.",Pitta,Vata,False,Madhura|Tikta,Snigdha,Sheeta,Madhura,Mutrala|Chakshushya|Varnya,OBSERVED:AMIDHA_CC_BY_4_0
A0013,Kutaj,https://www.amidhaayurveda.com/2025/10/kutaj-ayurvedic-uses-benefits-healing.html,"Treats diarrhea, dysentery and balances kapha and pitta dosha.",Pitta|Kapha,Vata,False,Tikta|Kashaya,Laghu|Ruksha,Sheeta,Katu,Grahi|Krimighna|Shoolaghna,OBSERVED:AMIDHA_CC_BY_4_0
A0014,Rasona (Garlic),https://www.amidhaayurveda.com/2025/10/rasona-garlic-ayurvedic-uses-benefits.html,"Used for respiratory, digestive, and circulatory disorders. Known for lekhana and deepana properties.",Vata|Kapha,Pitta,False,Katu|Tikta,Laghu|Ruksha,Ushna,Katu,Lekhana|Deepana|rasayan,OBSERVED:AMIDHA_CC_BY_4_0
A0015,Kanchanar,https://www.amidhaayurveda.com/2025/10/kanchanar-ayurvedic-uses-benefits.html,"Kanchanar is used to reduce glandular swellings, support thyroid, and treat goiter.",Kapha|Pitta,Vata,False,Tikta|Kashaya,Laghu|Ruksha,Ushna,Katu,Lekhana|Shothahara|Granthihara,OBSERVED:AMIDHA_CC_BY_4_0
