id,name_iast,name_english,body_region,element,guna,dosha,chakra_affinity,nakshatra_affinity,tissue_type,function,therapeutic_note,measurement_anguli,attestation_status
marma:adhipati,Adhipati,Crown of the head,head,ether,sattva,vata,Sahasrara,"Rohini,Hasta,Shravana",sandhi,"Integrates prana and consciousness at the top of the head, regulating spiritual awareness and neural functions.",Stimulating this point calms the mind and supports higher consciousness.,0.5,attested_secondary
marma:sthapani,Sthāpani,Third‑eye point,head,ether,sattva,vata,Ajna,"Kritika,Uttara Phalguni,Uttara Shadha",sira,"Governs intellect, intuition and sensory organs, linking the left and right hemispheres.","Gentle pressure enhances concentration, relieves headaches and improves eye health.",0.5,attested_secondary
marma:apanga,Apāṅga,Outer eye corner,head,air,sattva,vata,Ajna,"Kritika,Uttara Phalguni,Uttara Shadha",sira,"Supports peripheral vision and ocular circulation, connecting eye tissues to the brain.",Activating this point relieves eye fatigue and improves clarity of vision.,0.5,attested_secondary
marma:vidhura,Vidhura,Behind the ear,head,air,sattva,vata,Vishuddha,"Pushya,Anuradha,Uttara Bhadrapada",sira,"Regulates auditory nerves and balance, influencing hearing and speech processing.","Pressing this point alleviates earaches, tinnitus and stress headaches.",0.5,attested_secondary
marma:phana,Phāṇa,Beside nostrils,head,air,rajas,vata,Ajna,"Kritika,Uttara Phalguni,Uttara Shadha",sira,"Relates to olfaction and sinus drainage, balancing prana between nostrils.",Gentle stimulation eases sinus congestion and headaches.,0.5,attested_secondary
marma:shringataka,Śṛṅgāṭaka,Confluence of sensory channels,head,ether,sattva,vata,Ajna,"Kritika,Uttara Phalguni,Uttara Shadha",sira,"Connects nasal, auditory, ocular and gustatory nerves, integrating sensory perception.",Balancing this point harmonises the senses and supports clarity of perception.,1.0,attested_secondary
marma:krikatika,Kṛkātikā,Base of skull,neck,ether,sattva,vata,Vishuddha,"Pushya,Anuradha,Uttara Bhadrapada",sandhi,"Supports head and neck connection, influencing cervical spine and brainstem circulation.",Massage here relieves neck stiffness and headaches.,1.0,attested_secondary
marma:manya1,Manyā,Side of neck (left),neck,ether,sattva,vata,Vishuddha,"Pushya,Anuradha,Uttara Bhadrapada",dhamani,Facilitates blood flow through carotid artery and nerve impulses to the brain.,Gently working this area improves circulation and eases throat tension.,2.0,attested_secondary
marma:sira-matrika,Śirā Mātrikā,Neck vessels,neck,air,sattva,vata,Vishuddha,"Pushya,Anuradha,Uttara Bhadrapada",sira,Supplies vital blood and prana from thorax to head via jugular and carotid vessels.,Keeping this area relaxed supports brain oxygenation and vocal clarity.,1.0,attested_secondary
marma:nila,Nīlā,Blue channel (left),neck,ether,sattva,vata,Vishuddha,"Pushya,Anuradha,Uttara Bhadrapada",dhamani,"Controls venous return and thyroid function, balancing speech and metabolism.",Light pressure helps regulate thyroid and calms the nervous system.,1.0,attested_secondary
marma:manya2,Manyā,Side of neck (right),neck,ether,sattva,vata,Vishuddha,"Pushya,Anuradha,Uttara Bhadrapada",dhamani,Facilitates blood flow through carotid artery and nerve impulses to the brain.,Gently working this area improves circulation and eases throat tension.,2.0,attested_secondary
marma:apalapa,Apālapa,Below shoulders,chest,air,rajas,pitta,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",snayu,"Links brachial plexus and axillary vessels, aiding arm movement and circulation.",Stimulation releases tension in shoulders and opens chest for better breathing.,1.0,attested_secondary
marma:apastambha1,Apastambha,Chest flank (left),chest,air,rajas,pitta,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",sira,"Contains bronchial arteries and phrenic nerve, regulating breathing and cardiac rhythm.",Pressing this point supports lung capacity and relieves chest congestion.,2.0,attested_secondary
marma:hridaya,Hṛdaya,Heart centre,chest,air,rajas,kapha,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",mamsa,"Core marma controlling cardiac function, blood circulation and emotions.","Gentle touch calms the heart, reduces anxiety and harmonises breath.",4.0,attested_secondary
marma:stanamula,Stanamūla,Base of breast,chest,water,rajas,kapha,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",sira,"Supports breast tissue and lymphatic drainage, nourishing respiratory and immune systems.","Massage encourages lymph flow, relieves chest tension and aids emotional release.",2.0,attested_secondary
marma:stanarohita,Stanārohita,Above the breast,chest,air,rajas,pitta,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",sira,"Anchors pectoral muscles and nerves supplying the lungs, promoting chest expansion.",Stimulating this area eases tightness and enhances deep breathing.,1.0,attested_secondary
marma:apastambha2,Apastambha,Chest flank (right),chest,air,rajas,pitta,Anahata,"Bharani,Poorva Phalguni,Poorva Shadha",sira,"Contains bronchial arteries and phrenic nerve, regulating breathing and cardiac rhythm.",Pressing this point supports lung capacity and relieves chest congestion.,2.0,attested_secondary
marma:basti,Basti,Pelvic basin,abdomen,water,tamas,kapha,Svadhishthana,"Ashlesha,Jyeshtha,Revati",mamsa,"Governs urinary bladder, reproductive organs and fat metabolism in the pelvis.","Activation improves elimination, fertility and hormonal balance.",4.0,attested_secondary
marma:nabhi,Nābhi,Navel,abdomen,fire,rajas,pitta,Manipura,"Punarvasu,Vishakha,Poorva Bhadrapada",sira,"Central hub for digestion and metabolism, influencing digestive fire (agni).",Massaging this area strengthens digestion and balances appetite.,4.0,attested_secondary
marma:vitapa,Vitapa,Groin fold,abdomen,water,tamas,kapha,Svadhishthana,"Ashlesha,Jyeshtha,Revati",sira,Coordinates blood flow and nerve supply to reproductive organs and lower limbs.,Stimulating this area improves reproductive health and relieves groin strain.,2.0,attested_secondary
marma:guda,Guḍa,Anus,abdomen,earth,tamas,kapha,Muladhara,"Mrigashira,Chitra,Dhanishtha",sira,Controls excretion and elimination via rectal veins and muscles.,Care of this point supports healthy bowels and alleviates hemorrhoids.,3.0,attested_secondary
marma:katikataruna,Kaṭikataruṇa,Pelvic crest,back,earth,tamas,vata,Muladhara,"Mrigashira,Chitra,Dhanishtha",sandhi,Supports the sacroiliac joint and nervous supply to the pelvis and legs.,Working this point relieves lower back pain and stabilises the pelvis.,2.0,attested_secondary
marma:nitamba,Nitamba,Hip region,back,earth,tamas,kapha,Muladhara,"Mrigashira,Chitra,Dhanishtha",mamsa,"Connects gluteal muscles, supporting pelvic stability and sacral nerves.",Massage alleviates sciatic pain and releases tension in the hips.,2.0,attested_secondary
marma:parshvasandhi,Pārśvasandhi,Flank joint,back,earth,tamas,kapha,Muladhara,"Mrigashira,Chitra,Dhanishtha",sandhi,"Connects ribs and pelvis, affecting kidneys and lumbar region.",Pressing this point eases lower back stiffness and benefits kidney function.,2.0,attested_secondary
