relation_id,source_type,source_id,target_type,target_id,relation,direction,weight,attestation,notes
GBR001,pitha,SP001,body_region,skull_vault,body_part_fell,pitha→body,1.0,OBSERVED:PRIMARY_TEXT,Brahmarandhra = crown opening; Devi Bhagavata
GBR002,pitha,SP005,body_region,pelvis,body_part_fell,pitha→body,1.0,OBSERVED:PRIMARY_TEXT,Kamakhya yoni; menstruation temple
GBR003,pitha,SP003,body_region,cochlea,body_part_fell,pitha→body,0.9,OBSERVED:PRIMARY_TEXT,Ear ornaments fell at Varanasi
GBR004,pitha,SP006,body_region,nasal_cavity,body_part_fell,pitha→body,0.9,OBSERVED:PRIMARY_TEXT,Tongue at Jwalamukhi; oral-nasal shared
GBR005,pitha,SP007,body_region,tarsals,body_part_fell,pitha→body,1.0,OBSERVED:PRIMARY_TEXT,Right toes at Kalighat
GBR006,pitha,SP008,body_region,skull_vault,body_part_fell,pitha→body,0.9,OBSERVED:PRIMARY_TEXT,Third eye/forehead at Tarapith
GBR007,pitha,SP025,body_region,heart_muscle,body_part_fell,pitha→body,1.0,OBSERVED:PRIMARY_TEXT,Heart at Vaidyanath Deoghar
GBR008,pitha,SP019,body_region,cervical_spine,body_part_fell,pitha→body,0.9,OBSERVED:PRIMARY_TEXT,Neck at Srisailam
GBR009,pitha,SP023,body_region,ribs,body_part_fell,pitha→body,0.9,OBSERVED:PRIMARY_TEXT,Left breast at Jalandhar
GBR010,pitha,SP021,body_region,ribs,body_part_fell,pitha→body,0.8,OBSERVED:PRIMARY_TEXT,Stomach at Somnath; abdominal region
GBR011,pitha,SP027,body_region,femur,body_part_fell,pitha→body,0.8,OBSERVED:TRADITIONAL,Skeleton/bones at Kanchipuram
GBR012,pitha,SP010,body_region,carpals,body_part_fell,pitha→body,1.0,OBSERVED:PRIMARY_TEXT,Palms/hands at Jessoreswari
GBR013,pitha,SP013,body_region,scapula,body_part_fell,pitha→body,0.9,OBSERVED:PRIMARY_TEXT,Left shoulder at Mithila
GBR014,pitha,SP016,body_region,femur,body_part_fell,pitha→body,0.9,OBSERVED:PRIMARY_TEXT,Left thigh at Jayanti/Sylhet
GBR015,pitha,SP031,body_region,skull_vault,body_part_fell,pitha→body,0.8,OBSERVED:PRIMARY_TEXT,Mind/manas at Bakreshwar
GBR016,pitha,SP040,body_region,eye_socket,body_part_fell,pitha→body,0.9,OBSERVED:PRIMARY_TEXT,Three eyes at Kolhapur
GBR017,pitha,SP044,body_region,tarsals,body_part_fell,pitha→body,0.9,OBSERVED:TRADITIONAL,Feet soles at Tripura
GBR018,pitha,SP057,body_region,femur,body_part_fell,pitha→body,0.9,OBSERVED:PRIMARY_TEXT,Bone at Kankalitala; asthi dhatu
GBR019,pitha,SP047,body_region,nasal_cavity,body_part_fell,pitha→body,1.0,OBSERVED:TRADITIONAL,Nose at Sugandha
