id,dice_1,dice_2,dice_3,total,name,sanskrit,quality,body_region,graha,rasa,field_reading
1,1,1,1,3,Kṛta,कृत,excellent,crown,Sun,madhura,The highest throw. All endeavors succeed. The field is fully coherent. Act without hesitation.
2,1,1,2,4,Tretā,त्रेता,very_good,forehead,Moon,madhura,Excellent fortune. What you seek is near. The field supports movement forward.
3,1,1,3,5,Dvāpara,द्वापर,good,right_eye,Mars,kaṭu,Good outcome with effort. Obstacles exist but yield. The field is active — press forward.
4,1,1,4,6,Kali,कलि,mixed,left_eye,Rahu,tikta,The weakest throw of this family. Proceed with awareness. The field holds tension unresolved.
5,1,2,1,4,Vijaya,विजय,excellent,right_ear,Jupiter,madhura,Victory. The field aligns with your intention. An auspicious time for all undertakings.
6,1,2,2,5,Jayā,जया,very_good,left_ear,Venus,madhura,Success follows effort. The field is supportive. Move now while the current is favorable.
7,1,2,3,6,Siddhi,सिद्धि,good,nose,Mercury,amla,Accomplishment. What has been cultivated bears fruit. The field rewards sustained practice.
8,1,2,4,7,Ṛddhi,ऋद्धि,good,mouth,Moon,madhura,Growth and increase. The field expands. Resources accumulate around clear intention.
9,1,3,1,5,Śrī,श्री,excellent,throat,Venus,madhura,Auspicious. Lakṣmī is present in the field. Wealth beauty and harmony are indicated.
10,1,3,2,6,Hrī,ह्री,very_good,right_shoulder,Sun,kaṭu,Dignity and modesty. The field calls for reserve. Do not overreach — restraint brings more than force.
11,1,3,3,7,Dhṛti,धृति,good,left_shoulder,Saturn,tikta,Steadiness. The field rewards patience. Hold your position — the right moment approaches.
12,1,3,4,8,Puṣṭi,पुष्टि,good,right_arm,Jupiter,madhura,Nourishment. The field is fertile. What is given now returns multiplied.
13,1,4,1,6,Tuṣṭi,तुष्टि,very_good,left_arm,Moon,madhura,Contentment. The field is at rest. Satisfaction is available now — receive it.
14,1,4,2,7,Kīrti,कीर्ति,good,right_hand,Sun,kaṭu,Reputation. The field amplifies your name. Actions taken now have lasting consequence.
15,1,4,3,8,Smṛti,स्मृति,good,left_hand,Mercury,amla,Memory and recall. The field holds what has been. Look to the past for the answer present.
16,1,4,4,9,Medhā,मेधा,mixed,chest,Mercury,amla,Intelligence active but scattered. The field is complex. Slow down and let clarity emerge.
17,2,1,1,4,Pratibhā,प्रतिभा,excellent,right_breast,Moon,madhura,Intuition blazing. The field speaks directly. Trust what arises without translation.
18,2,1,2,5,Prajñā,प्रज्ञा,very_good,left_breast,Jupiter,madhura,Wisdom present. The field carries deep knowledge. What you need to know is already known.
19,2,1,3,6,Śraddhā,श्रद्धा,good,heart,Sun,madhura,Faith. The field asks for surrender. Trust the process even when the outcome is not visible.
20,2,1,4,7,Māyā,माया,mixed,stomach,Rahu,tikta,Illusion is present. The field carries confusion. What appears is not what is — look deeper.
21,2,2,1,5,Lakṣmī,लक्ष्मी,excellent,navel,Venus,madhura,Full auspiciousness. Lakṣmī stands in the field. Abundance flows to the open hand.
22,2,2,2,6,Sarasvatī,सरस्वती,excellent,lower_abdomen,Moon,madhura,The goddess of knowledge and art is present. The field is luminous. Create now.
23,2,2,3,7,Durgā,दुर्गा,good,right_hip,Mars,kaṭu,Fierce protection. The field guards what is precious. Cross the obstacle — you will not fall.
24,2,2,4,8,Kālī,काली,mixed,left_hip,Saturn,tikta,Dissolution is at work. The field clears what has expired. Release before you can receive.
25,2,3,1,6,Gāyatrī,गायत्री,excellent,right_thigh,Sun,madhura,The mother of mantras illuminates the field. Chant speak pray — the sound carries power now.
26,2,3,2,7,Sāvitrī,सावित्री,very_good,left_thigh,Sun,madhura,Solar force. The field is charged with vital energy. This is a time of awakening.
27,2,3,3,8,Umā,उमा,good,right_knee,Moon,madhura,Gentle grace. The field holds the softness of Pārvatī. Approach with love not force.
28,2,3,4,9,Rudrā,रुद्रा,mixed,left_knee,Mars,kaṭu,Transformation through disruption. The field is stormy. What breaks was ready to break.
29,2,4,1,7,Indrāṇī,इन्द्राणी,very_good,right_calf,Jupiter,madhura,Royal favor. The field carries the energy of the sovereign. Leadership and authority are supported.
30,2,4,2,8,Varuṇānī,वरुणानी,good,left_calf,Saturn,kaṣāya,Deep waters. The field holds what is hidden. What moves below the surface now surfaces.
31,2,4,3,9,Brahmāṇī,ब्रह्माणी,good,right_ankle,Jupiter,madhura,Creative force. The field is generative. Begin — the first step is the whole journey.
32,2,4,4,10,Vaiṣṇavī,वैष्णवी,mixed,left_ankle,Mercury,madhura,Preservation. The field holds steady. Protect what has been built before adding more.
