body_region,marma_name,marma_location,marma_type,therapeutic_action,contraindication,source_text,attestation_status
back,Kukundara,base of spine lateral,snayu,steady warmth and awareness along the sacral base,avoid forceful pressure on acute injury,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
ears,Vidhura,below the ear behind the jaw,sira,quiet listening and gentle oiling around the ear base,avoid deep pressure in active ear pain or infection,Suśruta Saṃhitā marma tradition basic regional mapping,OBSERVED
chest,Stanamula,base of the breast,mamsa,warm oil and soft palm awareness over the sternum and breast root,avoid pressure over inflamed tissue or cardiac distress,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
neck,Nila/Manya,sides of the neck,sira,gentle lateral neck release with breath awareness,avoid compression of the carotid region,Suśruta Saṃhitā marma tradition basic regional mapping,OBSERVED
hands,Kshipra,between thumb and index finger,snayu,light acupressure and circulation opening,avoid hard pressure during inflammation or fracture,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
feet,Kshipra,between big toe and second toe,snayu,grounding pressure and warm oil before rest,avoid strong pressure in neuropathy or open wound,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
head,Adhipati,crown of the head,sandhi,stillness and crown awareness with cooling oil if appropriate,avoid impact or pressure after head injury,Suśruta Saṃhitā marma tradition basic regional mapping,OBSERVED
abdomen,Nabhi,navel center,sira,warm palm over navel and slow breath,avoid heavy pressure after meals or during acute abdominal pain,Suśruta Saṃhitā marma tradition basic regional mapping,OBSERVED
nose,Phana,sides of the nostrils,sira,subtle breath awareness and light nasal oil ritual,avoid force when sinuses are acutely inflamed,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
face,Apanga,outer eye and cheek junction,sira,soft eye-rest and cooling gaze practice,avoid pressure directly on the eye,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
eyes,Apanga,outer canthus region,sira,palming and visual rest,avoid direct pressure,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
shanks,Indrabasti,mid-calf,mamsa,warm oil and calf compression for grounded circulation,avoid deep pressure in clotting or acute tear,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
thighs,Urvi,mid-thigh,mamsa,broad palm compression and walking after oiling,avoid strong pressure over varicosities or injury,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
arms,Kurca,base of the hand and forearm,snayu,wrist and forearm opening with oil,avoid pressure in acute nerve pain,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
sides,Parshvasandhi,lateral rib attachment,sandhi,side-body expansion and warm compress,avoid strong pressure over bruised ribs,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
forehead,Sthapani,between the brows,sira,resting attention and cooling touch,avoid pressure during migraine flare,Suśruta Saṃhitā marma tradition basic regional mapping,TRADITIONAL
teeth,Hanu angle,jaw hinge region,sandhi,jaw release and unclenching awareness,avoid aggressive manipulation of the TMJ,Suśruta Saṃhitā marma tradition basic regional mapping,INTERPRETATION
genitals,Guda/Basti pelvic gate,pelvic floor and root region,sira,root awareness and protected warmth,avoid pressure in acute pelvic pain,Suśruta Saṃhitā marma tradition basic regional mapping,INTERPRETATION
fingernails,Tala Hrdaya hand center,palm center with fingertip extension,snayu,open the palm and fingertips with breath,avoid strain in nerve inflammation,Suśruta Saṃhitā marma tradition basic regional mapping,INTERPRETATION
hair,Simanta scalp line,cranial suture line,sandhi,scalp oiling and calm crown stroke,avoid pressure after head trauma,Suśruta Saṃhitā marma tradition basic regional mapping,INTERPRETATION
