stable_id,english_name,sanskrit_devanagari,sanskrit_iast,category,attestation_status
VA01,singing,गीतम्,gītam,music,inferred_coherent
VA02,instrumental_music,वाद्यम्,vādyam,music,inferred_coherent
VA03,dancing,नृत्यम्,nṛtyam,performance,inferred_coherent
VA04,dramatic_performance,नाट्यम्,nāṭyam,performance,inferred_coherent
VA05,painting,आलेख्यम्,ālekhyam,visual_art,inferred_coherent
VA06,body_decoration,विशेषकच्छेद्यम्,viśeṣaka-cchedyam,cosmetic_art,inferred_coherent
VA07,rice_flour_and_flower_designs,तण्डुलकुसुमबलिविकाराः,taṇḍula-kusuma-bali-vikārāḥ,ritual_art,inferred_coherent
VA08,flower_arranging,पुष्पास्तरणम्,puṣpāstaraṇam,decorative_art,inferred_coherent
VA09,body_and_garment_coloring,दशनवसनाङ्गरागः,daśana-vasanāṅga-rāgaḥ,cosmetic_art,inferred_coherent
VA10,gem_inlay_work,मणिभूमिकाकर्म,maṇi-bhūmikā-karma,craft,inferred_coherent
VA11,bed_preparation,शयनरचना,śayana-racanā,domestic_art,inferred_coherent
VA12,water_music,उदकवाद्यम्,udaka-vādyam,music,inferred_coherent
VA13,water_sport,उदकघातः,udaka-ghātaḥ,play,inferred_coherent
VA14,garland_making,माल्यग्रथनविकल्पाः,mālya-grathana-vikalpāḥ,craft,inferred_coherent
VA15,flower_crown_design,शेखरापीडयोजनम्,śekharāpīḍa-yojanam,craft,inferred_coherent
VA16,costume_and_stage_design,नेपथ्ययोगाः,nepathya-yogāḥ,performance,inferred_coherent
VA17,ear_ornament_craft,कर्णपत्रभङ्गाः,karṇapatrabhaṅgāḥ,craft,inferred_coherent
VA18,perfume_making,गन्धानां युक्तिः,gandhānāṃ yuktiḥ,alchemy,inferred_coherent
VA19,jewelry_design,भूषणयोजनम्,bhūṣaṇa-yojanam,craft,inferred_coherent
VA20,magic_and_illusion,ऐन्द्रजालम्,aindrajālam,illusion,inferred_coherent
VA21,manual_skill_and_handicraft,कौशलम्,kauśalam,craft,inferred_coherent
VA22,cooking,पाकशास्त्रम्,pākaśāstram,domestic_art,inferred_coherent
VA23,beverage_preparation,पानकसंयोगः,pānakasaṃyogaḥ,domestic_art,inferred_coherent
VA24,needlework,सूचिवायनम्,sūcivāyanam,craft,inferred_coherent
VA25,weaving,तन्तुवायनम्,tantuvāyanam,craft,inferred_coherent
VA26,riddle_making,प्रहेलिका,prahelikā,intellectual,inferred_coherent
VA27,poetic_problem_solving,काव्यसमस्या,kāvyasamasyā,intellectual,inferred_coherent
VA28,letter_and_symbol_play,अक्षरमुष्टिका,akṣaramuṣṭikā,intellectual,inferred_coherent
VA29,manuscript_reading,पुस्तकवाचनम्,pustakavācanam,intellectual,inferred_coherent
VA30,storytelling,आख्यायिका,ākhyāyikā,performance,inferred_coherent
VA31,architecture,वास्तुशास्त्रम्,vāstuśāstram,science,inferred_coherent
VA32,mechanics_and_devices,यन्त्रज्ञानम्,yantrajñānam,engineering,inferred_coherent
