id,sanskrit,iast,description,category,attestation_status
bhava_santa,शान्त,śānta,peaceful contemplative relation,primary,attested_classical
bhava_dasya,दास्य,dāsya,servitude devotion,primary,attested_classical
bhava_sakhya,सख्य,sakhya,friendship devotion,primary,attested_classical
bhava_vatsalya,वात्सल्य,vātsalya,parental affection devotion,primary,attested_classical
bhava_madhurya,माधुर्य,mādhurya,conjugal devotion,primary,attested_classical
bhava_raudra,रौद्र,raudra,fierce emotional mode,secondary,attested_classical
bhava_virya,वीर्य,vīrya,heroic energy,secondary,attested_classical
bhava_adbhuta,अद्भुत,adbhuta,wonder or astonishment,secondary,attested_classical
bhava_bhayanaka,भयानक,bhayānaka,fearful mood,secondary,attested_classical
bhava_bibhatsa,बीभत्स,bībhatsa,disgust or aversion,secondary,attested_classical
bhava_karuna,करुण,karuṇa,compassionate sorrow,secondary,attested_classical
bhava_hasya,हास्य,hāsya,laughter or humor,secondary,attested_classical
