"deck_id","nakshatra_number","nakshatra_name","zodiac_span","deity","planetary_lord","sacred_symbol","shakti_statement","yoni_animal","primary_plant","gana","nadi","gift_expression","shadow_expression","visual_palette_logic","panel_layout","attestation_level","source_file","citation_status","operational_status"
"nak_01","1","Ashwini","00d00m Mesha - 13d20m Mesha","Ashwini Kumaras","Ketu","horse_head","Healing","Horse (male)","Ashwagandha","deva","Madhya","swift healing; initiating action","impatience; restlessness","#8d784f; fire-toned","warm bg; twin horse heads flanking; swift diagonal lines","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_02","2","Bharani","13d20m Mesha - 26d40m Mesha","Yama","Venus","yoni","Transformation","Elephant (male)","Amla","manushya","Antya","endurance through transformation","excess; possessiveness","#ffa9dc; earth-toned","earth tones; yoni triangle center; heavy border","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_03","3","Krittika","26d40m Mesha - 10d00m Vrishabha","Agni","Sun","razor","Purification","Sheep (male)","Fig","rakshasa","Madhya","clarity through purification","harshness; destructive criticism","#ffb300; fire-toned","flame gradient; razor motif top; sharp horizontal divide","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_04","4","Rohini","10d00m Vrishabha - 23d20m Vrishabha","Brahma","Moon","chariot","Growth","Serpent (male)","Jasmine","manushya","Adi","fertility; creative abundance","attachment; material fixation","#e7e7ff; earth-toned","cream/green; chariot center; lush organic border","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_05","5","Mrigashira","23d20m Vrishabha - 06d40m Mithuna","Soma","Mars","deer_head","Searching","Serpent (female)","Khadira","deva","Madhya","curiosity; tireless seeking","indecisiveness; scattered pursuit","#922610; earth-toned","bisected earth/air; deer silhouette; wandering path","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_06","6","Ardra","06d40m Mithuna - 20d00m Mithuna","Rudra","Rahu","teardrop","Renewal","Dog (female)","Agarwood","manushya","Antya","emotional renewal after storm","anxiety; destructive intensity","#4e0d7a; water-toned","dark storm wash; single teardrop focal; jagged edges","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_07","7","Punarvasu","20d00m Mithuna - 03d20m Karka","Aditi","Jupiter","quiver","Restoration","Cat (male)","Bamboo","deva","Adi","restoration; nurturing return","instability; over-optimism","#ffe574; air-toned","golden air; quiver motif; return-arrow arc","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_08","8","Pushya","03d20m Karka - 16d40m Karka","Brihaspati","Saturn","lotus","Nourishment","Sheep (female)","Peepal","deva","Madhya","nourishing devotion; teaching","rigidity; smothering care","#4e6175; water-toned","deep blue-green; lotus center; concentric rings","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_09","9","Ashlesha","16d40m Karka - 00d00m Simha","Nagas","Mercury","coiled_serpent","Entwining","Cat (female)","Nagakesara","rakshasa","Antya","coiling intelligence; strategic depth","manipulation; secrecy","#0d7a39; water-toned","dark green; coiled serpent spiral; tight border","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_10","10","Magha","00d00m Simha - 13d20m Simha","Pitris","Ketu","throne","Authority","Mouse (male)","Banyan","rakshasa","Madhya","ancestral authority; leadership","pride; attachment to status","#685d48; fire-toned","dark fire tones; throne silhouette; ancestral column","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_11","11","Purva Phalguni","13d20m Simha - 26d40m Simha","Bhaga","Venus","hammock","Enjoyment","Mouse (female)","Palasha","manushya","Antya","creative pleasure; relaxation","indulgence; laziness","#ffa9dc; earth-toned","rose/gold; hammock arc; open relaxed composition","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_12","12","Uttara Phalguni","26d40m Simha - 10d00m Kanya","Aryaman","Sun","bed","Patronage","Cow (male)","Rudraksha","manushya","Adi","steady patronage; alliance-building","over-obligation; dryness","#ffbe26; earth-toned","amber/earth; bed frame lines; stable grid","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_13","13","Hasta","10d00m Kanya - 23d20m Kanya","Savitar","Moon","hand","Manifestation","Buffalo (male)","Soapnut","deva","Madhya","skillful manifestation; craft","control; compulsive busyness","#ffffff; air-toned","white/silver; open hand center; fine craft-line detail","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_14","14","Chitra","23d20m Kanya - 06d40m Tula","Tvashtar","Mars","pearl","Creation","Tiger (male)","Bael","rakshasa","Antya","brilliant design; architectural beauty","perfectionism; vanity","#922610; fire-toned","jewel tones; pearl/gem focal; architectural frame","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_15","15","Swati","06d40m Tula - 20d00m Tula","Vayu","Rahu","young_shoot","Independence","Buffalo (female)","Arjuna","deva","Adi","independent exploration; freedom","rootlessness; instability","#6500aa; air-toned","violet/air; young shoot rising; asymmetric wind lines","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_16","16","Vishakha","20d00m Tula - 03d20m Vrischika","Indra-Agni","Jupiter","triumph_arch","Achievement","Tiger (female)","Wood Apple","rakshasa","Madhya","determined achievement; ambition","obsession; jealousy","#ffdd43; fire-toned","gold/fire; triumphal arch frame; goal-directed axis","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_17","17","Anuradha","03d20m Vrischika - 16d40m Vrischika","Mitra","Saturn","lotus","Devotion","Hare (male)","Tulsi","deva","Antya","loyal devotion; friendship","codependence; suppressed anger","#4e6175; water-toned","water/devotion blue; lotus center; friendship dyad","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_18","18","Jyeshtha","16d40m Vrischika - 00d00m Dhanu","Indra","Mercury","earring","Leadership","Hare (female)","Silk Cotton","rakshasa","Adi","protective authority; responsibility","arrogance; isolation","#0d7a39; air-toned","emerald; protective earring motif; elder border","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_19","19","Mula","00d00m Dhanu - 13d20m Dhanu","Nirriti","Ketu","root","Destruction","Dog (male)","Sal","rakshasa","Madhya","root investigation; uprooting falsehood","nihilism; destructiveness","#685d48; air-toned","root brown; root system radiating down; stripped composition","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_20","20","Purva Ashadha","13d20m Dhanu - 26d40m Dhanu","Apas","Venus","fan","Invigoration","Monkey (male)","Lotus","manushya","Antya","courageous declaration; invigoration","fanaticism; grandiosity","#ffa9dc; water-toned","water blue/rose; fan spread; upward declaration","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_21","21","Uttara Ashadha","26d40m Dhanu - 10d00m Makara","Vishvadevas","Sun","elephant_tusk","Victory","Mongoose (female)","Jackfruit","manushya","Adi","enduring victory; ethical leadership","rigidity; workaholism","#ffbe26; earth-toned","amber/earth; elephant tusk vertical; enduring column","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_22","22","Shravana","10d00m Makara - 23d20m Makara","Vishnu","Moon","ear","Listening","Monkey (female)","Arka","deva","Madhya","receptive listening; sacred learning","gossip; passive withdrawal","#ffffff; air-toned","silver/white; ear motif; concentric listening rings","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_23","23","Dhanishta","23d20m Makara - 06d40m Kumbha","Vasus","Mars","drum","Fame","Lion (male)","Shami","rakshasa","Antya","rhythmic prosperity; community wealth","possessiveness over resources","#cc2100; fire-toned","red/fire; drum center; rhythmic horizontal bands","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_24","24","Shatabhisha","06d40m Kumbha - 20d00m Kumbha","Varuna","Rahu","empty_circle","Healing","Horse (female)","Kadamba","rakshasa","Adi","solitary healing; esoteric research","isolation; paranoia","#4e0d7a; air-toned","deep violet; empty circle center; 100-dot surround","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_25","25","Purva Bhadrapada","20d00m Kumbha - 03d20m Meena","Aja Ekapada","Jupiter","front_legs_of_bed","Spiritual Fire","Lion (female)","Mango","manushya","Madhya","transformative fire; ascetic intensity","fanaticism; rage","#e5c11c; fire-toned","fire/gold; lightning bolt diagonal; intense edge","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_26","26","Uttara Bhadrapada","03d20m Meena - 16d40m Meena","Ahirbudhnya","Saturn","back_legs_of_bed","Stability","Cow (female)","Neem","manushya","Antya","patient depth; wisdom through endurance","lethargy; emotional suppression","#4e6175; water-toned","deep ocean blue; serpent bed base; patient depth","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
"nak_27","27","Revati","16d40m Meena - 00d00m Mesha","Pushan","Mercury","fish","Prosperity","Elephant (female)","Mahua","deva","Adi","compassionate guidance; safe passage","over-softness; boundary dissolution","#00c34e; water-toned","sea green; fish motif; flowing completion arc","canon","datasets/astro/nakshatra_canonical.csv; datasets/relations/species_relations.csv; datasets/plants/nakshatra_plants.csv","extracted","ready"
