nakshatra,primary_dosha,secondary_dosha,dosha_modification_when_active,recommended_practice_for_this_dosha,dietary_guidance,herb_recommendation,source,attestation_status
Ashwini,Vata,Pitta,vata↑ fast movement; watch dryness,grounding breath + steady routine,"warm, oily, regular meals",Ashwagandha,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Bharani,Pitta,Vata,pitta↑ intensity; watch heat,"cooling pranayama, restraint","cooling, avoid irritants",Amla,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Krittika,Kapha,Pitta,kapha↑ heaviness; watch congestion,vigorous walk + clearing,"light, pungent/bitter",Trikatu,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Rohini,Kapha,Pitta,kapha↑ sweetness; watch attachment,moderation + gratitude,lighten sweets,Tulsi,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Mrigashirsha,Pitta,Vata,pitta→ restless seeking,cool focus practice,avoid spicy excess,Coriander/Fennel,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Ardra,Vata,Pitta,vata↑ stormy; watch anxiety,long exhale pranayama,"warm, grounding",Bala,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Punarvasu,Vata,Kapha,vata↑ then restore,restorative yoga,warm + nourishing,Shatavari,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Pushya,Pitta,Kapha,pitta stable; digestion focus,mindful eating,balanced meal,Guduchi,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Ashlesha,Kapha,Vata,kapha+vata: sticky + nervous,gentle detox + grounding,"light, warm",Ginger,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Magha,Kapha,Pitta,kapha↑ pride/rigidity,humility + movement,"light, bitter",Neem (carefully),Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Purva Phalguni,Pitta,Kapha,pitta↑ pleasure seeking,cooling meditation,avoid alcohol excess,Amla,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Uttara Phalguni,Vata,Kapha,vata↑ duty + movement,steady discipline,"warm, regular",Ashwagandha,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Hasta,Vata,Pitta,vata↑ hands/work,coordination practices,warm snacks,Bala,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Chitra,Pitta,Vata,pitta↑ perfectionism,cool focus + creativity,cooling foods,Brahmi,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Swati,Kapha,Vata,kapha-vata swings,anchor routines,"warm, grounding",Ashwagandha,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Vishakha,Kapha,Pitta,kapha↑ ambition; heaviness,movement + moderation,"light, pungent",Trikatu,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Anuradha,Pitta,Kapha,pitta stable devotion,bhakti/meditation,balanced,Guduchi,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Jyeshtha,Vata,Pitta,vata↑ sharpness,long exhale pranayama,"warm, unctuous",Jatamansi,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Moola,Vata,Pitta,vata↑ uprooting,grounding + silence,warm soups,Ashwagandha,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Purva Ashadha,Pitta,Vata,pitta↑ willpower,cooling breath,avoid spicy overload,Amla,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Uttara Ashadha,Kapha,Pitta,kapha↑ burden,movement + lightness,bitter/pungent,Tulsi,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Shravana,Kapha,Vata,kapha-vata: hearing + rhythm,bhramari + listening meditation,"warm, grounding",Bala,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Dhanishta,Pitta,Vata,pitta↑ drive,cooling + rhythm,"light, non-spicy",Coriander,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Shatabhisha,Vata,Pitta,vata↑ detox impulse,gentle cleansing,"warm, simple",Guduchi,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Purva Bhadrapada,Vata,Pitta,vata↑ intensity,grounding discipline,warm oiliness,Ashwagandha,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Uttara Bhadrapada,Pitta,Kapha,pitta stable depth,meditation,"balanced, cooling",Brahmi,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
Revati,Kapha,Vata,kapha↑ softness,gentle closure ritual,"light, warm",Triphala,Nadi Koota mapping,OBSERVED:JYOTISHA_TRADITION
