id,name_iast,name_sanskrit,category,element,guna,chakra,deity,graha,rasa_primary,time_of_day,raga_affinity,varna_affinity,body_region,synthesis_type,f0_range,timbre_character,playing_technique,color_hex,notes,attestation_status
instrument_sitar,Sitār,सितार,chordophone,ether,sattva,anahata,Sarasvati,Venus,shringara,evening,Kalyan,semivowels,heart,karplus_strong,65-523,rich resonant twangy,plucked with mizrab,#FFD700,Iconic lute of Hindustani music with sympathetic strings,attested_secondary
instrument_sarod,Sarod,सरोद,chordophone,earth,rajas,manipura,Narada,Mars,vira,night,Bhairav,semivowels,navel,karplus_strong,85-440,deep metallic soulful,plucked with plectrum,#A52A2A,Fretless metal‑fingerboard lute with resonant tone,attested_secondary
instrument_veena_sarasvati,Vīṇā,वीणा,chordophone,ether,sattva,vishuddha,Sarasvati,Jupiter,shanta,morning,Kalyani,semivowels,throat,karplus_strong,65-392,sonorous mellow bright,plucked with fingers,#8A2BE2,Goddess Sarasvati’s instrument; South Indian lute with frets,attested_secondary
instrument_rudra_veena,Rudra Vīṇā,रुद्र वीणा,chordophone,earth,tamas,muladhara,Shiva,Saturn,vira,night,Bhairav,semivowels,root,karplus_strong,55-220,deep meditative ancient,plucked with plectrum,#4B0082,Ancient bin with two large gourds and long tube; associated with Shiva,attested_secondary
instrument_tanpura,Tānpurā,तानपूरा,chordophone,ether,sattva,anahata,Brahma,Mercury,shanta,all,all,semivowels,heart,additive,65-262,droning resonant overtone‑rich,plucked continuously,#006400,Drone lute providing tonal support in both Hindustani and Carnatic music,attested_secondary
instrument_santoor,Santūr,संतूर,chordophone,air,rajas,solar plexus,Shiva,Sun,adbhuta,evening,Pahadi,semivowels,diaphragm,struck_string,130-523,bright shimmering percussive,struck with mallets,#DAA520,Hammered dulcimer of Kashmir with dozens of strings,attested_secondary
instrument_sarangi,Sārangī, सारंगी,chordophone,water,tamas,swadhisthana,Krishna,Moon,karuna,evening,Kafi,semivowels,pelvis,physical,130-660,expressive nasal vocal‑like,bowed,#6495ED,Bowed short‑necked fiddle producing human‑voice expressivity,attested_secondary
instrument_violin_carnatic,Viloin (Carnatic),वायलीन,chordophone,air,sattva,ajna,Sarasvati,Mercury,shringara,all,all,semivowels,brow,physical,196-880,smooth lyrical agile,bowed seated on floor,#FFB6C1,Adapted western violin in Carnatic concerts played sitting cross‑legged,attested_secondary
instrument_bansuri,Bānsurī, बांसुरी,aerophone,air,sattva,vishuddha,Krishna,Mercury,shringara,dawn,Malhar,vowels/sibilants,lungs,waveguide,65-523,soft breathy pure,blown side‑blown flute,#00CED1,"Hollow bamboo flute played by Krishna, symbol of divine love",attested_secondary
instrument_shehnai,Śahnāī,शहनाई,aerophone,fire,rajas,vishuddha,Ganesha,Mars,adbhuta,morning,Shivaranjani,vowels/sibilants,throat,waveguide,130-1046,penetrating reedy festive,blown double‑reed,#FF6347,Indian oboe used in auspicious ceremonies and temple music,attested_secondary
instrument_nadaswaram,Nādasvaram,नादस्वरम्,aerophone,fire,rajas,vishuddha,Shiva,Sun,vira,morning,Kambhoji,vowels/sibilants,throat,waveguide,130-1046,loud majestic powerful,blown double‑reed,#FF4500,South Indian temple oboe producing high decibel sound for ceremonies,attested_secondary
instrument_mridangam,Mṛdaṅgam,मृदंगम्,membranophone,earth,rajas,muladhara,Ganesha,Mars,vira,midday,all,stops/nasals,root,modal,80-400,deep resonant percussive,struck with hands,#8B4513,Barrel drum central to Carnatic concerts with tuned heads,attested_secondary
instrument_tabla_dayan,Ṭablā (Dayān),तबला (दयान),membranophone,earth,rajas,manipura,Indra,Mars,vira,midday,Teentaal,stops/nasals,solar plexus,modal,100-400,sharp bell‑like articulate,struck with fingers and palm,#D2691E,High drum of the tabla pair producing clear pitch,attested_secondary
instrument_tabla_bayan,Ṭablā (Bayān),तबला (बायान),membranophone,earth,tamas,muladhara,Kubera,Saturn,bhayanaka,night,Teentaal,stops/nasals,root,modal,40-200,deep booming resonant,struck with palm and fingers,#2F4F4F,Bass drum of the tabla pair with kettle‑drum sound,attested_secondary
instrument_pakhawaj,Pakhāwaj,पखावज,membranophone,earth,tamas,muladhara,Nandi,Mars,vira,evening,Dhrupad,stops/nasals,root,modal,80-300,deep majestic thunderous,struck with hands,#A0522D,Ancient barrel drum used in Dhrupad with deep low tones,attested_secondary
instrument_kanjira,Kañjīrā,कंजीरा,membranophone,fire,rajas,manipura,Durga,Mars,raudra,evening,Tala‑oriented,stops/nasals,solar plexus,modal,200-600,snappy sharp jingling,struck with fingers,#CD5C5C,Frame drum with single jingling cymbal used in Carnatic rhythm,attested_secondary
instrument_ghatam,Ghaṭam,घटम्,idiophone,earth,rajas,muladhara,Prithvi,Earth,hasya,midday,folk,stops,root,modal,200-800,clay pot resonant metallic,struck with fingers and palms,#D2B48C,Clay pot percussion instrument tuned by water or clay,attested_secondary
instrument_morsing,Morsing,मोरसिंह,idiophone,air,tamas,ajna,Narada,Mercury,hasya,evening,folk,sibilants,mouth,physical,200-500,twangy buzzing drone,plucked lamella at mouth,#B8860B,Jaw harp held at teeth producing overtone‑rich buzzing,attested_secondary
instrument_harmonium,Harmonium,हार्मोनियम,aerophone,air,sattva,vishuddha,Hanuman,Mercury,shanta,all,bhajan,vowels/sibilants,lungs,subtractive,130-523,steady reedy warm,pumped bellows and keyboard,#708090,Free‑reed keyboard instrument used widely in accompaniment,attested_secondary
instrument_swarmandal,Svaramaṇḍal,स्वरमंडल,chordophone,ether,sattva,anahata,Sarasvati,Venus,shanta,morning,Kalyan,semivowels,heart,additive,130-660,sparkling shimmering harp‑like,plucked with fingers,#6A5ACD,Small harp zither used to accompany singing and tune to ragas,attested_secondary
instrument_esraj,Esraj,एसराज,chordophone,water,tamas,swadhisthana,Krishna,Moon,karuna,evening,Bageshri,semivowels,pelvis,physical,130-660,soft nasal lyrical,bowed with sympathetic strings,#B0C4DE,Bowed string instrument similar to dilruba with sympathetic strings,attested_secondary
instrument_dilruba,Dilrubā,दिलरुबा,chordophone,water,tamas,swadhisthana,Raga Devi,Moon,karuna,evening,Kafi,semivowels,pelvis,physical,130-660,melancholic bowed empathetic,bowed,#9370DB,North Indian bowed lute developed in Sikh tradition,attested_secondary
instrument_sursingar,Sursiṅgār,सुरसिंगार,chordophone,earth,rajas,manipura,Shiva,Mars,vira,evening,Darbari,semivowels,navel,karplus_strong,100-440,deep mellow regal,plucked with plectrum,#8B0000,Bass version of sarod with larger body and sympathetic strings,attested_secondary
instrument_conch_shankha,Śaṅkha,शंख,aerophone,water,sattva,vishuddha,Vishnu,Jupiter,adbhuta,morning,Shankarabharanam,sibilants,lungs,waveguide,65-392,trumpeting brassy sacred,blown through conical spiral,#F5DEB3,Conch shell blown in rituals symbolizing the primordial sound Om,attested_secondary
instrument_manjira_cymbals,Mañjīrā,मंजिरा,idiophone,fire,rajas,sahasrara,Durga,Mars,hasya,all,Kirtan,sibilants,head,modal,500-2000,bright ringing metallic,struck pairs clashed,#DA70D6,Hand cymbals used in bhajan and dance accompaniment,attested_secondary
