deity,nakshatra,item_1,item_2,item_3,item_4,vahana,mudra,color_body,color_garment,direction,gemstone,metal,time_of_day,day,mantra_bija,shakti_name,iconography_brief,tattva,rasa
Ashvini Kumaras,Ashwini,pot_of_amrita,herbs_bouquet,lotus,bandage,horse,abhaya_mudra,golden,white,east,coral,gold,dawn,Sunday,hām,Saubhagya,"Twin youthful physicians with horse heads, carrying healing herbs, amrita pot, lotus and bandages, riding swift horses.",vayu,vira
Yama,Bharani,staff_danda,noose_pasha,mace_gada,scales,buffalo,varada_mudra,dark_blue,red,south,onyx,iron,late_night,Saturday,yam,Dhumorna,"Fearsome lord of dharma with dark complexion holding staff, noose, mace and scales, riding a black buffalo and upholding justice.",earth,bhayanaka
Agni,Krittika,flame,ladle_sruk,spoon_sruva,water_pot,ram,abhaya_mudra,red,yellow,southeast,ruby,copper,midday,Tuesday,ram,Swaha,"Two-faced red deity with flames for hair, holding sacrificial ladle, spoon, water pot and fire, riding a ram.",agni,raudra
Brahma/Prajapati,Rohini,rosary_aksha_mala,book_pustaka,water_pot_kamandalu,lotus_padma,swan,abhaya_mudra,golden,white,east,pearl,gold,morning,Thursday,rim,Sarasvati,"Four-headed creator seated on a lotus, holding rosary, book, water pot and lotus, riding a swan.",akasha,adbhuta
Soma/Chandra,Mrigashira,crescent_moon,lotus,conch_shankha,rod_danda,deer,varada_mudra,white,silver,northwest,pearl,silver,night,Monday,som,Rohini,"Gentle moon-faced deity holding lotus, conch and staff with crescent moon crown, riding a deer.",jala,shringara
Rudra,Ardra,trident_trishula,drum_damaru,bow_dhanush,deer_skin,bull,abhaya_mudra,blue,tiger_skin,northeast,turquoise,bronze,midday,Monday,hum,Gauri,"Fierce blue-throated Rudra with matted hair, holding trident, drum, bow and deer skin, riding Nandi.",vayu,raudra
Aditi,Punarvasu,lotus_padma,corn_anna,water_pot_kamandalu,rosary_aksha_mala,eagle,varada_mudra,golden,green,north,yellow_sapphire,gold,morning,Monday,aim,Ananta,"Radiant mother of devas holding lotus, grain, rosary and water pot, riding an eagle and nurturing creation.",akasha,karuna
Brihaspati,Pushya,staff_danda,book,rosary_aksha_mala,lotus_padma,elephant,abhaya_mudra,yellow,yellow,northeast,yellow_sapphire,gold,morning,Thursday,gum,Tara,"Wise sage with yellow complexion holding staff, book, rosary and lotus, riding an elephant.",akasha,shanta
Sarpa/Nagas,Ashlesha,serpent_naga,gem_mani,water_pot,protective_staff,serpent,naga_mudra,dark_green,dark_blue,southwest,cats_eye,copper,midnight,Wednesday,sam,Manasa,"Serpentine deities with coiled bodies, holding gem, water pot and staff, embodying occult wisdom.",earth,bhayanaka
Pitrs/Ancestors,Magha,rice_ball_pinda,staff_danda,water_pot,rosary_aksha_mala,crow,varada_mudra,pale,white,south,smoky_quartz,iron,twilight,Saturday,pit,Swadha,"Ancestral spirits bearing rice balls, staff and water pot, clad in white and riding a crow, representing lineage.",earth,karuna
Aryaman,Purva Phalguni,goad_ankusha,noose_pasha,lotus,rosary,horse,varada_mudra,golden,green,southeast,garnet,bronze,afternoon,Friday,yam,Usha,"Noble deity of hospitality holding goad, noose, lotus and rosary, riding a horse.",air,shringara
