species_id,common_name,scientific_name,biogeographic_region,habitat,ecoregion,primary_dosha,secondary_dosha,tertiary_dosha,short_description,guna_primary,guna_secondary,behavioral_profile,primary_element,secondary_element,embodied_traits,shadow_traits,planetary_ruler,archetype_short,nakshatra_association,primary_physiology_system,size_category,trophic_level,social_structure,locomotion,defensive_offense_behaviors,ecological_role,culturally_attested,cultural_sources,cultural_notes,confidence_score,evidence_basis,short_justification,vetting_notes
wolverine,Wolverine,Gulo gulo,Holarctic (Nearctic + Palearctic),"Boreal forest, tundra, alpine and subalpine zones",Boreal forests/taiga; tundra,Pitta,Vata,unspecified,"Small but powerful mustelid known for solitary, wide-ranging scavenging and predatory behavior in cold environments.",Rajas,Tamas,High-drive solitary forager; relentless persistence with opportunistic hunting/scavenging and strong territoriality.,Fire,Air,fearless persistence|territorial intensity|cold-environment heat generation|opportunistic adaptability|solitary resilience,rage|paranoia|destructive stubbornness,Mars,Relentless winter warrior,Mrigashira,Musculoskeletal and metabolic systems,Medium,Carnivore/Scavenger,Solitary (except breeding/female with young),Powerful bounding gait; long-distance roaming on snow,Strong bite and claws; aggressive defense of food; scent marking,Mesopredator and scavenger; redistributes carrion nutrients; influences prey and competitor dynamics,Yes,IUCN Red List (Gulo gulo); NatureServe Explorer; Wildlife Conservation Society Canada (Innu trickster accounts),"In parts of the subarctic, wolverine appears in Indigenous narratives as a trickster/transformer figure reflecting cunning survival.",0.82,INFERRED:BIOLOGY,"Pitta is inferred from concentrated force, fearlessness, and high-intensity defense of resources; Vata secondary reflects roaming, restless mobility and opportunism. Elemental mapping emphasizes Fire (heat, sharpness) expressed through Air (movement, wide-ranging travel).",Cultural notes are not exhaustive and should be refined with community-specific sources and permissions; avoid pan-Indigenous generalizations.
jaguar,Jaguar,Panthera onca,Neotropical (Central + South America),"Tropical and subtropical forests, wetlands, river corridors",Tropical moist broadleaf forests; flooded wetlands and riparian corridors,Pitta,Kapha,unspecified,"Large American big cat with powerful bite, stealth ambush hunting, and frequent association with water habitats.",Rajas,Sattva,"Silent, patient stalk-and-ambush predator; decisive explosive attack; often moves along rivers and wetlands.",Fire,Water,stealth power|decisive strike|territorial sovereignty|night vision|aqua-terrestrial adaptability,domination|predatory obsession|isolation,Sun,Nocturnal sovereign,Uttara Phalguni,Musculoskeletal and sensory systems,Large,Carnivore (apex predator),Solitary (except breeding/female with cubs),Stalking gait; short explosive sprints; capable swimmer,Ambush bite/crushing kill; clawing; territorial marking,Apex predator regulating prey populations and structuring trophic cascades,Yes,IUCN Red List (Panthera onca); CITES jaguar situational analysis (2025); Florentine Codex (Sahagún, Digital Florentine Codex),Jaguar motifs are prominent in Mesoamerican iconography and ritual symbolism; specific meanings vary across cultures and historical periods.,0.85,SYNTHESIS,"Pitta arises from predatory sharpness, high-intensity bursts, and dominance; Kapha secondary reflects muscular mass, steady patience, and ambush stillness. Fire-Water expresses lethal heat operating through riverine landscapes and nocturnal fluidity.","Cultural interpretation is broad; link specific traditions (e.g., Maya, Mexica/Nahua) to specific communities and consult indigenous scholars for appropriate framing."
snow_leopard,Snow Leopard,Panthera uncia,Palearctic (High Asia),"High-altitude mountains: rocky ridges, alpine meadows, cliffs",Montane grasslands and shrublands; alpine tundra,Pitta,Vata,unspecified,"Elusive high-mountain cat adapted to cold, thin air; stealth hunter with long-distance movement across rugged terrain.",Rajas,Sattva,Still and nearly invisible (ambush/stalk) punctuated by agile leaps and long range patrols; low-density solitary hunter.,Fire,Air,invisible patience|precision leaps|cold-environment intensity|solitary vigilance|high-altitude resilience,detachment|hypervigilance|resource scarcity fixation,Saturn,Mountain ghost hunter,Pushya,Respiratory and musculoskeletal systems,Large,Carnivore (apex/meso depending on region),Solitary (except breeding/female with cubs),Agile climbing and leaping across cliffs; stalking gait,Ambush strike; camouflage; cliff terrain advantage,Predator influencing mountain ungulate populations and ecosystem balance,Yes,IUCN Red List (Panthera uncia, 2017 assessment); Snow Leopard Trust (conservation); Himalayan regional folklore (varies by community),Often framed as a 'ghost' or liminal mountain being in regional narratives; meanings vary widely and require localized sourcing.,0.84,SYNTHESIS,"Pitta reflects predatory sharpness and decisive killing; Vata secondary reflects mountain mobility, leaping, and exposure to cold, wind and altitude. Rajas–Sattva captures active hunting expressed through controlled, quiet perception.",Cultural layer needs indigenous and local consultation to avoid homogenizing Tibetan/Mongolian/Himalayan traditions.
orca,Orca / Killer Whale,Orcinus orca,Global (temperate to polar oceans),Coastal and offshore marine waters,Marine (pelagic + coastal),Pitta,Kapha,unspecified,Highly intelligent odontocete with cooperative hunting strategies and culturally transmitted behaviors within matrilineal pods.,Rajas,Sattva,Strategic group hunter with strong kin-based social organization; teaches and transmits foraging traditions; long-lived.,Water,Fire,strategic intelligence|kin loyalty|coordinated power|long memory|apex discipline,ruthlessness|in-group aggression|ecotype fragility,Moon,Matriarchal sea strategist,Hasta,Nervous and sensory systems,Very Large,Carnivore (apex predator),Matrilineal pods with cultural traditions,Powerful swimming; coordinated group maneuvers,Cooperative predation; ramming; complex tactics; group defense,Apex marine predator shaping food webs; cultural diversity tied to prey specialization,Yes,IUCN Red List (Orcinus orca; Data Deficient globally); Northwest Coast oral traditions (varies); scientific literature on cetacean culture,Frequently appears in coastal Indigenous narratives as a powerful ocean being; cultural meanings are community-specific.,0.85,SYNTHESIS,"Pitta derives from coordinated predatory intensity and tactical sharpness; Kapha secondary reflects large body mass, longevity, and stable matrilines. Water–Fire captures ocean embodiment with 'hot' hunting bursts and social cohesion.",Orca taxonomy/ecotypes are under active scientific revision; avoid assuming one 'orca type' across regions; cultural claims require consultation and permission.
harpy_eagle,Harpy Eagle,Harpia harpyja,Neotropical (Central + South America),Lowland tropical rainforests (often near large trees for nesting),Tropical moist broadleaf forests,Pitta,Vata,unspecified,Massive forest raptor adapted for powerful strikes within dense canopy; low reproductive rate and large territorial ranges.,Rajas,Sattva,Patient perch hunter with sudden precision capture; conservation-sensitive due to slow reproduction and habitat dependence.,Air,Fire,aerial dominance|focused precision|forest sovereignty|patient watchfulness|protective nesting,overcontrol|isolation|fragility to disturbance,Sun,Canopy executioner,Krittika,Visual and musculoskeletal systems,Large,Carnivore (apex raptor),Breeding pair with extended parental care,Powerful flight with short bursts through canopy,Talons and beak; nest defense; high-impact strike,Apex canopy predator influencing arboreal prey populations,unspecified,IUCN Red List (Harpia harpyja; BirdLife International assessment),unspecified,0.83,INFERRED:BIOLOGY,Pitta reflects predatory sharpness and force; Vata secondary reflects aerial mobility and rapid strike kinetics. Air–Fire captures flight as the medium and lethal heat as the intent.,Cultural significance varies across Amazonia; avoid attributing generalized 'Amazon' meanings without specific sources.
saltwater_crocodile,Saltwater Crocodile,Crocodylus porosus,Indomalayan + Australasian (Indo-Pacific),"Estuaries, mangroves, coastal rivers, brackish and freshwater wetlands",Mangroves; tropical coastal wetlands,Pitta,Kapha,unspecified,Large crocodilian ambush predator with long periods of stillness and explosive strike capability.,Tamas,Rajas,Extended immobility and patience punctuated by sudden lethal acceleration; highly territorial in suitable waterways.,Earth,Fire,ancient endurance|ambush patience|territorial dominance|explosive strike|cold-blooded efficiency,predatory cruelty|stagnant aggression|fear projection,Saturn,Ancient ambush sentinel,Anuradha,Musculoskeletal and integumentary systems,Very Large,Carnivore (apex predator),Mostly solitary; seasonal congregation in optimal habitat,Stealth swimming; short explosive lunges; limited terrestrial movement,"Ambush bite, death roll; armored hide; territorial aggression",Apex wetland predator; influences prey behavior and shoreline trophic structure,unspecified,IUCN Red List (Crocodylus porosus); Crocodile Specialist Group resources,unspecified,0.84,INFERRED:BIOLOGY,"Kapha is inferred from heavy mass, armor, and long stillness; Pitta from sharp lethal strike and territorial heat. Earth–Fire expresses grounded ancient body with sudden 'ignition' in predation.",Avoid sensational framing of danger; align human-wildlife conflict notes with local context and conservation guidance.
southern_cassowary,Southern Cassowary,Casuarius casuarius,Australasian (New Guinea + NE Australia),Tropical rainforest and dense forest edges,Tropical moist broadleaf forests,Pitta,Kapha,unspecified,Large flightless rainforest bird with powerful legs and defensive claws; important seed disperser for large-fruited plants.,Rajas,Tamas,Generally shy/cryptic but strongly defensive when threatened; solitary forest walker with bursts of speed.,Earth,Fire,grounded power|boundary defense|ancient lineage resilience|forest navigation|seed dispersal stewardship,sudden violence|fear-driven attack|territorial unpredictability,Mars,Rainforest ground guardian,Dhanishta,Musculoskeletal system,Large,Omnivore (primarily frugivore),Mostly solitary,Fast terrestrial running; agile forest maneuvering,Kicking with dagger-like claw; threat displays; rapid charge,Key seed disperser (especially large seeds) supporting rainforest regeneration,unspecified,BirdLife International species factsheet; IUCN Red List (Casuarius casuarius via BirdLife),unspecified,0.8,INFERRED:BIOLOGY,Pitta reflects high kinetic force and sharp defensive aggression; Kapha secondary reflects large grounded mass and endurance. Earth–Fire captures heavy terrestrial embodiment with sudden heated responses.,The phrase 'most dangerous bird' is media-driven; treat risk realistically and avoid fear-mongering; add community-specific cultural sources for New Guinea and Wet Tropics.
komodo_dragon,Komodo Dragon,Varanus komodoensis,Wallacea (Indonesia),"Dry tropical forest, savanna, woodland, coastal scrub",Tropical dry broadleaf forests; savanna,Pitta,Kapha,unspecified,Island endemic monitor lizard and apex predator with ambush strategy and venom-assisted predation; slow life history.,Rajas,Tamas,Long stillness/ambush followed by decisive attack; strong territorial feeding; capable long-distance scent tracking.,Fire,Earth,primordial predation|island resilience|patient ambush|toxic boundary enforcement|survival pragmatism,lethal ruthlessness|cannibalism risk|ecological fragility,Mars,Island dragon sentinel,Mrigashira,Digestive and circulatory systems,Large,Carnivore/Scavenger,Solitary (aggregates at carcasses),Quadrupedal stalking and sprint bursts,Bite with lacerating teeth and venom effects; tail strikes; carcass dominance,Apex predator and scavenger on Komodo islands; regulates ungulate populations,unspecified,IUCN Red List (Varanus komodoensis, 2021); PNAS Fry et al. 2009 (venom role); Komodo Survival Program publications,unspecified,0.86,SYNTHESIS,"Pitta is inferred from sharp, toxic predation and decisive killing; Kapha secondary from heavy body, slow metabolism and long waiting periods. Fire–Earth captures 'hot' lethality anchored in grounded island endurance.",Avoid repeating outdated 'mouth bacteria as primary kill mechanism' as settled fact; distinguish local community relationships with Komodo from tourist narratives.
african_wild_dog,African Wild Dog,Lycaon pictus,Afrotropical (Sub-Saharan Africa),"Savannas, open woodland, grassland mosaics",Tropical savannas and woodlands,Pitta,Vata,unspecified,"Highly social canid with cooperative hunting, long-distance movement, and strong pack cohesion and care behaviors.",Rajas,Sattva,High-energy group forager; rapid tactical decisions and coordinated pursuit; strong prosocial feeding and care dynamics.,Fire,Air,collective coordination|endurance pursuit|social care|strategic adaptability|high metabolic drive,overdrive|pack stress|conflict with humans,Mars,Cooperative fire pack,Dhanishta,Cardiorespiratory system,Medium,Carnivore (pack hunter),Packs with cooperative breeding and care,Endurance running; coordinated pursuit and flanking,Pack chasing and biting; cooperative defense; rapid regrouping,Mesopredator/apex in some systems; regulates medium ungulates; scavenger interactions,unspecified,IUCN Red List (Lycaon pictus, 2020); Hubel et al. 2016 (Nature Communications) on hunting dynamics; JSTOR literature on hunting success,unspecified,0.85,SYNTHESIS,"Pitta reflects high-intensity predation and sharp decision-making; Vata secondary reflects speed, roaming range, and constant movement. Fire–Air expresses metabolic heat carried by collective motion and coordination.",Reported hunting-success percentages vary by habitat and study; avoid using a single headline number as universal.
mantis_shrimp,Mantis Shrimp (Peacock mantis shrimp as exemplar),Odontodactylus scyllarus (order Stomatopoda),Indo-Pacific (tropical reefs),Coral reefs and rubble; burrows in sediment/crevices,Tropical coral reef systems,Pitta,Vata,unspecified,Reef crustacean with extreme-speed raptorial strike and complex sensory biology; territorial burrow-holder.,Rajas,Sattva,Highly reactive precision striker; maintains a defended burrow; alternates still targeting with explosive kinetic release.,Fire,Water,precision impact|sensory acuity|burst power|territorial focus|energy storage and release,hyper-reactivity|injury risk|overdominance,Mars,Micro-thunder hammer,Chitra,Musculoskeletal/neuromuscular system,Small,Carnivore,Solitary (territorial),Jet-like swimming; rapid appendage strike,Raptorial smash/spear strike; burrow defense,Reef predator influencing mollusk/crustacean populations,No,Patek et al. 2004 (Nature) on strike mechanism; Integrative & Comparative Biology reviews; WoRMS/Stomatopoda taxonomy,No major primary ethnographic tradition identified in this pass; treat as biologically attested node.,0.83,SYNTHESIS,"Pitta is inferred from 'sharp/hot' kinetics—violent impact, precision, and territoriality; Vata secondary reflects extreme speed and rapid transitions. Fire–Water expresses high-energy discharge in a submerged medium.",Using O. scyllarus as an exemplar for 'mantis shrimp' generalizes across diverse stomatopods; split to species-level nodes if the graph expects strict taxonomy.
