species_id,common_name,medicine_quality,contrary_quality,medicine_direction,dosha_primary,guna_primary,graha_resonance,nakshatra_association,vedic_deity_parallel,vedic_vahana_for,convergence_notes,confidence_score,attestation
mc_01,Eagle,Spirit and illumination — connection to Great Spirit,Blind to earth — lost in clouds,East,Pitta-Vata,Sattva,Sun-Ketu,Jyeshtha-Shravan,Garuda,Vishnu,Garuda is the eagle of Vishnu — solar solar bird as divine messenger — highest confidence convergence,0.95,SYNTHESIS
mc_02,Hawk,Messenger — omens and portents from Great Spirit,Missing the message — not seeing signs,East,Pitta-Vata,Rajas,Sun-Mars,Hasta,Jatayu / Sampati,None specific,Hawk as omen-bird = Shakuna Shastra hawk omens; Jatayu the hawk who fought Ravana; solar messenger archetype,0.82,SYNTHESIS
mc_03,Elk,Stamina and brotherhood,Competition and over-depletion,East,Pitta-Kapha,Rajas,Sun-Jupiter,Uttara Phalguni,Indra — king of devas,None,Elk as noble stag = Mriga of Indra's forest; stamina and brotherhood = Indra's warrior host; Jupiter-Sun solar strength,0.65,SYNTHESIS
mc_04,Deer,Gentleness and innocence,Can't see danger — over-trusting,South,Vata,Sattva,Moon,Mrigashira,Sarasvati — gentle wisdom deity,Vahana of Chandra (the deer in the moon),Mrigashira nakshatra literally means deer-head; Moon deer in the moon; gentleness = Sattva-Moon; Panchatantra deer as innocent type; strongest convergence,0.92,SYNTHESIS
mc_05,Bear,Introspection — going within for answers,Inability to act — frozen in analysis,West,Kapha,Tamas,Saturn-Moon,Uttara Phalguni,Bhumi Devi / Prithvi,None specific,Bear as introspective earth-power = Saturn-Kapha; Kapha hibernation as withdrawal; earth element; no direct Vedic bear vahana but Jambavan the bear-king in Ramayana,0.72,SYNTHESIS
mc_06,Snake,Transmutation — shedding the old skin,Resistance to change — clinging to dead identity,West,Pitta-Vata,Rajas,Ketu-Rahu,Ashlesha,Shiva — lord of transformation,Shiva (as Naga ornament),Ashlesha = naga nakshatra; snake = kundalini shakti; shedding skin = transmutation = moksha; Ketu = liberation; Shiva wears snakes; direct Vedic convergence,0.97,SYNTHESIS
mc_07,Skunk,Reputation and self-respect,Overconfidence and alienating others,South,Pitta,Rajas,Mars-Saturn,Jyeshtha,Bhairava — fearless boundary-keeper,None,Skunk's odoriferous boundary = Bhairava's fierce boundary protection; reputation = Jyeshtha (eldest/most honored); Mars-Saturn = enforced respect,0.62,SYNTHESIS
mc_08,Otter,Woman medicine — playful sharing,Jealousy and martyrdom,East,Vata-Kapha,Sattva,Venus-Moon,Revati,Rati / Lakshmi — feminine abundance,None,Otter's playful water-abundance = Lakshmi's flowing grace; Venus-Moon feminine playful energy; Revati as the last nakshatra of blessing and care,0.68,SYNTHESIS
mc_09,Butterfly,Transformation — the dance of joy,Stuck in one stage — refusing metamorphosis,East,Vata,Rajas,Venus-Mercury,Chitra,Kamadeva / Madana,None,Butterfly = transformation = Chitra's creative impulse; Venus rules beauty and transformation; dance of joy = Kamadeva's bliss energy; Mercury rules changeability,0.73,SYNTHESIS
mc_10,Turtle,Mother Earth — ancient grounded wisdom,Closed off — withdrawn in shell,West,Kapha,Sattva,Saturn-Moon,Uttara Bhadrapada,Vishnu — cosmic tortoise,Yamuna river (tortoise vahana),Kurma avatar = cosmic tortoise; Uttara Bhadrapada = deep cosmic waters; Saturn-Kapha = ancient enduring wisdom; turtle as earth symbol = Prithvi,0.91,SYNTHESIS
mc_11,Moose,Self-esteem and joy of accomplishment,Arrogance — making others feel small,East,Pitta-Kapha,Rajas,Jupiter-Sun,Uttara Phalguni,Indra — lord of noble stature,None,Moose as noble crowned animal = solar Indra energy; Jupiter-Sun self-esteem; Uttara Phalguni = Aryaman — the patron of nobility and honour,0.64,SYNTHESIS
mc_12,Porcupine,Innocence — faith and trust,Martyrdom — victim of naïveté,Center,Kapha-Vata,Sattva,Moon-Venus,Ashvini,Kumara — innocent divine child,None,Porcupine's defensive innocence = Kumara as pure divine child; Moon-Venus = innocent beauty; Ashvini = healing freshness of new beginning,0.58,SYNTHESIS
mc_13,Coyote,Trickster — exposing folly with laughter,Self-sabotage and chaos without lesson,Center,Vata-Pitta,Rajas,Rahu-Mercury,Ardra,Narada — divine trickster and questioner,None,Coyote = trickster = Narada who creates situations to teach; Rahu as rule-disruptor; Ardra = storm that breaks stasis; Mercury as mercurial shapeshifter,0.79,SYNTHESIS
mc_14,Dog,Loyalty — servant heart,Over-servility and loss of self,South,Kapha-Pitta,Rajas,Mars-Saturn,Jyeshtha,Bhairava,Bhairava-Dattatreya (dog companion),Dog as Bhairava's companion = direct Vedic parallel; Dattatreya's four dogs; loyalty as Mars-Saturn duty; Jyeshtha = protective guardian energy,0.88,SYNTHESIS
mc_15,Wolf,Teacher — pathfinder of new ways,Loner who cannot accept the pack,East,Vata-Pitta,Rajas,Mars-Jupiter,Mula,Rudra — the howling wild force,None,Wolf as howling teacher = Rudra the howler; Mula = root nakshatra of wild forest wisdom; Jupiter-Mars = teacher of wild dharma,0.74,SYNTHESIS
mc_16,Raven,Magic — shape-shifting and void creation,Being scattered and creating chaos,West,Vata,Tamas,Rahu-Saturn,Ardra,Mahakala / Shani,Shani (crow/raven vahana),Raven = crow family = Shani's vahana; Rahu rules occult and shapeshifting; Ardra = the storm of dissolution; magic and void = Mahakala territory,0.84,SYNTHESIS
mc_17,Mountain Lion,Leadership — balanced power,Tyranny — leadership without compassion,East,Pitta,Rajas,Sun-Mars,Magha,Durga — sovereign fierce goddess,Durga (lion/Simha vahana),Mountain lion = lion = Simha vahana of Durga; Sun-Mars leadership power; Magha = throne of ancestors = regal seat; direct vahana convergence,0.89,SYNTHESIS
mc_18,Lynx,Keeper of secrets — occult knowledge,Deception and hidden agendas,North,Vata-Pitta,Tamas,Ketu-Saturn,Ashlesha,Dhumavati — the smoky hidden one,None,Lynx as secret-keeper = occult wisdom = Ketu liberation through hidden knowledge; Dhumavati the widow goddess of concealed wisdom; Ashlesha the hidden serpent,0.69,SYNTHESIS
mc_19,Buffalo,Abundance through gratitude — prayer manifested,Taking abundance for granted,West,Kapha,Sattva,Jupiter-Moon,Rohini,Nandi — sacred bull abundance,Shiva (Nandi vahana),Buffalo = sacred bovine = Nandi; Rohini ruled by Moon = milky abundance; Kapha-Sattva = grounded sacred nourishment; Jupiter = abundance through devotion,0.87,SYNTHESIS
mc_20,Mouse,Scrutiny — attention to detail,Over-analysis — missing the forest,Center,Vata,Rajas,Mercury-Rahu,Pushya,Ganesha (mushaka = mouse),Ganesha (Mushaka vahana),Mushaka = Ganesha's mouse vahana = direct and definitive Vedic convergence; Mercury rules scrutiny and detail; Pushya = nourishment and care,0.97,SYNTHESIS
