pitha_id,site_name,modern_location,country,lat,lon,body_part,devi_name,bhairava_name,element,direction,source_text,source_chapter,confidence,attestation,notes
amarnath,Amarnath,Jammu and Kashmir,India,34.1872,75.502,Throat,Mahamaya,Trisandhyeshwar,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Cave shrine in Himalayas.
ambaji,Ambaji,"Anart, Gujarat",India,24.3333,72.85,Heart,Ambaji,Batuk Bhairav,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Also one of 51 Shakti Pithas.
arbuda,Arbuda Devi (Mount Abu),"Mount Abu, Rajasthan",India,24.5937,72.7126,Adhar (pelvic bone),Arbuda Devi,Bhairav,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Known as Adhar Devi.
attahas,Attahas,"Dakshindihi, Bardhaman",India,23.5729,88.0519,Lips,Phullara,Vishvesh,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Near Katwa.
bahuchara,Bahuchara Mata,"Becharaji, Gujarat",India,23.518,71.8708,Left hand,Bahuchara Mata,Kal Bhairav,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Also a seat of transgender goddess.
bahula,Bahula,"Ketugram, West Bengal",India,23.88,88.4,Left arm,Bahula,Bhiruk,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,On banks of Ajay river.
bakreshwar,Bakreshwar,"Siuri, Birbhum, West Bengal",India,23.879,87.3721,Between the eyebrows,Mahishmardini,Vakranath,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Hot springs near temple.
bhairavparvat,Bhairavparvat,"Ujjain, Madhya Pradesh",India,23.1828,75.778,Upper lips,Avanti,Lambkarna,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Located at Bhairav Hills on Shipra river.
bhabanipur,Bhabanipur,"Sherpur, Bogra District",Bangladesh,24.97,89.89,Left anklet,Arpana,Vaman,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Known as Jessoreshwari.
chandikathan,Chandika Sthan,"Munger, Bihar",India,25.371,86.465,Left eye,Chandika,Bholeshankar,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,On banks of Ganga.
chintpurni,Chintpurni (Chhinnamastika),"Una district, Himachal Pradesh",India,31.5154,76.1261,Feet,Chhinnamastika,Rudra Mahadev,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Also one of Mahashakti pithas.
danteshwari,Danteshwari,"Dantewada, Chhattisgarh",India,18.9,81.35,Teeth,Danteshwari,Kapalbhairav,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Kuldevi of Bastar.
gandaki,Gandaki (Goddess Chandi),"Muktinath, Nepal",Nepal,28.699,83.873,Temple (yoni?),Gandaki Chandi,Chakrapani,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,Located on Gandaki river at Muktinath.
saptashrungi,Saptashrungi,"Vani, Nashik",India,20.371,73.999,Chin,Bhramari,Vikritaksh,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,One of Maha Shakti Pithas.
hinglaj,Hinglaj,Balochistan,Pakistan,25.5111,65.5333,Brahmarandhra (part of head),Kottari,Bhimlochan,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Also called Hingula.
jayanti,Jayanti,"Nartiang, Meghalaya",India,25.6339,92.3333,Left thigh,Jayanti,Kramadishwar,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Known as Nartiang Durga temple.
jessoreswari,Jessoreswari,"Ishwaripur, Satkhira",Bangladesh,22.9446,89.1833,Palms and soles,Jashoreshwari,Chanda,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,In Bangladesh near Sundarbans.
jwalaji,Jwalaji,"Kangra, Himachal Pradesh",India,31.8933,76.3218,Tongue,Siddhida (Ambika),Unmatta Bhairav,Fire,South-East,Pitha Nirnaya,N/A,0.85,OBSERVED:PRIMARY_TEXT,Temple with eternal flames.
kalighat,Kalighat (Dakshina Kalika),"Kolkata, West Bengal",India,22.5203,88.3378,Right toes,Kalika,Nakuleshwar,Earth,South,Pitha Nirnaya,N/A,0.85,OBSERVED:PRIMARY_TEXT,One of Adi Shakti pithas; Kali's face is enshrined.
kalmadhav,Kalmadhav,"Amarkantak, Madhya Pradesh",India,22.6739,81.7499,Left buttock,Kali,Asitang,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Near confluence of Narmada and Son rivers.
kamakhya,Kamakhya,"Guwahati, Assam",India,26.1651,91.7066,Genitals (yoni),Kamakhya,Umananda,Water,North-East,Kalika Purana,Pratham khanda,0.95,OBSERVED:PRIMARY_TEXT,Major Shakta centre; Kaula and Kamakhya tradition.
kamakshi,Kamakshi,"Kanchipuram, Tamil Nadu",India,12.8352,79.7036,Ottiyana (stomach covering),Kamakshi,Kaal Bhairav,N/A,N/A,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,Kamakshi temple part of Lalita traditions.
kankalitala,Kankalitala,"Kankalitala, Birbhum",India,23.6978,87.6631,Bones,Devgarbha,Ruru,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,On banks of Kopai River.
sarvani,Sarvani / Kanyakumari,"Kanyakumari, Tamil Nadu",India,8.0883,77.5385,Back,Sarvani,Nimish,N/A,South,Pitha Nirnaya,N/A,0.75,OBSERVED:TRADITIONAL,At Bhagavathy temple; some believe site in Bangladesh.
karnat,Karnat,"Kangra, Himachal Pradesh",India,32.1169,76.3306,Both ears,Jayadurga,Abhiru,N/A,N/A,Pitha Nirnaya,N/A,0.65,OBSERVED:TRADITIONAL,Ears of Sati fell here.
kireet,Kireet (Kiriteswari),"Kireetkona, Murshidabad",India,23.7548,88.0267,Crown,Vimala,Sanwart,N/A,N/A,Pitha Nirnaya,N/A,0.7,OBSERVED:TRADITIONAL,Also called Mukuteswari.
