from_id,relation,to_id,tradition,source,confidence,gaudiya_aligned,notes
devi:kamesvari,devi_weapon,weapon:sugarcane_bow,tantraraja,nitya_devi_master.csv,0.92,true,Kāmeśvarī wields sugarcane bow
devi:kamesvari,devi_mantra,mantra:om_aim_hrim_srim,tantraraja,nitya_devi_master.csv,0.92,true,Kāmeśvarī mantra: Om Aim Hrīm Śrīm
devi:kamesvari,devi_rasa,rasa:shringara,bhakti_rasamrita,nitya_devi_master.csv + BRS,0.85,true,Kāmeśvarī embodies shringara
devi:kamesvari,tithi_nitya_devi,tithi:1,tantraraja,nitya_devi_master.csv,0.95,true,Kāmeśvarī presides over tithi 1
devi:kamesvari,devi_shakti,shakti:desire_fulfillment,tantraraja,nitya_devi_master.csv,0.90,true,Kāmeśvarī shakti: desire fulfillment
devi:bhagamalini,devi_weapon,weapon:noose,tantraraja,nitya_devi_master.csv,0.92,true,Bhagamālinī wields noose
devi:bhagamalini,devi_weapon,weapon:goad,tantraraja,nitya_devi_master.csv,0.92,true,Bhagamālinī wields goad
devi:bhagamalini,devi_mantra,mantra:om_hrim_bhagamalinyai,tantraraja,nitya_devi_master.csv,0.92,true,Bhagamālinī mantra: Om Hrīm Bhagamālinyai
devi:bhagamalini,devi_rasa,rasa:shanta,bhakti_rasamrita,nitya_devi_master.csv + BRS,0.85,true,Bhagamālinī embodies shanta
devi:bhagamalini,tithi_nitya_devi,tithi:2,tantraraja,nitya_devi_master.csv,0.95,true,Bhagamālinī presides over tithi 2
devi:bhagamalini,devi_shakti,shakti:auspiciousness,tantraraja,nitya_devi_master.csv,0.90,true,Bhagamālinī shakti: auspiciousness
devi:nityaklinna,devi_weapon,weapon:vessel_of_nectar,tantraraja,nitya_devi_master.csv,0.92,true,Nityaklinnā wields vessel of nectar
devi:nityaklinna,devi_mantra,mantra:om_klim_nityaklinne,tantraraja,nitya_devi_master.csv,0.92,true,Nityaklinnā mantra: Om Klīm Nityaklinne
devi:nityaklinna,devi_rasa,rasa:karuna,bhakti_rasamrita,nitya_devi_master.csv + BRS,0.85,true,Nityaklinnā embodies karuna
devi:nityaklinna,tithi_nitya_devi,tithi:3,tantraraja,nitya_devi_master.csv,0.95,true,Nityaklinnā presides over tithi 3
devi:nityaklinna,devi_shakti,shakti:perpetual_moisture,tantraraja,nitya_devi_master.csv,0.90,true,Nityaklinnā shakti: perpetual moisture
devi:bherunda,devi_weapon,weapon:skull,tantraraja,nitya_devi_master.csv,0.92,true,Bheruṇḍā wields skull
devi:bherunda,devi_weapon,weapon:trident,tantraraja,nitya_devi_master.csv,0.92,true,Bheruṇḍā wields trident
devi:bherunda,devi_mantra,mantra:om_hrum_bherundayai,tantraraja,nitya_devi_master.csv,0.92,true,Bheruṇḍā mantra: Om Hrūm Bheruṇḍāyai
devi:bherunda,devi_rasa,rasa:raudra,bhakti_rasamrita,nitya_devi_master.csv + BRS,0.85,true,Bheruṇḍā embodies raudra
devi:bherunda,tithi_nitya_devi,tithi:4,tantraraja,nitya_devi_master.csv,0.95,true,Bheruṇḍā presides over tithi 4
devi:bherunda,devi_shakti,shakti:fierce_protection,tantraraja,nitya_devi_master.csv,0.90,true,Bheruṇḍā shakti: fierce protection
devi:vahnivasini,devi_weapon,weapon:fire,tantraraja,nitya_devi_master.csv,0.92,true,Vahnivāsinī wields fire
devi:vahnivasini,devi_weapon,weapon:lotus,tantraraja,nitya_devi_master.csv,0.92,true,Vahnivāsinī wields lotus
devi:vahnivasini,devi_mantra,mantra:om_raim_vahnivasinyai,tantraraja,nitya_devi_master.csv,0.92,true,Vahnivāsinī mantra: Om Raim Vahnivāsinyai
devi:vahnivasini,devi_rasa,rasa:vira,bhakti_rasamrita,nitya_devi_master.csv + BRS,0.85,true,Vahnivāsinī embodies vira
devi:vahnivasini,tithi_nitya_devi,tithi:5,tantraraja,nitya_devi_master.csv,0.95,true,Vahnivāsinī presides over tithi 5
