common_name,latin_name,ecoregion,indigenous_use,indigenous_nations,ecological_role,guild_function,animal_relationships,soil_notes,body_correspondence,seasonal_timing,attestation,attestation_status
White Oak,Quercus alba,Eastern Woodlands & Appalachian,- Indigenous uses -- Menominee and Meskwaki tribes relied on,Meskwaki; Menominee,- Ecological role -- Long‑lived climax canopy tree,- Plant relationships -- Oaks form mycorrhizal partnerships with,"- Animal relationships -- Acorns feed squirrels, deer, bears and",- Soil relationships -- Prefers well‑drained acidic to neutral,- Body correspondences -- Bark decoction is astringent and,- Seasonal timing -- Acorns mature in autumn; bark harvesting,OBSERVED:ETHNOGRAPHIC,attested_secondary
Sassafras,Sassafras albidum,Eastern Woodlands & Appalachian,- Indigenous uses -- Indigenous peoples used the root bark to make,,- Ecological role -- Early successional tree/shrub in old fields,"- Plant relationships -- As a member of the Lauraceae, sassafras",- Animal relationships -- Aromatic yellow flowers (March--April),- Soil relationships -- Prefers well‑drained acidic soils;,- Body correspondences -- Root bark and leaves are aromatic and,- Seasonal timing -- Flowers in early spring; leaves emerge soon,OBSERVED:ETHNOGRAPHIC,attested_secondary
Spicebush,Lindera benzoin,Eastern Woodlands & Appalachian,- Indigenous uses -- Cherokee brewed spicebush tea for blood,Cherokee,- Ecological role -- Prolific understory shrub in moist woods.,- Plant relationships -- Works in guilds as an understory,- Animal relationships -- Flowers are pollinated by early solitary,"- Soil relationships -- Prefers moist, rich soils near streams;","- Body correspondences -- Leaves and twigs are aromatic, warming",- Seasonal timing -- Flowers in early spring; fruits ripen in late,OBSERVED:ETHNOGRAPHIC,attested_secondary
Pawpaw,Asimina triloba,Eastern Woodlands & Appalachian,Indigenous cultivation.,,- Ecological role -- Understory tree forming clonal patches via,- Plant relationships -- Self‑incompatible (requires pollen from a,- Animal relationships -- Pollinated by flies and beetles; the,"- Soil relationships -- Prefers rich, deep, moist soils near","- Body correspondences -- Fruit is sweet and custard‑like,",- Seasonal timing -- Flowers appear in April; fruit ripens late,OBSERVED:ETHNOGRAPHIC,attested_secondary
Ramps,Allium tricoccum,Eastern Woodlands & Appalachian,- Indigenous uses -- Cherokee used ramps to treat coughs and colds,Cherokee,- Ecological role -- Spring ephemerals emerging in rich deciduous,"- Plant relationships -- In guilds, ramps are planted under maples",- Animal relationships -- Pollinated by bees and flies. Leaves are,"- Soil relationships -- Thrive in moist, rich, slightly acidic to",- Body correspondences -- Pungent and heating; stimulates,- Seasonal timing -- Emerges in early spring (March--April);,OBSERVED:ETHNOGRAPHIC,attested_secondary
Black Cohosh,Actaea racemosa,Eastern Woodlands & Appalachian,- Indigenous uses -- Native Americans used black cohosh rhizomes,,- Ecological role -- Herbaceous perennial found in rich moist,- Plant relationships -- Thrives under canopy of hardwoods; pairs,- Animal relationships -- Flowers visited by pollinators; deer,"- Soil relationships -- Requires rich, moist, well‑drained soil","- Body correspondences -- Rhizome is bitter, acrid and warming;",- Seasonal timing -- Leaves emerge in spring; rhizomes harvested,OBSERVED:ETHNOGRAPHIC,attested_secondary
Yellowroot,Xanthorhiza simplicissima,Eastern Woodlands & Appalachian,- Indigenous uses -- Cherokee used yellowroot dye for war paint,Cherokee,- Ecological role -- Low‑growing woody shrub along streambanks in,- Plant relationships -- Companion to spicebush and pawpaw.,- Animal relationships -- Flowers pollinated by small bees; leaves,"- Soil relationships -- Prefers acidic, moist soils along streams","- Body correspondences -- Contains berberine giving bitter, yellow",- Seasonal timing -- Flowers in early spring before leaves fully,OBSERVED:ETHNOGRAPHIC,attested_secondary
Yaupon Holly,Ilex vomitoria,Gulf Coast & South,Indigenous peoples; historically suppressed due to colonial,Cherokee; Creek,- Ecological role -- Evergreen shrub/tree forming dense thickets.,"- Plant relationships -- In guilds, yaupon acts as understory",- Animal relationships -- Small white flowers (March--May) attract,"- Soil relationships -- Thrives in sandy, acidic, well‑drained",- Body correspondences -- Leaves contain caffeine and theobromine,- Seasonal timing -- Harvest leaves and small twigs in late fall,OBSERVED:ETHNOGRAPHIC,attested_secondary
Narrow‑leaf Coneflower,Echinacea angustifolia,Great Plains & Prairie,- Indigenous uses -- Widely used by Plains Indians for pain,,- Ecological role -- Perennial mid‑successional forb with deep,- Plant relationships -- Associates with tall‑grass species like,- Animal relationships -- Its lavender flowers attract over 26,- Soil relationships -- Prefers sandy or gravelly prairies with,- Body correspondences -- Roots are pungent and slightly bitter;,- Seasonal timing -- Flowers June--July; seeds ripen mid‑summer;,OBSERVED:ETHNOGRAPHIC,attested_secondary
Creosote Bush,Larrea tridentata,Desert Southwest,"- Indigenous uses -- Southwest tribes (Cahuilla, Apache, Pima,",Apache; Pima,"- Ecological role -- Dominant evergreen shrub in Mojave, Sonoran","- Plant relationships -- In a guild, creosote acts as a nurse",- Animal relationships -- Flowers produce nectar and pollen for,- Soil relationships -- Prefers well‑drained gravelly soils on,"- Body correspondences -- Leaves are intensely bitter, resinous",- Seasonal timing -- Flowers bloom after rain (spring or summer);,OBSERVED:ETHNOGRAPHIC,attested_secondary
Honey Mesquite,Prosopis glandulosa,Desert Southwest,- Indigenous uses -- Southwest Native Americans harvested mesquite,,- Ecological role -- Nitrogen‑fixing tree/shrub with deep taproot.,"- Plant relationships -- As a canopy legume, mesquite supports",- Animal relationships -- Flowers are rich in nectar and are,- Soil relationships -- Tolerates a wide range of soils from sandy,- Body correspondences -- Pods are sweet and nutritive (sweet,- Seasonal timing -- Bloom in spring; pods ripen in late summer.,OBSERVED:ETHNOGRAPHIC,attested_secondary
Western Redcedar,Thuja plicata,Pacific Northwest,"- Indigenous uses -- Known as the ""Tree of Life"" to Coast Salish",Salish,"- Ecological role -- Shade‑tolerant climax conifer forming dense,",- Plant relationships -- Associates with ectomycorrhizal fungi;,"- Animal relationships -- Provides habitat for birds (e.g., varied","- Soil relationships -- Prefers moist, acidic soils; thrives on",- Body correspondences -- Aromatic and bitter; antimicrobial oils,- Seasonal timing -- Leaves and bark harvested year‑round; best in,OBSERVED:ETHNOGRAPHIC,attested_secondary
Douglas Fir,Pseudotsuga menziesii,Pacific Northwest,- Indigenous uses -- Resin used as medicinal salve for wounds and,,- Ecological role -- Dominant canopy tree in early to,- Plant relationships -- Guild partner with red alder and,- Animal relationships -- Cones feed squirrels and chipmunks;,"- Soil relationships -- Prefers well‑drained, acidic soils; deeply",- Body correspondences -- Resin has antimicrobial and expectorant,- Seasonal timing -- Needles harvested year‑round; resin collected,OBSERVED:ETHNOGRAPHIC,attested_secondary
Red Alder,Alnus rubra,Pacific Northwest,- Indigenous uses -- Coast Salish used alder bark tea/tincture for,Salish,- Ecological role -- Pioneer nitrogen‑fixing tree that colonises,- Plant relationships -- Facilitates succession by improving soil,- Animal relationships -- Leaves feed caterpillars; seeds eaten by,"- Soil relationships -- Thrives on moist, disturbed soils along",- Body correspondences -- Bark tea is astringent and,- Seasonal timing -- Catkins in early spring; leaves in late,OBSERVED:ETHNOGRAPHIC,attested_secondary
Western Sword Fern,Polystichum munitum,Pacific Northwest,"Indigenous ethnobotany, colonial herbalism and modern permaculture",Salish,ecological services. This report offers a foundation for a Vedic,- Plant relationships -- Forms guilds beneath conifer canopies;,- Animal relationships -- Provides cover for amphibians and small,"- Soil relationships -- Prefers moist, acidic forest soils rich in",- Body correspondences -- Fronds are astringent and cooling; used,- Seasonal timing -- Fronds persist year‑round; fiddleheads emerge,OBSERVED:ETHNOGRAPHIC,attested_secondary
