metre_id,name_iast,name_deva,syllables_per_pada,padas_per_verse,total_syllables,cadence_pattern,caesura_position,deity_correspondence,direction_correspondence,element_correspondence,rasa_primary,rasa_secondary,use_case,time_of_day,attestation_status,source
ved_gayatri,Gāyatrī,गायत्री,8,3,24,"8-syllable line; iambic tendency in final 4 syllables; flexible opening",none_or_light,Savitṛ / Sūrya,east,fire,śānta,adbhuta,"sandhyā recitation; invocation; dawn hymn",dawn,OBSERVED,"Macdonell; RV 3.62.10; Śatapatha 8.3.1.12; research_chandas.md"
ved_usnih,Uṣṇih,उष्णिह्,7,4,28,"short Vedic cadence; quantity-regulated not accent-regulated",variable,unspecified,unspecified,unspecified,adbhuta,śānta,"early Vedic recitation; seven-metre ritual set",unspecified,OBSERVED,"Macdonell; Chandas as Vedanga summary; research_chandas.md"
ved_anustubh,Anuṣṭubh,अनुष्टुभ्,8,4,32,"8-syllable cadence; final 4 syllables more regulated",none_or_light,unspecified,north,earth,śānta,nīti,"didactic verse; compact recitation",unspecified,"OBSERVED for direction, INTERPRETATION for use-case","Macdonell; Śatapatha 8.3.1.12; research_chandas.md"
ved_brhati,Bṛhatī,बृहती,9,4,36,"9-syllable Vedic line; cadence-regulated ending",variable,unspecified,unspecified,unspecified,vīra,adbhuta,"ritual recitation; seven-metre set",unspecified,OBSERVED,"Chandas as Vedanga summary; research_chandas.md"
ved_pankti,Paṅkti,पङ्क्ति,10,4,40,"10-syllable Vedic line with regulated cadence",variable,unspecified,upper,ether,śānta,pūrṇatā,"completion/fullness; ritual structuring",unspecified,"OBSERVED for direction, INTERPRETATION for fullness","Śatapatha 8.3.1.12; research_chandas.md"
ved_tristubh,Triṣṭubh,त्रिष्टुभ्,11,4,44,"11-syllable cadence with strong close; regulated final 4-5 syllables",after_4_or_5,Indra,south,fire,vīra,raudra,"praise; heroic proclamation; forceful invocation",midday,"OBSERVED for deity and direction; INTERPRETATION for midday","Macdonell; Chandas as Vedanga; Śatapatha 8.3.1.12; research_chandas.md"
ved_jagati,Jagatī,जगती,12,4,48,"12-syllable extension of triṣṭubh with flowing/iambic tendency",after_4_or_5,Ādityas / Viśvedevas,west,water,adbhuta,śānta,"cosmology; expansive praise; later Soma pressing",evening,"OBSERVED for deity and direction; INTERPRETATION for rasa","Aitareya Brāhmaṇa citation; Śatapatha 8.3.1.12; research_chandas.md"
cls_anustubh_sloka,Śloka (Classical Anuṣṭubh),श्लोक,8,4,32,"classical anuṣṭubh quarter; epic śloka cadence",midline_by_pada,unspecified,unspecified,unspecified,śānta,nīti,"didactic verse; epic narrative; teaching",unspecified,INTERPRETATION,"research_chandas.md"
cls_vasantatilaka,Vasantatilakā,वसन्ततिलका,14,4,56,"gaṇa-defined classical vṛtta; final laghu/guru sequence per Vṛttaratnākara",variable,unspecified,unspecified,unspecified,śṛṅgāra,adbhuta,"ornate kāvya; seasonal or devotional praise",spring_or_morning,OBSERVED,"Vṛttaratnākara; research_chandas.md"
cls_malini,Mālinī,मालिनी,15,4,60,"gaṇa-defined classical vṛtta",after_8,unspecified,unspecified,unspecified,śṛṅgāra,śānta,"ornate kāvya with strong internal word-break",unspecified,OBSERVED,"later metrical authorities; Vṛttaratnākara context; research_chandas.md"
cls_shikharini,Śikhariṇī,शिखरिणी,17,4,68,"gaṇa-defined classical vṛtta",variable,unspecified,unspecified,unspecified,adbhuta,śṛṅgāra,"elevated lyrical kāvya",unspecified,OBSERVED,"Vṛttaratnākara; research_chandas.md"
cls_mandakranta,Mandākrāntā,मन्दाक्रान्ता,17,4,68,"gaṇa-defined; gently stepping progression",after_4_and_10,unspecified,unspecified,water,śṛṅgāra,karuṇā,"love-in-separation; landscape longing",evening,OBSERVED,"Vṛttaratnākara; Meghadūta scholarship; research_chandas.md"
