intention_id,intention_label,category,favorable_vara,avoid_vara,favorable_nakshatra,avoid_nakshatra,favorable_tithi_type,avoid_tithi_type,favorable_hora_lord,avoid_hora,paksha,observance_constraint,notes,attestation
start_project,Start a new project,creative,"Ravivara;Mangalavara","Shanivara","Ashwini;Rohini;Pushya;Hasta;Uttara_Phalguni","Ardra;Ashlesha;Mula;Purva_Bhadrapada",auspicious,inauspicious,"Sun;Jupiter","Saturn",shukla,,"Pratipada/Shashthi good_for: starting projects. Ashwini swift results; Rohini most fertile; Pushya most auspicious",shastra
write_compose,Write or compose,creative,"Budhavara;Shukravara","","Hasta;Rohini;Mrigashira;Punarvasu","Ardra;Jyeshtha",auspicious,inauspicious,"Mercury;Venus","Mars",,,"Hasta skilled_hands + Mercury creative intellect. Rohini abundance. Mrigashira gentle/medicinal",synthesis
plant_sow,Plant or sow seeds,nature,"Somavara;Shukravara","Ravivara","Rohini;Pushya;Uttara_Phalguni;Uttara_Ashadha;Dhanishta","Ardra;Krittika;Ashwini;Magha;Purva_Bhadrapada",auspicious,inauspicious,"Moon;Venus","Mars",shukla,,"nakshatra_agriculture: Rohini planting ALL; Pushya most auspicious planting; Uttara_Phalguni perennials",shastra
harvest,Harvest crops or results,nature,"Ravivara;Mangalavara","","Ashwini;Vishakha;Mula;Revati","Rohini;Pushya",mixed,,"Sun;Mars","",,,"nakshatra_agriculture: Ashwini harvesting seeds; Vishakha harvest; Mula root harvest; Revati final harvest",shastra
heal_treat,Healing or treatment,healing,"Somavara;Budhavara","Mangalavara","Ashwini;Pushya;Shatabhisha;Mrigashira;Punarvasu","Ashlesha;Ardra;Mula",auspicious,inauspicious,"Moon;Jupiter","Mars",,,"Ashwini = Ashwini Kumaras (physicians). Shatabhisha 100 healers. Pushya nourishment. Mrigashira medicinal herbs",shastra
study_learn,Study or learn,study,"Budhavara;Guruvara","","Shravana;Hasta;Rohini;Punarvasu;Pushya","Ardra;Ashlesha",auspicious,inauspicious,"Mercury;Jupiter","Mars",,,"Shravana = ear/learning. Hasta = skilled hands. Pushya Brihaspati nourishment. Jupiter = guru",shastra
marry_commit,Marriage or commitment,relational,"Guruvara;Shukravara","Mangalavara;Shanivara","Rohini;Uttara_Phalguni;Uttara_Ashadha;Revati;Anuradha;Magha","Ashlesha;Ardra;Mula;Vishakha;Jyeshtha",auspicious,inauspicious,"Jupiter;Venus","Saturn;Mars",shukla,,"tithi_master: Panchami/Dashami/Purnima good_for marriage. Rohini/Uttara stable nakshatras",shastra
travel_journey,Travel or journey,travel,"Ravivara;Budhavara","Shanivara","Ashwini;Punarvasu;Pushya;Revati;Mrigashira;Shravana","Ardra;Ashlesha;Mula;Purva_Bhadrapada",auspicious,inauspicious,"Mercury;Jupiter","Saturn",shukla,,"tithi_master: Pratipada/Shashthi/Ekadashi good_for travel. Ashwini swift. Revati journey completion",shastra
buy_property,Buy property or vehicle,financial,"Guruvara;Shukravara","Shanivara","Rohini;Uttara_Phalguni;Uttara_Ashadha;Pushya;Dhanishta","Ardra;Ashlesha;Mula",mixed,inauspicious,"Jupiter;Venus","Saturn",,,"tithi_master: Dvitiya/Saptami good_for buying property. Rohini abundance; Uttara stability; Dhanishta wealth",shastra
financial_deal,Financial transaction,financial,"Guruvara;Shukravara","Shanivara","Rohini;Pushya;Dhanishta;Hasta;Uttara_Ashadha","Ardra;Ashlesha;Mula",auspicious,inauspicious,"Jupiter;Venus","Saturn;Mars",,,"Dhanishta = wealth. Pushya auspicious. Jupiter/Venus benefic lords",synthesis
ritual_puja,Perform ritual or puja,ritual,"Ravivara;Guruvara;Somavara","","Pushya;Anuradha;Rohini;Shravana;Uttara_Phalguni","Ashlesha;Ardra",auspicious,inauspicious,"Jupiter;Sun","Rahu",,,"Pushya most auspicious. Anuradha devotion/sacred plants. tithi_master: Panchami/Dashami religious ceremonies",shastra
ancestor_rites,Ancestor rituals,ritual,"Shanivara","Ravivara","Magha;Uttara_Bhadrapada;Revati","Ashwini;Rohini",mixed,,"Saturn;Moon","Sun",krishna,amavasya,"tithi_master: Amavasya good_for ancestor rituals. Magha = Pitrs. Uttara_Bhadrapada = serpent depth",shastra
fast_observe,Fasting or observance,ritual,"","","","",auspicious,inauspicious,"","",shukla,ekadashi,"tithi_master: Ekadashi deity=Vishnu. Vishnu fasting day. Both pakshas",shastra
obstacle_removal,Remove obstacles,creative,"Mangalavara","","Ashwini;Jyeshtha;Mula;Krittika","Rohini;Pushya",inauspicious,auspicious,"Mars;Sun","Venus",,,"tithi_master: Chaturthi good_for obstacle removal (Ganesha). Krittika cutting/clearing. Mars forceful",shastra
rest_recovery,Rest and recovery,rest,"Shukravara;Somavara","Mangalavara","Purva_Phalguni;Ardra;Mrigashira;Anuradha","Krittika;Vishakha;Jyeshtha",,,"Moon;Venus","Mars;Sun",,,"nakshatra_agriculture: Ardra rest/observe; Purva_Phalguni creative rest. Somavara ida/gentle",synthesis
legal_dispute,Legal matters or disputes,relational,"Mangalavara;Ravivara","","Chitra;Vishakha;Jyeshtha;Purva_Bhadrapada","Pushya;Rohini;Anuradha",mixed,,"Mars;Sun","Venus",,,"tithi_master: Tritiya/Ashtami good_for legal matters. Vishakha goal-oriented. Mars assertive",shastra
build_construct,Build or construct,building,"Mangalavara;Shanivara","","Rohini;Uttara_Phalguni;Uttara_Ashadha;Hasta;Dhanishta","Ardra;Ashlesha;Mula",auspicious,inauspicious,"Mars;Saturn","","shukla",,"Hasta skilled_hands. Uttara stable. Rohini fertile. Mars/Saturn structural planets",synthesis
