temple_id,name,name_devanagari,deity_primary,deity_secondary,tradition,location_city,location_country,lat,lon,nakshatra_primary,nakshatra_secondary,tithi_primary,vara_primary,ashtakala_resonance,stream_url,stream_type,stream_schedule,arati_times_ist,timezone,language_primary,attribution,notes
iskcon_mayapur,ISKCON Mayapur,इस्कॉन मायापुर,Radha Madhava,Pancha Tattva,gaudiya_vaishnava,Mayapur,India,23.4231,88.3885,Rohini,,all,all,all,https://www.youtube.com/@ISKCONMayapurTV/live,youtube,always,"04:30,07:15,11:30,16:15,18:30,20:00,21:30,00:30",Asia/Kolkata,bn,ISKCON Mayapur TV,24/7 live stream — 8 aratis daily
iskcon_vrindavan,ISKCON Vrindavan,इस्कॉन वृन्दावन,Krishna Balarama,Radha Shyamasundara,gaudiya_vaishnava,Vrindavan,India,27.5833,77.6998,Rohini,,all,all,all,https://www.youtube.com/@KrishnaBalaram/live,youtube,arati_only,"04:30,07:15,11:45,16:30,18:30,20:30",Asia/Kolkata,hi,Krishna Balaram Mandir,Live during arati times
banke_bihari,Banke Bihari Mandir,बांके बिहारी मन्दिर,Krishna (Banke Bihari),,pushti_marga,Vrindavan,India,27.5848,77.6982,Rohini,,all,all,madhyahna;sayahna,https://www.youtube.com/@BankeBihariTemple/live,youtube,arati_only,"09:00,17:30",Asia/Kolkata,hi,Banke Bihari Mandir,Famous darshan — curtain opens/closes
tirupati,Tirumala Tirupati,तिरुमला तिरुपति,Venkateswara,,sri_vaishnava,Tirupati,India,13.6833,79.3473,Shravana,,all,Saturday,pratah;madhyahna,https://www.youtube.com/c/TirupatiTirumala/live,youtube,always,"03:00,07:00,11:30,18:00,21:00",Asia/Kolkata,te,TTD Official,Live darshan — Tirumala
nathdwara,Shrinathji Nathdwara,श्रीनाथजी नाथद्वारा,Shrinathji,,pushti_marga,Nathdwara,India,24.9375,73.8225,Rohini,,all,all,all,https://shrinathji.org/live,website,arati_only,"06:00,09:30,12:15,16:30,18:00,21:00",Asia/Kolkata,hi,Shrinathji Temple Trust,Haveli sangeet tradition — 8 darshans daily
udupi,Udupi Krishna Matha,उडुपी कृष्ण मठ,Krishna,,madhva,Udupi,India,13.3347,74.7461,Rohini,,all,all,pratah;madhyahna,https://www.youtube.com/c/UdupiKrishnaMatha/live,youtube,always,"06:00,10:00,18:00,21:00",Asia/Kolkata,kn,Udupi Krishna Matha,8 mathas rotate puja — Madhva tradition
guruvayur,Guruvayur Temple,ഗുരുവായൂർ ക്ഷേത്രം,Guruvayurappan,,kerala_vaishnava,Guruvayur,India,10.5936,76.0407,Shravana,,all,all,pratah;sandhya,https://www.youtube.com/@GuruvayurDevaswomTV/live,youtube,arati_only,"03:00,06:00,10:30,18:00,21:00",Asia/Kolkata,ml,Guruvayur Devaswom,Kerala's most sacred Krishna temple
somnath,Somnath Jyotirlinga,सोमनाथ ज्योतिर्लिंग,Shiva (Somnath),,shaiva,Somnath,India,20.8881,70.4012,Mrigashira,,Trayodashi,Monday;Saturday,sandhya;nisha,https://www.youtube.com/c/SomnathTrustOfficial/live,youtube,always,"07:00,12:00,19:00",Asia/Kolkata,gu,Somnath Trust,First of 12 Jyotirlingas — Prabhasa Kshetra
kashi_vishwanath,Kashi Vishwanath,काशी विश्वनाथ,Shiva (Vishwanath),,shaiva,Varanasi,India,25.3109,83.0107,Ardra,,Chaturdashi,Monday;Saturday,all,https://www.youtube.com/c/ShriKashiVishwanath/live,youtube,arati_only,"03:00,11:30,19:00",Asia/Kolkata,hi,Shri Kashi Vishwanath Temple,Ganga Arati at 18:30 — separate from temple arati
kamakhya,Kamakhya Temple,कामाख्या मन्दिर,Devi (Kamakhya),,shakta,Guwahati,India,26.1653,91.7024,Ashlesha,,Navami,Tuesday,pratah;sandhya,https://www.youtube.com/@KamakhyaTemple/live,youtube,festival_only,"06:00,12:00,18:00",Asia/Kolkata,as,Kamakhya Temple Trust,Shakti Pitha — strongest on Navami and Amavasya
