metre_id,name_iast,correspondence_type,correspondence_value,secondary_value,weight,attestation_status,source,direction_overlay,vastu_zone_deity,vastu_element,nakshatra_overlay,notes
ved_gayatri,Gāyatrī,deity,Savitṛ / Sūrya,solar invocation,0.95,OBSERVED,"RV 3.62.10; research_chandas.md",East,Indra,fire,Hasta family,"Direct solar association through canonical Gāyatrī"
ved_gayatri,Gāyatrī,time_of_day,dawn,sandhyā,0.95,OBSERVED,"research_chandas.md",East,Indra,fire,Hasta family,"Preferred at dawn and three sandhyās"
ved_gayatri,Gāyatrī,direction,east,Śatapatha bandhu,0.92,OBSERVED,"Śatapatha 8.3.1.12; research_chandas.md",East,Indra,fire,Hasta family,"Explicit metre-to-direction mapping"
ved_tristubh,Triṣṭubh,deity,Indra,vajra / vigour,0.9,OBSERVED,"Chandas as Vedanga summary; research_chandas.md",South,Yama,fire,fire nakshatras,"Ṛgvedic and Vedic association with Indra"
ved_tristubh,Triṣṭubh,rasa,vīra,might and vigour,0.85,OBSERVED,"research_chandas.md",South,Yama,fire,fire nakshatras,"High-confidence heroic mapping"
ved_tristubh,Triṣṭubh,purpose,heroic proclamation,praise,0.85,OBSERVED/INTERPRETATION,"research_chandas.md",South,Yama,fire,fire nakshatras,"Best for forceful praise and proclamation"
ved_tristubh,Triṣṭubh,direction,south,Śatapatha bandhu,0.9,OBSERVED,"Śatapatha 8.3.1.12; research_chandas.md",South,Yama,fire,fire nakshatras,"Explicit directional bandhu"
ved_jagati,Jagatī,deity,Ādityas / Viśvedevas,third Soma pressing,0.88,OBSERVED,"Aitareya Brāhmaṇa citation; research_chandas.md",West,Varuna,water,water nakshatras,"Strong ritual solar/cosmic association"
ved_jagati,Jagatī,purpose,cosmology,expansive world-description,0.8,INTERPRETATION,"research_chandas.md",West,Varuna,water,water nakshatras,"12-syllable extension supports expansive movement"
ved_jagati,Jagatī,time_of_day,evening,later Soma pressing,0.76,OBSERVED/INTERPRETATION,"research_chandas.md",West,Varuna,water,water nakshatras,"Mapped to later/day-ending ritual movement"
ved_jagati,Jagatī,direction,west,Śatapatha bandhu,0.9,OBSERVED,"Śatapatha 8.3.1.12; research_chandas.md",West,Varuna,water,water nakshatras,"Explicit directional bandhu"
ved_anustubh,Anuṣṭubh,direction,north,Śatapatha bandhu,0.9,OBSERVED,"Śatapatha 8.3.1.12; research_chandas.md",North,Kubera,earth,earth nakshatras,"Explicit directional bandhu plus requested Vāstu overlay"
ved_anustubh,Anuṣṭubh,purpose,teaching,compact recitation,0.68,INTERPRETATION,"research_chandas.md",North,Kubera,earth,earth nakshatras,"Compact 8-syllable form suits didactic density"
ved_pankti,Paṅkti,direction,upper,Śatapatha bandhu,0.9,OBSERVED,"Śatapatha 8.3.1.12; research_chandas.md",Upper,Brahma,ether,center / ether,"Explicit directional bandhu"
