entity_id,number,name_chinese,name_pinyin,name_english,symbol,lower_trigram,upper_trigram,wilhelm_judgment,wilhelm_image,karcher_name,element_lower,element_upper,field_quality,lifecycle_phase,guna_primary,rasa_primary,vastu_lower,vastu_upper,graha_primary,graha_secondary,body_region,season,torus_theta,torus_phi,longing_quality,approaching_or_receding,king_wen_sequence_number,notes,attestation_status
hexagram_01,1,乾,qian,the_creative,䷀,trigram_qian,trigram_qian,The Creative works sublime success furthering through perseverance,Heaven above heaven — the image of the Creative,Force,ether,ether,pure_yang_creative,seed,sattva,adbhuta,NW,NW,surya,guru,head,late_autumn,0.00,0.00,approaching,approaching,1,Pure yang — six unbroken lines — the primal creative power,inferred_coherent
hexagram_02,2,坤,kun,the_receptive,䷁,trigram_kun,trigram_kun,The Receptive brings about sublime success furthering through the perseverance of a mare,Earth above earth — the image of the Receptive,Field,earth,earth,pure_yin_receptive,harvest,tamas,shanta,SW,SW,chandra,shukra,belly,late_summer,3.14,3.14,approaching,approaching,2,Pure yin — six broken lines — the primal receptive ground,inferred_coherent
hexagram_03,3,屯,zhun,difficulty_at_the_beginning,䷂,trigram_zhen,trigram_kan,Difficulty at the Beginning works supreme success through perseverance,Clouds and thunder — the image of Difficulty,Sprouting,fire,water,struggle_birth,sprout,rajas,karuna,E,N,mangala,shani,foot,spring,0.39,0.79,threshold,approaching,3,Thunder beneath water — birth pains of the new,inferred_coherent
hexagram_04,4,蒙,meng,youthful_folly,䷃,trigram_kan,trigram_gen,Youthful Folly has success — not I seek the young fool the young fool seeks me,A spring wells up at the foot of the mountain,Enveloping,water,earth,innocent_seeking,sprout,tamas,hasya,N,NE,shani,guru,ear,winter,0.79,1.57,receding,receding,4,Water under mountain — the spring not yet flowing clearly,inferred_coherent
hexagram_05,5,需,xu,waiting,䷄,trigram_qian,trigram_kan,Waiting — with sincerity there is brilliant success,Clouds rise up to heaven — the image of Waiting,Attending,ether,water,patient_trust,growth,sattva,shanta,NW,N,surya,shani,head,late_autumn,0.39,0.39,orbiting,approaching,5,Heaven below water — clouds gather before rain,inferred_coherent
hexagram_06,6,訟,song,conflict,䷅,trigram_kan,trigram_qian,Conflict — you are sincere and are being obstructed,Heaven and water go their opposite ways,Arguing,water,ether,opposition_tension,growth,rajas,raudra,N,NW,shani,surya,ear,winter,0.39,2.75,receding,receding,6,Water below heaven — fundamental opposition of directions,inferred_coherent
hexagram_07,7,師,shi,the_army,䷆,trigram_kun,trigram_kan,The Army needs perseverance and a strong man,Water in the midst of the earth,Leading,earth,water,disciplined_force,growth,rajas,vira,SW,N,mangala,shani,belly,late_summer,0.79,2.36,orbiting,approaching,7,Earth below water — hidden reserves of strength,inferred_coherent
hexagram_08,8,比,bi,holding_together,䷇,trigram_kan,trigram_kun,Holding Together brings good fortune,Water on the earth — the image of Holding Together,Grouping,water,earth,unity_gathering,growth,sattva,shringara,N,SW,chandra,shani,ear,winter,0.79,1.18,approaching,approaching,8,Water above earth — people gathering like water on land,inferred_coherent
hexagram_09,9,小畜,xiao_xu,taming_power_of_the_small,䷈,trigram_qian,trigram_xun,The Taming Power of the Small has success,Wind drives across heaven,Small_Accumulating,ether,air,gentle_restraint,growth,sattva,shringara,NW,SE,budha,surya,head,late_spring,0.20,0.59,orbiting,approaching,9,Heaven below wind — small forces restrain the great,inferred_coherent
hexagram_10,10,履,lu,treading,䷉,trigram_dui,trigram_qian,Treading upon the tail of the tiger — it does not bite,Heaven above the lake,Treading,water,ether,careful_conduct,growth,rajas,bhayanaka,W,NW,shukra,surya,mouth,autumn,0.20,2.36,threshold,approaching,10,Lake below heaven — joyous treading on dangerous ground,inferred_coherent
