mineral_id,name_sanskrit,name_iast,name_english,processing_method,dhatu_affinity,dosha_effect,rasa,virya,vipaka,contraindications,source_text,attestation_status
M001,पारद,Pārada,Mercury (purified),ashtasamskara (8-fold purification): shodhana with lime juice + garlic + brick powder then mardana,all seven dhatus,tridosha-shamaka when properly processed; toxic if impure,shad-rasa (all six),ushna (heating),madhura (sweet),never use without full shodhana; avoid in pregnancy and weak agni,Rasa Ratna Samuccaya 3.1-20; Rasa Tarangini taranga 5,TRADITIONAL
M002,गन्धक,Gandhaka,Sulphur (purified),shodhana: melted in ghee + milk then quenched in cow urine,rakta|mamsa|asthi,kapha-pitta shamaka,katu|tikta (pungent|bitter),ushna (heating),katu (pungent),skin irritation in excess; avoid with pitta-pradhana constitution,Rasa Ratna Samuccaya 3.60-72; Rasa Tarangini taranga 8,TRADITIONAL
M003,स्वर्ण,Svarṇa,Gold (bhasma),shodhana then marana: repeated incineration with herbal juices (aloe vera + lemon) until bhasma,rasa|majja|shukra,tridosha-shamaka; primarily vata-pitta shamaka,madhura|tikta (sweet|bitter),shita (cooling),madhura (sweet),avoid in kapha-pradhana obesity; high cost limits availability,Rasa Ratna Samuccaya 5.1-24; Rasa Tarangini taranga 15,TRADITIONAL
M004,रजत,Rajata,Silver (bhasma),shodhana in nirgundi svarasa then marana with sulphur,rasa|rakta|shukra,pitta-vata shamaka,madhura|amla|kashaya (sweet|sour|astringent),shita (cooling),madhura (sweet),avoid with mandagni (weak digestive fire),Rasa Ratna Samuccaya 5.25-40; Rasa Tarangini taranga 16,TRADITIONAL
M005,ताम्र,Tāmra,Copper (bhasma),shodhana in lemon juice then marana with sulphur and herbal bhavana,rakta|yakrit (liver),kapha-pitta shamaka,tikta|kashaya|katu (bitter|astringent|pungent),ushna (heating),katu (pungent),excess causes vomiting and nausea; avoid in pitta-kopa,Rasa Ratna Samuccaya 5.41-60; Rasa Tarangini taranga 17,TRADITIONAL
M006,लौह,Lauha,Iron (bhasma),shodhana: heated and quenched in triphala kashaya 7 times then marana,rakta|mamsa|asthi,kapha-pitta shamaka; best for pandu (anemia),tikta|kashaya (bitter|astringent),shita (cooling),madhura (sweet),constipation in excess; avoid without anupana of honey or triphala,Rasa Ratna Samuccaya 5.61-82; Rasa Tarangini taranga 20,TRADITIONAL
M007,वङ्ग,Vaṅga,Tin (bhasma),shodhana in nirgundi oil then marana with kanchi (rice water),medas|shukra,kapha-vata shamaka,madhura|kashaya (sweet|astringent),shita (cooling),madhura (sweet),avoid in high kapha with ama; low potency requires higher dosage,Rasa Ratna Samuccaya 5.83-95; Rasa Tarangini taranga 18,TRADITIONAL
M008,नाग,Nāga,Lead (bhasma),shodhana in nirgundi svarasa then repeated marana until nishchandra (lustreless),medas|asthi,kapha-vata shamaka,madhura|kashaya (sweet|astringent),shita (cooling),madhura (sweet),highly toxic if impure; strictly avoid without complete marana; never in pregnancy,Rasa Ratna Samuccaya 5.96-110; Rasa Tarangini taranga 19,TRADITIONAL
M009,अभ्रक,Abhraka,Mica (bhasma),shodhana in gomutra then 100+ puta (incineration cycles) with triphala,all seven dhatus esp. majja|shukra,tridosha-shamaka; primarily vata shamaka,madhura|tikta (sweet|bitter),shita (cooling),madhura (sweet),requires satva-patana grade purity; avoid crude/partially processed,Rasa Ratna Samuccaya 2.60-90; Rasa Tarangini taranga 10,TRADITIONAL
M010,मण्डूर,Maṇḍūra,Iron oxide/rust (bhasma),shodhana in triphala kashaya then marana with aloe vera juice,rakta|yakrit,pitta-kapha shamaka; best for yakrit-pliha roga (liver-spleen),tikta|kashaya (bitter|astringent),shita (cooling),katu (pungent),constipation in sensitive individuals; needs honey as anupana,Rasa Ratna Samuccaya 2.95-110; Rasa Tarangini taranga 21,TRADITIONAL
M011,हरताल,Haratāla,Orpiment/arsenic trisulfide (purified),shodhana: ground with lime juice then heated in sealed crucible,rakta|tvak (skin),kapha-vata shamaka,katu|tikta (pungent|bitter),ushna (heating),katu (pungent),highly toxic raw; full shodhana mandatory; never internal without expert supervision,Rasa Ratna Samuccaya 2.111-125; Rasa Tarangini taranga 11,TRADITIONAL
M012,मनःशिला,Manaḥśilā,Realgar/arsenic disulfide (purified),shodhana: ground with nimbu svarasa then bhavana with gomutra,rakta|tvak,kapha-vata shamaka; useful in kushtha (skin disease),katu|tikta|kashaya (pungent|bitter|astringent),ushna (heating),katu (pungent),toxic raw; strict shodhana required; avoid in pregnancy and pitta-kopa,Rasa Ratna Samuccaya 2.126-140; Rasa Tarangini taranga 11,TRADITIONAL
