tithi_number,paksha,optimal_nadi,variant_id,deviation_effect,source_text,attestation_status
1,shukla,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
2,shukla,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
3,shukla,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
4,shukla,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
5,shukla,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
6,shukla,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
7,shukla,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
8,shukla,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
9,shukla,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
10,shukla,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
11,shukla,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
12,shukla,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
13,shukla,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
14,shukla,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
15,shukla,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
1,krishna,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
2,krishna,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
3,krishna,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
4,krishna,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
5,krishna,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
6,krishna,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
7,krishna,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
8,krishna,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
9,krishna,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
10,krishna,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
11,krishna,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
12,krishna,pingala,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
13,krishna,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
14,krishna,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
15,krishna,ida,tithi_intro_same_both_paksha,reversal from the expected sunrise svara is inauspicious and linked to distress or loss,Shiva Svarodaya introductory schedule applies the bright fortnight pattern to both pakshas.,OBSERVED
1,shukla,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
1,krishna,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
2,shukla,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
2,krishna,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
3,shukla,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
3,krishna,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
4,shukla,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
4,krishna,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
5,shukla,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
5,krishna,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
6,shukla,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
6,krishna,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
7,shukla,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
7,krishna,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
8,shukla,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
8,krishna,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
9,shukla,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
9,krishna,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
10,shukla,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
10,krishna,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
11,shukla,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
11,krishna,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
12,shukla,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
12,krishna,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
13,shukla,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
13,krishna,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
14,shukla,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
14,krishna,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
15,shukla,ida,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to heat, strife, and loss during the fortnight",Bright fortnight begins with Moon-svara in Shiva Svarodaya.,OBSERVED
15,krishna,pingala,tithi_inferred_invert_dark_paksha,"wrong first-day or wrong-cycle flow is linked to cold disorders, loss, and distress during the fortnight",Dark fortnight begins with Sun-svara; dark-paksha inversion is an interpretive preservation of that statement.,INTERPRETATION
