nakshatra,deity,ruling_graha,tree,plant,gemstone,shakti,direction,varna,nadi,attestation_status
Ashwini,Ashwini Kumaras,Ketu,Kuchila,Arka,Cat's Eye,Healing Power,East,Kshatriya,Madhya,attested_classical
Bharani,Yama,Venus,Amla,Aloe Vera,Diamond,Power of Restraint,South,Brahmana,Antya,attested_classical
Krittika,Agni,Sun,Udumbara,Ginger,Ruby,Power to Burn Impurity,East,Brahmana,Madhya,attested_classical
Rohini,Prajapati,Moon,Jamun,Lotus,Pearl,Power of Growth,East,Vaishya,Adi,attested_classical
Mrigashira,Soma,Mars,Khair,Jasmine,Coral,Power of Fulfillment,North,Vaishya,Madhya,attested_classical
Ardra,Rudra,Rahu,Neem,Mint,Hessonite,Power of Effort,North,Kshatriya,Antya,attested_classical
Punarvasu,Aditi,Jupiter,Bamboo,Tulsi,Yellow Sapphire,Power of Renewal,East,Brahmana,Adi,attested_classical
Pushya,Brihaspati,Saturn,Peepal,Basil,Blue Sapphire,Nourishing Power,North,Brahmana,Madhya,attested_classical
Ashlesha,Nagas,Mercury,Nagakesar,Snake Root,Emerald,Power to Entwine,South,Brahmana,Antya,attested_classical
Magha,Pitris,Ketu,Banyan,Bilva,Cat's Eye,Power of Ancestry,South,Kshatriya,Madhya,attested_classical
Purva Phalguni,Bhaga,Venus,Palash,Rose,Diamond,Power of Enjoyment,East,Vaishya,Antya,attested_classical
Uttara Phalguni,Aryaman,Sun,Fig,Ashwagandha,Ruby,Power of Partnership,North,Vaishya,Adi,attested_classical
Hasta,Savitar,Moon,Jasmine,Banana,Pearl,Power of Manifestation,East,Brahmana,Madhya,attested_classical
Chitra,Tvashtar,Mars,Bel,Brahmi,Coral,Power of Creation,West,Kshatriya,Antya,attested_classical
Swati,Vayu,Rahu,Arjuna,Cardamom,Hessonite,Power of Independence,West,Vaishya,Adi,attested_classical
Vishakha,Indra-Agni,Jupiter,Sandalwood,Turmeric,Yellow Sapphire,Power of Achievement,South,Kshatriya,Madhya,attested_classical
Anuradha,Mitra,Saturn,Lotus,Lotus Root,Blue Sapphire,Power of Devotion,West,Brahmana,Antya,attested_classical
Jyeshtha,Indra,Mercury,Nemali,Clove,Emerald,Power of Seniority,South,Kshatriya,Adi,attested_classical
Mula,Nirriti,Ketu,Sal,Long Pepper,Cat's Eye,Power of Destruction,South,Rakshasa,Madhya,attested_classical
Purva Ashadha,Apas,Venus,Coconut,Water Lily,Diamond,Power of Invigoration,East,Brahmana,Antya,attested_classical
Uttara Ashadha,Vishvadevas,Sun,Jackfruit,Plantain,Ruby,Power of Victory,North,Kshatriya,Adi,attested_classical
Shravana,Vishnu,Moon,Arjuna,Black Sesame,Pearl,Power of Listening,North,Vaishya,Madhya,attested_classical
Dhanishta,Vasus,Mars,Shami,Drumstick,Coral,Power of Rhythm,West,Kshatriya,Antya,attested_classical
Shatabhisha,Varuna,Rahu,Kadamba,Bael,Hessonite,Power of Healing,West,Brahmana,Adi,attested_classical
Purva Bhadrapada,Aja Ekapada,Jupiter,Mango,Neem,Yellow Sapphire,Power of Transformation,South,Brahmana,Madhya,attested_classical
Uttara Bhadrapada,Ahir Budhnya,Saturn,Neem,Lotus,Blue Sapphire,Power of Depth,North,Kshatriya,Antya,attested_classical
Revati,Pushan,Mercury,Fig,Fennel,Emerald,Power of Nourishment,East,Brahmana,Adi,attested_classical
