omen_id,bird_species,omen_type,specific_observation,direction,time_of_day,omen_meaning,omen_quality,context,field_state_indicated,source_text,source_chapter,attestation
omen_01,Crow,call_direction,Crow calls from the east,East,Dawn,Arrival of guests or good news from the east,auspicious,Traveler departing on journey,Favorable field for eastward movement,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_02,Crow,call_direction,Crow calls from the south,South,Morning,Obstacle or news of death from the south,inauspicious,Any undertaking,Yama-field active — delay important matters,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_03,Crow,call_direction,Crow calls from the west,West,Afternoon,Arrival of wealth or material gain,auspicious,Business dealings,Varuna-field favorable for financial matters,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_04,Crow,call_direction,Crow calls from the north,North,Midday,Meeting with a friend or auspicious news,auspicious,Social activity,Kubera-field favorable — wealth and friendship,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_05,Crow,body_landing,Crow lands on the head,Center,Any,Death or serious illness approaching,inauspicious,Observed by the subject directly,Extreme Shani-field — purification and caution required,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_06,Crow,body_landing,Crow lands on the right shoulder,Right,Morning,Arrival of good fortune or an ally,auspicious,Observed by the subject directly,Sun-field favorable — support and honor,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_07,Crow,body_landing,Crow lands on the left shoulder,Left,Morning,Coming of sorrow or an enemy,inauspicious,Observed by the subject directly,Rahu-field — obstacles and hidden opposition,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_08,Crow,body_landing,Crow lands on the right arm,Right,Any,Gain of wealth or food,auspicious,Householder context,Favorable Jupiter-field for sustenance,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_09,Crow,body_landing,Crow lands on the left arm,Left,Any,Loss or expenditure of wealth,inauspicious,Financial planning context,Saturn-field — tighten resources,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_10,Crow,flight_pattern,Crow flies leftward (counterclockwise) around observer,Left,Any,Inauspicious sign — reversed dharmic flow,inauspicious,Beginning of any new project,Field moving against natural order — postpone,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_11,Crow,flight_pattern,Crow flies rightward (clockwise) around observer,Right,Any,Auspicious sign — dharmic field aligned,auspicious,Beginning of any new project,Field aligned with natural order — proceed,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_12,Crow,behavior_dawn,Crow calls before dawn while facing east,East,Pre-dawn,Auspicious beginning of day — Brahma muhurta blessing,auspicious,Daily planning,Highest quality field — maximum creative potential,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_13,Crow,behavior_dawn,Crow calls before dawn facing south,South,Pre-dawn,Disturbance from ancestral or death-related matters,inauspicious,Pitru-related or medical context,Pitru-field activated — make offerings,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_14,Crow,circling,Crow circles three times clockwise overhead,Center,Morning,Protection by ancestral spirits,auspicious,Near temple or sacred tree,Pitru-field protective — good for ritual,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_15,Crow,circling,Crow circles counterclockwise overhead,Center,Any,Ill omen — opposition gathering,inauspicious,Near home or person,Adverse field — protection measures needed,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_16,Crow,call_quality,Crow caws harshly and repeatedly without stopping,Any,Any,Dispute or quarrel approaching,inauspicious,Domestic or business context,Mars-Rahu field elevated — avoid confrontations,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_17,Crow,call_quality,Crow calls softly once from east at sunrise,East,Sunrise,Excellent omen — success in the day's work,auspicious,Beginning of work day,Surya-field at peak — solar-dharmic alignment,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
omen_18,Crow,paired_behavior,Two crows call together facing each other,Center,Morning,Meeting or reunion with a dear one,auspicious,Social or family context,Venus-Moon field favorable for relationships,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_19,Crow,food_behavior,Crow drops food while flying overhead,Center,Any,Loss of wealth or food security,inauspicious,Economic planning,Saturn-field indicating depletion,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_20,Crow,rooftop,Crow sits on southern edge of rooftop and calls,South,Dusk,Illness or death approaching household member,inauspicious,Household health context,Yama-field at household boundary — make Mrityunjaya japa,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_21,Owl,call_night,Owl hoots once from north at midnight,North,Midnight,Kubera blessing — incoming wealth,auspicious,Financial matters,Kubera-Rahu field — wealth through hidden channels,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_22,Owl,call_night,Owl hoots three times from south at midnight,South,Midnight,Death or serious illness in household within days,inauspicious,Household health matters,Yama-field peak — urgent protective measures,Brhat Samhita (Varahamihira),Chapter 87,OBSERVED:TRADITIONAL
omen_23,Owl,call_night,Owl hoots continuously from tree near home,Any,Night,Persistent bad fortune — obstacle field sustained,inauspicious,Any sustained endeavor,Rahu-Shani long-field — cleansing and recalibration needed,Shakuna Shastra (traditional),General,OBSERVED:TRADITIONAL
omen_24,Owl,visible_day,Owl seen in daylight near home,Any,Daytime,Highly inauspicious — reversal of natural order,inauspicious,Any matter,Extreme Rahu-field — do not initiate anything,Shakuna Shastra (traditional),General,OBSERVED:TRADITIONAL
omen_25,Owl,call_direction,Owl hoots from east before sunrise,East,Pre-dawn,Arrival of a message from afar,neutral,Communication and travel,Mercury-field activated — information incoming,Adbhuta Sagara,Book 2,OBSERVED:TRADITIONAL
omen_26,Hawk,flight,Hawk flies from right to left across the path ahead,Left,Morning,Obstacle or enemy on the intended path,inauspicious,Travel or new venture,Mars-Ketu field — be alert to opposition,Brhat Samhita (Varahamihira),Chapter 86,OBSERVED:TRADITIONAL
