
subject_entity,relation,object_entity,source,notes
Madhuvana,borders,Taḷavanahttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=,Both are eastern forests adjacent along the parikrama path.
Talavana,borders,Kumudavanahttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=It%20is%20one%20of%20the,palm%20trees%20grow%20in%20abundance,Eastern forests located sequentially on the east bank of Yamunā.
Kumudavana,borders,Bahulavanahttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=Kumudavana%20is%20revered%20as%20the,a%20deity%20of%20Kapila%20Maharshi,Adjacent eastern forests; Kumuda‑kuṇḍa leads toward Bahulavana.
Bahulavana,borders,Kāmyavanahttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=,Kāmyavana lies next to Bahulavana on the east bank.
Kāmyavana,borders,Khadiravanahttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=,Eastern forests; pilgrims visit them one after another.
Khadiravana,borders,Vṛndāvanahttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=,Khadiravana leads into the central forest of Vṛndāvana.
Vṛndāvana,borders,Bhadravana (across the Yamunā)https://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=,The Yamunā flows between Vrindavana and the western forests like Bhadravana.
Bhadravana,borders,Bhāṇḍīravanhttps://www.vrindavanforest.com/portfolio/bhandirvan/#:~:text=%E2%80%9CThe%20forest%20of%20Bhandiravana%20is,vast%20forest%20still%20exists%20today,These western forests are visited sequentially in the parikrama.
Bhāṇḍīravan,borders,Baelvanahttps://www.vrindavanforest.com/portfolio/bhandirvan/#:~:text=%E2%80%9CThe%20forest%20of%20Bhandiravana%20is,vast%20forest%20still%20exists%20todayhttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=,Bhandirvan is followed by Baelvan along the western circuit.
Baelvana,borders,Lohavanahttps://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=https://www.tirthayatra.org/twelve-forests-of-vraja/#:~:text=This%20is%20the%20most%20enchanting,the%20demon%20into%20two%20parts,The bilva grove leads toward Lohavana on the western side.
