vahana_id,animal_common,animal_sanskrit,animal_iast,primary_deity,deity_domain,element,guna,dosha,graha_resonance,nakshatra_association,body_correspondence,symbolic_meaning,iconographic_notes,source_text,attestation
vah_01,Eagle,Garuda,Garuḍa,Vishnu,Preservation and cosmic order,Fire-Ether,Sattva,Pitta-Vata,Ketu-Sun,Jyeshtha-Shravan,Wings = expanded awareness; beak = discernment,Solar eagle destroys illusion — Ketu as liberating fire-bird,Depicted as giant golden eagle-man; carries Vishnu; enemy of serpents,Vishnu Purana; Bhagavata Purana; Garuda Purana,OBSERVED:TRADITIONAL
vah_02,Bull,Nandi,Nandī,Shiva,Dissolution and transformation,Earth-Water,Sattva,Kapha-Pitta,Moon-Venus,Rohini-Mrigashira,Spine and stability; sexual vitality,Sacred strength at threshold of the holy — watchful devotion,White bull seated before every Shiva temple; guardian of threshold,Shiva Purana; Skanda Purana,OBSERVED:TRADITIONAL
vah_03,Goose,Hamsa,Haṃsa,Brahma / Sarasvati,Creation and knowledge,Air-Ether,Sattva,Vata-Kapha,Jupiter-Moon,Hasta-Swati,Breath and prana; vocal cords,Discrimination between eternal and temporal — sohamsa breath,Pure white goose; Brahma four-faced rides or Sarasvati's vehicle; discriminates milk from water,Brahma Vaivarta Purana; various Puranas,OBSERVED:TRADITIONAL
vah_04,Mouse,Mushaka,Mūṣaka,Ganesha,Removal of obstacles,Earth,Rajas,Vata-Kapha,Mercury-Rahu,Pushya-Ashlesha,Nervous system; subtle pathways,Penetrates the smallest obstacles and fears — subtle mind,Tiny mouse under or before Ganesha; contrasts with Ganesha's large form symbolizing mind-body paradox,Ganesha Purana; Mudgala Purana,OBSERVED:TRADITIONAL
vah_05,Peacock,Mayura,Mayūra,Kartikeya / Sarasvati,War-victory / Learning,Fire-Ether,Rajas,Pitta-Vata,Ketu-Venus,Vishakha-Chitra,Iridescent awareness; beauty in complexity,Destroys serpents — overcomes lower desires through beauty and valor,Brilliantly colored peacock; Kartikeya seated on peacock; also associated with Sarasvati,Skanda Purana; various texts,OBSERVED:TRADITIONAL
vah_06,Lion/Lioness,Simha,Siṃha,Durga / Devi,Shakti and fierce protection,Fire,Rajas,Pitta,Sun-Mars,Magha-Purva Phalguni,Heart and solar plexus; courage center,Royal sovereign power — righteous fierce action without ego,Durga rides lion or is seated on it; symbolizes royal strength under dharmic control,Devi Mahatmya; Markandeya Purana,OBSERVED:TRADITIONAL
vah_07,Buffalo,Mahisha,Mahiṣa,Yama,Death and dharmic accounting,Earth,Tamas,Kapha,Saturn,Uttara Bhadrapada,Descending energy; weight of karma,Inexorable forward motion — karma cannot be stopped,Black buffalo ridden by Yama; connects to Yama's role as accountant of deeds,Garuda Purana; Yama-related texts,OBSERVED:TRADITIONAL
vah_08,Elephant,Airavata,Airāvata,Indra,Sky-kingship and rain,Water-Ether,Sattva,Kapha,Jupiter,Purva Bhadrapada-Uttara Bhadrapada,Brain and memory; regal bearing,Regal memory and cosmic rainfall — king of elephants as cloud-holder,White multi-tusked celestial elephant; emerged from Samudra Manthan; Indra's mount in battle,Ramayana; Mahabharata; Bhagavata Purana,OBSERVED:TRADITIONAL
vah_09,Horse (celestial),Ucchaisrava,Uccaiḥśravā,Indra / Surya,Kingship and solar speed,Fire-Air,Rajas,Pitta-Vata,Sun-Mars,Ashvini,Spinal mobility; locomotion,Seven-headed speed of cosmic time — solar horse power,White seven-headed horse emerged from Samudra Manthan; Indra's secondary horse vehicle,Bhagavata Purana; Mahabharata,OBSERVED:TRADITIONAL
vah_10,Sea-monster,Makara,Makara,Varuna / Ganga / Kamadeva,Cosmic waters and desire,Water,Tamas,Kapha,Saturn-Venus,Uttara Bhadrapada-Revati,Deep abdominal waters; creative organs,Depth of the unconscious — oceanic creative force,Crocodile-fish-elephant hybrid; Varuna rides across cosmic ocean; Ganga's vahana; Kama's bow symbol,Vishnu Purana; various Puranas,OBSERVED:TRADITIONAL
vah_11,Hare,Shasha,Śaśa,Chandra / Moon,Mind and lunar cycles,Water,Sattva,Kapha-Vata,Moon,Mrigashira-Rohini,Brain and reproductive cycles; fluids,Mind's gentle receptivity — the hare mark seen on the moon,Moon deity associated with hare; the mark on the moon is said to be a hare,Puranic tradition; Panchatantra,OBSERVED:TRADITIONAL
vah_12,Camel,Ustra,Uṣṭra,Ketu / some texts Jyeshtha,Karmic release and desert endurance,Fire-Earth,Tamas,Vata-Kapha,Ketu-Saturn,Jyeshtha,Lungs and capacity for drought — reserves,Endurance through spiritual dryness — karmic carrying capacity,Ketu's vahana in some astrological texts; rare in iconography,Jyotish tradition; regional texts,OBSERVED:TRADITIONAL
vah_13,Crow,Kaka,Kāka,Shani / Saturn,Karma and justice,Air-Earth,Tamas,Vata,Saturn,Swati-Jyeshtha,Bones and nervous system; Vata pathways,Karmic witness and messenger — sees all from above,Black crow as vehicle of Saturn; Shani seated on crow; also Pitru (ancestor) messenger,Shani Mahatmya; Purana tradition,OBSERVED:TRADITIONAL
