naga_id,naga_name,naga_name_iast,naga_type,loka_residence,loka_level,hood_count,color_primary,element_primary,graha_resonance,dosha_primary,guna_primary,domain_primary,power_primary,relationship_to_vishnu,relationship_to_shiva,relationship_to_garuda,chinese_dragon_parallel,tibetan_klu_parallel,story_primary,source_text,source_verse,attestation
naga_01,Ananta,Ananta-Śeṣa,cosmic,Patala/Vaikuntha,7,1000,White,Water-Ether,Rahu,Kapha,Sattva,cosmic_support,upholds_all_creation,Bed and servant of Vishnu — Narayana reclines on Shesha,Ornament worn by Shiva as girdle,Eternal enemy of Garuda yet both serve Vishnu — paradox,Tianlong (heavenly dragon),Klu-rgyal (king of klu),Samudra Manthan churning rope and cosmic bed of Vishnu,Srimad Bhagavatam,SB 5.25.1-2,OBSERVED:TRADITIONAL
naga_02,Vasuki,Vāsuki,cosmic,Patala,5,7,Blue-black,Fire-Water,Saturn,Pitta-Kapha,Rajas,churning_power,holds_Mount_Mandara,Used as churning rope by both devas and asuras,Chief serpent ornament of Shiva — worn around neck,Vasuki occasionally carried by Garuda in battle context,Shenlong (spirit dragon),Klu-bdud (fierce klu),Samudra Manthan — used as churning cord for Mount Mandara,Mahabharata,Adi Parva 1.20 + Bhagavatam,OBSERVED:TRADITIONAL
naga_03,Takshaka,Takṣaka,royal,Patala/Kurukshetra,4,3,Golden-red,Fire,Rahu-Mars,Pitta,Rajas,venomous_destruction,instantaneous_death,Attempted to prevent Parikshit's birth — enemy of Vishnu devotees,Occasionally connected to Shiva's cremation ground energies,Mortal enemy of Garuda — Takshaka bitten to death by Garuda,Huanglong (yellow earth dragon),Klu-nag (black klu),Bites King Parikshit; Janamejaya's serpent sacrifice — killed by Garuda,Mahabharata,Adi Parva 53-54,OBSERVED:TRADITIONAL
naga_04,Karkotaka,Karkoṭaka,royal,Patala,3,5,Black-spotted,Water,Saturn-Rahu,Vata-Pitta,Rajas,illusion_transformation,shape_shifting,Neutral — not specifically aligned with Vishnu,None specified,Not specifically mentioned with Garuda,Jiaolong (water dragon),Klu-gnag (old klu),Bites Nala transforming his appearance to help him regain his kingdom,Mahabharata,Vana Parva (Nala Story),OBSERVED:TRADITIONAL
naga_05,Kaliya,Kāliya,river,Yamuna River,1,5,Black,Water-Fire,Rahu-Mars,Pitta,Tamas,river_pollution_purified,multiple_venomous_hoods,Subdued and danced upon by Krishna — surrendered to Vishnu,Not specifically associated,Garuda had cursed Kaliya forcing him to live in Yamuna (Garuda averse),Jiaolong (river dragon),Klu-chung (lesser klu),Krishna dances on Kaliya's hoods in Yamuna River to purify it,Srimad Bhagavatam,SB 10.16,OBSERVED:TRADITIONAL
naga_06,Manasa,Manasā,guardian,Bengal sacred waters,2,1,Golden,Water,Moon-Mercury,Kapha,Sattva,fertility_protection,bestows_snake_immunity,Daughter of Shiva by Kadru in some accounts — bridge tradition,Daughter of Shiva — strongly associated with his power,Propitiated to protect from Garuda's descendent snakes,Long (benevolent water dragon),Klu-mo (female klu),Bengali folk goddess — story of Behula and Lakhindar; controls snake bites,Devi Bhagavata / Bengal folk tradition,Manasa Mangal texts,OBSERVED:TRADITIONAL
naga_07,Muchalinda,Mucalinda,guardian,Bodhi Tree/Uruvela,1,7,Blue,Water-Air,Jupiter-Moon,Kapha,Sattva,shelter_protection,weather_mastery,Pre-Vedic — represents primordial serpent receiving Buddha's enlightenment,Analogous to Shiva-Naga archetype of dissolution and wisdom,Represents older serpent tradition predating Garuda polarity,Shenlong (spirit dragon of enlightenment),Klu (enlightened serpent),Shelters the meditating Buddha from a seven-day rainstorm after enlightenment,Jataka Tales / Pali Canon,Mucalinda Jataka,OBSERVED:TRADITIONAL
naga_08,Kulika,Kulika,royal,Patala,4,7,Red,Fire,Mars,Pitta,Rajas,fire_power,venom_fire,Servant under Vishnu's cosmic order,Associated with martial Shaiva energies,Listed among nagas subject to Garuda hierarchy,Zhulong (torch dragon),Klu-dmar (red klu),Listed among the great nagas of Patala,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
naga_09,Shankhapala,Śaṅkhapāla,royal,Patala,4,3,White,Water,Moon,Kapha,Sattva,conch_power,purification,Listed in Vishnu Purana naga hierarchy,Conch-associated — Shaiva connection,Subject to Garuda order,Bailong (white dragon),Klu-dkar (white klu),Among the eight great nagas,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
naga_10,Mahapadma,Mahāpadma,cosmic,Patala,6,7,Blue,Water-Earth,Jupiter-Moon,Kapha,Sattva,lotus_abundance,treasure_guardianship,Treasure guardian for Vishnu's cosmic wealth,Associated with Shiva's lotus throne,Respected by Garuda as cosmically senior,Tianlong (heavenly dragon),Klu-rgyal-chen (great klu king),Treasure-guardian naga of the northern direction,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
naga_11,Padma,Padma,royal,Patala,4,5,Pink-White,Water,Venus-Moon,Kapha,Sattva,lotus_waters,bestows_beauty,Devotee of Vishnu / Lakshmi association through lotus,Lotus of Shiva Puja,Subject to Garuda,Bailong (white lotus dragon),Klu-padma (lotus klu),Among the eight great nagas,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
naga_12,Nila,Nīla,royal,Patala,3,3,Blue,Water,Saturn,Kapha,Tamas,blue_depth,concealment,Listed in cosmic naga hierarchy,Dark manifestation connected to Shiva's blue throat,Subject to Garuda,Qinglong (azure dragon subset),Klu-sngon (blue klu),Among the nagas of Patala,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
naga_13,Sankha,Śaṅkha,royal,Patala,3,5,White,Water-Air,Moon,Kapha,Sattva,conch_sound,sacred_vibration,Conch bearer in Vishnu's cosmic sound,Shiva conch-connection,Subject to Garuda,Bailong,Klu-dkar,Among the nagas — conch embodiment,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
naga_14,Mahasankha,Mahāśaṅkha,cosmic,Patala,5,7,Bright White,Water-Ether,Moon-Jupiter,Kapha,Sattva,cosmic_sound,primordial_vibration,Great cosmic conch — connected to Vishnu's Panchajanya,Great manifestation of Shaiva sound,Respected by Garuda,Tianlong,Klu-rgyal,Great conch-naga of cosmic oceans,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
naga_15,Sveta,Śveta,royal,Patala,3,3,Pure White,Water,Moon,Kapha,Sattva,lunar_purity,moon_power,Listed in Vishnu Purana naga hierarchy,White serpent of auspicious Shaiva rites,Subject to Garuda hierarchy,Bailong,Klu-dkar,White naga of Patala,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
naga_16,Dhananjaya,Dhanaṃjaya,royal,Patala,4,5,Golden,Earth-Fire,Jupiter-Mars,Pitta-Kapha,Rajas,wealth_victory,treasure_combat_power,Wealth-victory naga — guardian of Vishnu's treasury,Martial Shaiva wealth deity connection,Subject to Garuda,Huanglong (yellow dragon of wealth),Klu-ser (golden klu),Among the eight great nagas — guardian of wealth,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
naga_17,Dhritarashtra,Dhṛtarāṣṭra,royal,Patala,4,7,Black,Earth,Saturn,Kapha,Tamas,firm_kingship,holding_force,Naga distinct from the Kaurava king of same name,Connection to holding/gripping power of Shiva,Subject to Garuda,Xuanwu (black warrior serpent aspect),Klu-nag,Among the nagas of Patala — upholder type,Srimad Bhagavatam,SB 5.24.31,OBSERVED:TRADITIONAL
